店名 住所 電話番号
水野ランドリー（株） 名古屋市千種区東山通1-11 052-781-1485
ハイクリーナー春岡 名古屋市千種区春岡通7-5 052-731-7391
洗好社クリーニング 名古屋市東区代官町33-1 052-931-5479
クリーニングヨシダ 名古屋市東区筒井町4-24 052-936-5852
新川屋クリーニング 名古屋市東区葵3-20-35 052-935-0179
（有）コバドラ 名古屋市東区大松町7-16 052-935-5295
クリーニングアクア 名古屋市北区桐畑町25 052-901-9679
（有）ダイイチクリーニング 名古屋市北区金田町4-20-1 052-991-1445
プロショップクリーニング山口 名古屋市北区金田町5-13-4 052-912-5313
山藤屋クリーニング 名古屋市北区天道町5-36 052-991-8473
（株）白洋舍　名古屋支店 名古屋市北区水草町1-27 052-981-2541
（有）クリーニングナニハ 名古屋市北区中丸町3-21-1 052-912-0495
（同）ヤダランドリー 名古屋市北区大曽根4-20-7 052-981-6745
丸高クリーニング商会 名古屋市北区大杉町1-13-5 052-981-8049
山藤屋クリーニング 名古屋市北区紅雲町49-2 052-981-7279
蛭子屋クリーニング店 名古屋市北区下飯田町1-39 052-914-2579
日和クリーニング社 名古屋市北区下飯田町2-39 052-991-7485
丸八クリーニング店 名古屋市西区香呑町2-75 052-531-7394
（資）高田クリーニング店 名古屋市西区城北町2-69 052-531-4015
（資）丹羽クリーニング 名古屋市西区上名古屋3-10-4 052-524-5010
後藤クリーニング 名古屋市西区城西5-20-20 052-521-0256
箕浦クリーニング本店 名古屋市西区那古野1-21-12 052-551-4552
伊藤クリーニング 名古屋市西区菊井1-9-16 052-571-1882
（有）三和クリーニング 名古屋市西区花ノ木3-1-5 052-531-6956
（株）名鉄クリーニング 名古屋市西区貴生町312 052-501-5511
（有）丸万クリーニング本店 名古屋市中村区松原町2-5 052-471-6343
松尾クリーニング 名古屋市中村区大秋町4-75 052-471-8207
名古屋ランドリー 名古屋市中村区森末町3-51 052-471-8929
太閤舎クリーニング 名古屋市中村区中村町9-124 052-411-5295
ランドリー立松 名古屋市中村区靖国町1-49 052-412-3007
（有）今日屋クリーニング 名古屋市中村区稲上町4-54-1 052-411-1728
クリーニングおおの 名古屋市中村区城主町2-30-1 052-471-8759
（株）京町屋 名古屋市中村区烏森町6-175 052-481-0068
（株）セントラル商会 名古屋市中区丸の内2-2-25 052-231-5273
（有）サトウクリーニング 名古屋市中区丸ノ内3-10-19 052-951-3101
（資）江上クリーニング店 名古屋市中区新栄1-5-29 052-241-5382
梅園綜合クリーニング（株） 名古屋市中区大須1-24-54 052-431-5661
（有）明治屋 名古屋市中区大須2-10-15 052-202-1701
（資）ロミーランドリー 名古屋市中区大須3-7-22 052-241-1454
（有）イワタ屋 名古屋市中区千代田1-16-29 052-241-5320
こじまクリーニング 名古屋市中区千代田3-17-26 052-321-4701
クリーニング中京商会 名古屋市中区大井町4-15 052-332-0256
（株）東洋社 名古屋市中区松原2-21-3 052-321-7543
（株）清心社 名古屋市中区松原3-10-12 052-321-6031
クリーニンググラフ 名古屋市中区金山2-10-10 052-321-7159
（株）名古屋ランドリー 名古屋市中区伊勢山2-7-27 052-321-7344
杉本クリーニング本店 名古屋市昭和区出口町2-26 052-841-9747
クリーンドライ 名古屋市昭和区永金町1-14 052-881-0943
（資）御器所クリーニング店 名古屋市昭和区滝子町10-9 052-881-5454
今田クリーニング 名古屋市昭和区鶴舞3-16-5 052-731-6539
（株）天野クリーニング 名古屋市昭和区川名本町3-1-1 052-751-6454
ACランドリー 名古屋市昭和区川名本町3-50 052-751-2827
丁子屋クリーニング店 名古屋市昭和区川名町3-3-30 052-751-5207
ドライクリーニング大成舎 名古屋市昭和区折戸町2-10 052-751-8365
大川クリーニング店 名古屋市瑞穂区大殿町4-9-2 052-831-8764
山高ランドリー 名古屋市瑞穂区密柑山町2-15 052-831-6353
玉水クリーニング 名古屋市瑞穂区玉水町2-17-1 052-831-4611
（資）ヨコイクリーニングランドリー 名古屋市瑞穂区下山町1-21-47 052-831-9961
松羽クリーニング 名古屋市瑞穂区弥富通1-30-1 052-831-1765
資生堂クリーニング 名古屋市瑞穂区内方町2-1-3 052-841-7708
（資）瑞穂クリーニング工場 名古屋市瑞穂区瑞穂通1-13 052-853-3161
（株）木村クリーニング本店 名古屋市瑞穂区瑞穂通3-6 052-841-6836
（資）日米舎 名古屋市瑞穂区薩摩町1-31 052-841-1142
ランドリーショップ葵 名古屋市瑞穂区柳ヶ枝町1-34 052-881-6528
河岸ランドリー 名古屋市瑞穂区河岸町1-3-3 052-881-2098
ドライクリーナー石川 名古屋市瑞穂区浮島町15-27 052-691-0427
ハイクリーナー　グリーンクリーニング 名古屋市瑞穂区新開町28-26 052-881-8198
（有）むらたクリーニング 名古屋市瑞穂区大喜新町3-11-27 052-881-9821
（資）中部クリーニング 名古屋市瑞穂区御剱町1-16 052-881-7349
サカツクリーニング 名古屋市瑞穂区雁道町3-15 052-881-2367
高千穂クリーニング 名古屋市熱田区夜寒町7-15 052-681-2406
飯田クリーニング商会 名古屋市熱田区大宝3-6-13 052-671-0615
（資）白水クリーニング 名古屋市熱田区野立町1-79 052-683-5654
野田クリーニング 名古屋市中川区西日置2-9-13 052-331-4614
山田クリーニング 名古屋市中川区荒江町8-15 052-362-7022
白陽舎クリーニング（株） 名古屋市中川区丹後町2-79 052-351-8781
（株）白陽舎 名古屋市中川区丹後町2-79 052-351-8781
アガタランドリー 名古屋市中川区中野本町2-3-3 052-361-4503
（有）はやし家クリーニング 名古屋市中川区元中野町3-42 052-351-5872
（株）フォレスト 名古屋市中川区十番町4-9-2 052-654-9510
林クリーニング店 名古屋市中川区松葉町4-4-3 052-365-6617
（有）林クリーニング商会 名古屋市中川区福船町4-1-39 052-361-1936
ファブリ・ケア白龍舎 名古屋市中川区篠原橋通3-35 052-351-8543
（株）ハイローズ 名古屋市中川区宮脇町1-131 052-351-8201
フジクリーニング 名古屋市中川区畑田町3-53-2 052-383-3686
（同）太郎屋クリーニング 名古屋市中川区高畑3-80 052-361-2007
高畑クリーニング 名古屋市中川区高畑4-132 052-353-3753
中川ランドリー商会 名古屋市中川区富田町千音寺字向江3408-3 052-431-7879
クリーニングのともゑ 名古屋市南区平子2-24-11 052-821-9818
駈上ランドリー 名古屋市南区駈上1-4-25 052-821-5865
サエキドライクリーニングセンター名古屋営業所 名古屋市南区呼続3-12-20 052-822-5411
笠寺ロミークリーニング 名古屋市南区呼続5-7-22 052-811-2656
東洋ランドリー 名古屋市南区鶴里町2-29 052-821-1029
平野屋クリーニング 名古屋市南区鳴尾1-77 052-611-5744
クリーニングショップナルハマ 名古屋市南区鳴浜町1-6 052-611-5236
