店名 住所 電話番号
池田クリーニング店 秋田市東通2丁目7-23 018-832-4034
ならやまクリーニング 秋田市楢山本町6-30 018-835-8293
（名）しろやドライ 秋田市楢山佐竹町1-1 018-834-3340
東京ランドリー 秋田市広面字谷内佐渡111-4 018-832-4589
コーヨークリーニング 秋田市広面釣瓶町129-1 018-832-7377
戸島クリーニング 秋田市桜2丁目32-1 018-835-4490
クリーニングたかはし 秋田市牛島東1丁目10-35 018-832-4543
（名）鈴木クリーニング商会 秋田市牛島東7丁目8-41 018-832-7366
（有）北陽コーポレーション 秋田市牛島西4丁目2-22 018-838-4488
社会福祉法人秋田旭川福祉会明成園 秋田市添川字地ノ内10-1 018-868-4868
クリーンライフ舎 秋田市柳田字竹生151-4 018-831-5999
（有）アサヒドライクリーニング 秋田市旭川南町15-14 018-833-3178
クリーニングショップニューアキタ 秋田市手形字十七流189-6 018-835-5978
清光クリーニング舎 秋田市千秋中島町14-8 018-833-8612
青池クリーニング店 秋田市保戸野鉄砲町2-34 018-824-4022
ミノルクリーニング 秋田市泉中央1丁目23-19 018-862-0456
傳クリーニング 秋田市泉中央3丁目6-14 018-824-3965
須永クリーニング店 秋田市泉南1丁目7-20 018-824-0516
吉田クリーニング 秋田市旭北寺町1-45 018-824-2238
（株）福岡ドライクリーニング 秋田市旭南3丁目3-10 018-823-1933
倉部クリーニング 秋田市川尻新川町9-46 018-862-2086
（株）宇佐美ドライクリーニング 秋田市八橋本町3丁目4-52 018-862-5561
秋田基準寝具（株） 秋田市八橋字イサノ6-1 018-862-4525
（有）クリーンサプライ 秋田市八橋字下八橋191-11 018-823-5825
まさやクリーニング 雄和妙法字薊沢13-1 018-886-2228
（株）富士クリーニング 秋田市大住2丁目18-9 018-839-3434
（有）藤屋クリーニング 秋田市新屋豊町15-23 018-862-2596
フラワークリーニング 秋田市新屋船場町4-4 018-862-1868
小玉クリーニング 秋田市新屋松美ガ丘南町6-20 018-823-0473
ワタキューセイモア（株）東北支店秋田営業所 秋田市新屋鳥木町1-69 018-828-4851
（株）粂川クリーニング工場 秋田市飯島道東1丁目8-14 018-846-2652
布谷クリーニング 秋田市将軍野東2丁目20-8 018-845-1576
（有）鈴木ファクトリー 秋田市将軍野東2丁目8-16 018-845-4019
真美商会 秋田市土崎港北1丁目8-18 018-846-7640
鈴木クリーニング 秋田市河辺和田字上中野413-1 018-882-2220
（有）クリーニングおの 能代市元町9-3 0185-52-5881
平川クリーニング店 能代市栄町12-16 0185-52-1775
（株）ホームドライ 能代市長崎189-1 0185-52-1221
昭南ドライクリーニング店 能代市昭南町3-8 0185-52-7443
森田クリーニング店 横手市根岸町8-35 0182-32-1160
小西クリーニング店 横手市本町4-19 0182-32-5119
照井ドライクリーニング工場 横手市中央町2-21 0182-32-1091
アサヒクリーニング 横手市前郷一番町6-16 0182-32-6504
藤根クリーニング 横手市大屋新町字堂の前51-2 0182-33-5920
中谷クリーニング店 横手市朝日が丘1丁目2-2 0182-32-1250
朝日ランドリー 横手市朝日が丘2丁目14-1 0182-32-8878
白洋舎クリーニング店 横手市赤坂字森崎69 0182-36-1191
西村ドライクリーニング店 横手市平鹿町浅舞字福田288-4 0182-24-1013
白清舎 横手市雄物川町今宿字今宿2 0182-32-1250
（有）佐武ドライクリーニングプレスセンター 横手市大森町字大森265 0182-26-3432
まるおかクリーニング 横手市十文字町仁井田字東16-4 0182-42-0479
えびすやクリーニング 横手市十文字町字本町28-2 0182-42-1343
サカエヤクリーニング店 横手市増田町増田字田町134 0182-45-3762
たけうちクリーニング 横手市増田町字石神9-5 0182-45-4500
庄司クリーニング 大館市白沢字白沢1028-44 0186-46-2305
白田クリーニング店 大館市上代野字八幡岱8-7 0186-57-8377
北村クリーニング店 大館市有浦4丁目5-58 0186-42-1728
伊藤クリーニング 大館市有浦5丁目1-41 0186-42-3147
たかのはしクリーニング 大館市有浦6丁目3-42 0186-43-0254
（有）瀧クリーニング 大館市御成町2丁目12-31 0186-42-1122
柴田クリーニング 大館市東台2丁目3-8 0186-43-0769
ウエルクリーニング 大館市池内字田中189-3 0186-42-6423
藤島クリーニング 大館市幸町8-2 0186-42-0772
畠山クリーニング 大館市十二所字十二所町201 0186-52-2620
まがらクリーニング店 男鹿市払戸字大堤164 0185-46-2431
菅原クリーニング 男鹿市北浦真山字白根坂台853 0185-33-4051
（有）本家仕上屋 湯沢市湯ノ原1丁目2-6 0183-73-3703
（有）中央ドライ 湯沢市字内舘9-4 0183-73-2585
ドライ・フジ 湯沢市田町1丁目3-27 0183-73-1221
（有）花輪クリーニング 鹿角市花輪字上中島130 0186-23-3593
（資）協和ランドリー 鹿角市花輪字下花輪170 0186-23-2503
（有）勝山ドライサービス 鹿角市花輪字合ノ野149 0186-23-4686
小田島クリーニング 鹿角市花輪字新田町23-3 0186-23-2779
田尻クリーニング 鹿角市尾去沢字新山23-9 0186-23-4570
藤伸クリーニング店 由利本荘市松ヶ崎字荒町北側162 0184-28-2969
新之丞クリーニング工場 由利本荘市薬師堂字谷地310-2 0184-22-5539
（有）三ヶ月クリーニング店 由利本荘市本田仲町88-4 0184-22-3081
大島クリーニング 由利本荘市谷地町84 0184-22-1368
藤屋ドライ（株） 由利本荘市一番堰166-1 0184-23-4010
菅原クリーニング 由利本荘市一番堰174-4 0184-22-6226
