店名 住所 電話番号
（有）クリーンメート 青森市青柳1-8-3 017-723-5030
丸忠クリエイト（株） 青森市松原2-11-1 017-722-7251
（株）ニュークリーン 青森市橋本3丁目20-14 017-734-6464
（有）細谷クリーニング 青森市緑2-16-4 017-722-3578
秋田ランドリー 青森市大野金沢30-44 017-739-7777
白洗舎クリーニング店 青森市金沢1-1-29 017-722-8522
マルダイみちかわ 青森市長島2-23-11 017-776-4905
万成やクリーニング 青森市合浦1-7-19 017-741-4457
（有）ブルースカイ照井 青森市東造道3-15-13 017-736-7878
海原クリーニング店 青森市矢作1丁目1番2号 017-736-2374
（有）クリーニングのバンビ 青森市佃2-4-34 017-734-3510
浅利クリーニング店 青森市佃2-8-20 017-743-3808
（株）東洋社 青森市南佃2-26-6 017-743-1641
クリーニングのイルカ 青森市石江江渡50-15 017-766-0090
（株）大島ランドリー 青森市篠田2-23-8 017-766-0453
ランドリー川村 青森市久須志3-19-14 017-766-4416
丸英クリーニング 青森市千刈3-10-7 017-777-4506
（有）東芝クリーニング 青森市浪舘前田1-9-26 017-766-7604
八戸白洗舎八戸リネンサプライ（有） 八戸市吹上5-1-37 0178-22-2047
八戸洗染クリーニング 八戸市糠塚平中22-75 0178-22-4502
つるやクリーニング店 八戸市内丸3-1-36 0178-22-2724
きけ川クリーニング店 八戸市江陽5-10-8 0178-24-3866
（有）クリーニングイルカ 八戸市小中野2-9-15 0178-44-2261
みやぎクリーニング 八戸市白銀1-11-12 0178-34-3020
（有）サンクリーン八戸 八戸市八幡八幡丁10-13 0178-27-4119
（株）ジョン 八戸市河原木字浜名谷地76-341 0178-20-3411
ワタキューセイモア（株）八戸営業所 八戸市松ケ丘6-2 0178-28-8121
クリーニングコメット 黒石市泉町3 0172-52-2055
(有)ジャンボドライ五所川原工場 五所川原市漆川字浅井35-10 0173-34-9508
（株）ツガル 五所川原市梅田薄井8 0173-28-3056
（株）クリーニングのママ号 五所川原市七ツ館鶴ヶ沼156-45 0173-26-5038
さくらクリーニング 十和田市三本木字一本木沢76-18 0176-22-7877
サンクリーンとわだ 十和田市三本木西金崎12-30 0176-23-1789
（有）丸善クリーニング 十和田市東二番町2-35 0176-24-0101
（有）共栄社 十和田市穂並町4-63 0176-23-2492
フジサカクリーニング 十和田市相坂小林152-1 0176-23-5926
（有）青森クリーニング 十和田市西5番町1-7 0176-23-4791
太洋舎商事（株） 三沢市幸町3-21-29 0176-53-3248
Ｂバリークリーニング店 三沢市桜町3-7-18 0176-53-6707
光クリーニング 三沢市大町3-10-11 0176-53-5372
クリーンプラス 三沢市堀口17-250 0176-54-3136
かもめクリーニング店 三沢市大津1丁目6-17 0176-54-3578
（有）ニュートップクリーナー むつ市大字田名部字上川32-318 0175-22-4066
（有）キクチクリーニング むつ市柳町4丁目3-3 0175-23-5305
本間クリーニング店 むつ市新町20-21 0175-22-1363
田名部クリーニング店 むつ市緑町15-8 0175-22-1535
白羊舎クリーニング むつ市海老川町2-8 0175-22-2625
佐々木クリーニング店 むつ市大湊上町29-15 0175-29-1251
サンドライクリーニング むつ市大湊上町8-9 0175-24-1314
北洋舎クリーニング むつ市桜木町1-19 0175-29-3123
大沢クリーニング店 むつ市川内町川内321 0175-42-3045
なかさとドライ 北津軽郡中泊町中里紅葉坂161-4 0173-57-2469
社会福祉法人海陽会 上北郡野辺地町上小中野80-15 0175-64-0170
光洋社クリーニング 上北郡東北町上笹橋21-32 0175-63-2155
一洋ランドリー 上北郡おいらせ町二川目1-73-216 0178-53-2011
（合）クリーニングのライラ 上北郡おいらせ町住吉3丁目50-2084 0176-50-1459
田中クリーニング店 下北郡大間町大間下手道9-1 0175-37-2943
（有）ナイスクリーンナカムラ 三戸郡三戸町二日町53 0179-22-0335
岩淵ドライクリーニング 三戸郡新郷村戸来字金ケ沢尻29-9 0178-78-2152
