店名 住所 電話番号
門田クリーニング 松山市三番町1丁目12-2 089-931-2843
キングドライ 松山市大街道3丁目7-8 089-943-8119
ヒラオカクリーニング 松山市柳井町1丁目2-28 089-946-0337
エースドライ 松山市柳井町2丁目19-7 089-947-0883
石田クリーニング（株） 松山市末広町13-4 089-933-2000
（有）いちやなぎ 松山市土橋2 089-921-1315
きくやクリーニング 松山市余戸東4丁目2-13 089-972-0621
ファッションクリーニングやまだ 松山市針田町27-10 089-973-7061
南江戸クリーニング 松山市南江戸4丁目4-26 089-924-0993
福助屋クリーニング店 松山市平和通2丁目4-7 089-924-7260
Special クリーニング中村 松山市清水町2丁目17-15 089-924-1680
松本クリーニング 松山市御幸町2丁目2-14 089-925-2680
白星舎ドライセンター 松山市道後今市5-43 089-922-0483
アベクリーニング店 松山市紅葉町7-55 089-933-0123
バンドライ本店 松山市永木町1-6 089-943-2467
松末ドライ 松山市束本町2丁目6-22 089-931-0480
高岡クリーニング 松山市北久米町239-2 089-975-6249
ドライショップ9・29 松山市鷹子824-4 089-975-7367
（株）たかお 松山市鷹子町858-7 089-976-0930
天山ドライ 松山市東石井5丁目8-30 089-956-6677
そがクリーニング 松山市和泉南5丁目3-8 089-957-1031
ドゥ・ランドリーハウス橋本 松山市古川北1丁目14-7 089-958-2351
本多クリーニング 松山市古川南1丁目10-30 089-956-0329
ヒノクリーニング 松山市古川西1丁目1-31 089-957-4332
（有）毎日屋 松山市中村3丁目5-2 089-941-2573
勉強屋クリーニング店 松山市立花1丁目2-34 089-921-4085
山口ドライセンター 松山市溝辺町282 089-977-2040
（株）美洗若松屋 松山市平井町甲1363-8 089-975-5376
ファッションドライ神田屋 松山市森松町519-4 089-956-0113
雄新クリーニング店 松山市山越1丁目4-36 089-922-6054
加藤クリーニング 松山市山越3丁目16-21 089-922-6802
みかげやクリーニング 松山市山越3丁目5-28 089-925-9394
丸栄クリーニング 松山市山越4丁目1-8 089-925-6779
サニードライ 松山市久万の台635-7 089-924-4034
ミツワクリーニング 松山市美沢2丁目1-2 089-925-3220
（株）ふくや 松山市南斎院町265-5 089-972-0207
（株）田村 松山市西垣生町779-3 089-973-9029
松山ドライクリーニング 松山市須賀町3-25 089-952-6540
江ノ口ドライ 松山市住吉町2丁目5-14 089-951-0554
木村ドライクリーニング 松山市古三津2丁目13-20 089-951-3782
永本クリーニング 松山市辰巳町7-32 089-953-0710
（有）日進舎 松山市北条800 089-993-2235
山本クリーニング店 松山市河野中須賀238-1 089-992-1455
白鳥舎クリーニング 今治市近見町2丁目1-46 0898-32-8973
都美屋クリーニング 今治市常盤町6丁目2-6 0898-22-3030
マナベクリーニング 今治市別宮町7丁目2-17 0898-22-6047
好美クリーニング 今治市泉川町1丁目3-61 0898-22-2575
城東ドライ 今治市郷本町2丁目4-6 0898-32-6574
エースクリーニング店 今治市立花町2丁目9-8 0898-22-5726
羽藤クリーニング 今治市菊間町浜681-1 0898-54-2244
中川クリーニング店 宇和島市須賀通り156 0895-24-6002
上田クリーニング 宇和島市和霊中町1丁目1-19 0895-25-8152
ヤングドライ井上 宇和島市鶴島町4-18 0895-23-0815
きぬやクリーニング 宇和島市本町追手２丁目２−２８ 0895-22-6841
三島屋クリーニング 宇和島市愛宕町2丁目2-24 0895-22-1509
山口クリーニング所 八幡浜市保内町宮内駄馬2-106 0894-36-1050
矢野クリーニング 八幡浜市古町1丁目1-1 0894-22-1039
若水ドライ 新居浜市若水町2丁目7-30 0897-32-3947
（有）ヤングドライ新居浜 新居浜市泉宮町3-3 0897-34-7556
クリーニングいしくら 新居浜市一宮町2丁目2-21 0897-33-3866
光クリーニング店 新居浜市高木町10-34 0897-37-2226
かわきやクリーニング店 新居浜市滝の宮町1-23 0897-37-3880
福田クリーニング 新居浜市萩生503-4 0897-43-5204
田中クリーニング店 新居浜市庄内町6丁目4-5 0897-32-5174
角野クリーニング 新居浜市中筋町1丁目1-4 0897-41-8967
内田クリーニング 新居浜市中筋町1丁目4-12 0897-41-5888
太陽クリーニング 新居浜市高田町2丁目6-32 0897-37-2088
リース産業池田 大洲市平野町野田3470-2 0893-23-4647
河中リース 大洲市平野町野田677-2 0893-23-4092
山本クリーニング店 大洲市若宮677-2 0893-24-2442
（有）ホワイトクリーニング 大洲市中村537-2 0893-24-6862
白水舎クリーニング店 大洲市東若宮4-3 0893-24-3617
マルヤクリーニング 大洲市長浜甲636-2 0893-52-0017
宮岡クリーニング店 大洲市長浜町下須戒甲488−1 0893-52-1721
（有）共和 伊予市下吾川1426 089-983-3091
（有）クリーニングオオニシ 伊予市下吾川19-1 089-982-0739
クリーニングジャブジャブ 伊予市下吾川2043-10 089-983-4602
太陽クリーニング 四国中央市金生町下分372 0896-56-2539
大西屋 四国中央市三島中央2丁目6-9 0896-23-5114
稲田クリーニング店 西予市宇和町卯之町4丁目409 0894-62-0582
（有）大和屋クリーニング 東温市野田2丁目8-4 089-964-1800
（有）松山サービス 東温市吉久311-1 089-966-6866
（株）伊予総合サービス 伊予郡松前町北川原1648-2 089-995-8345
砥部ドライセンター 伊予郡砥部町大南59 089-962-2213
高田クリーニング 北宇和郡鬼北町出目1955 0895-45-0829
