店名 住所 電話番号
沢クリーニング 岐阜市長住町9-19 058-252-2639
ミヤコ－ポレ－ション（株） 岐阜市長住町9丁目6-1 058-255-5088
（有）白英舎 岐阜市琴塚2丁目12-1 058-245-0576
クリーニングの岐阜屋 岐阜市市野一色5丁目6-1 058-246-5301
富士見クリーニング 岐阜市三歳町3-5 058-251-1887
（有）タイヨウメイギ 岐阜市六条大溝2-7-2 058-275-6781
やおきクリーニング 岐阜市富沢町23-4 058-251-8689
（株）十一屋クリーニング 岐阜市市橋1丁目14-8 058-273-5311
名光舎クリーニング 岐阜市加納神明町1丁目30 058-272-2498
ホワイトハウス 岐阜市加納本町4丁目19 058-271-7717
（有）スタ－ドライ 岐阜市鹿島町3丁目13 058-251-5609
大林クリーニング 岐阜市若宮町9丁目3 058-263-1216
（有）エムシークリーニングのモリワキ 岐阜市八幡町4 058-263-3970
宇和島屋クリーニング 岐阜市高野町3丁目1 058-262-6962
（有）大洋舎 岐阜市金宝町3丁目15 058-263-1823
（株）クリーニングのアオヤギ 岐阜市青柳町1-3 058-252-1400
もんやクリーニング 岐阜市鏡島町1972-2 058-251-9086
（株）アドバンス岐阜 岐阜市鏡島西1丁目14-1 058-253-1730
杉本家クリーニング 岐阜市黒野465-2 058-239-0102
スパ－クル（株） 岐阜市木田3-1 058-230-1511
常富屋クリーニング（株） 岐阜市柳津町丸野5-6-1 058-388-1100
（株）ヒロコ－ポレ－ション 岐阜市柳津町上佐波西5-31 058-279-0014
（有）三愛ランドリー 岐阜市長良宮口町3-17 058-231-0111
本瀬クリーニング 岐阜市鷺山清洲町2 058-231-4711
安田クリーニング 大垣市林町5丁目63 0584-78-5341
クリーニングスギヤマ 大垣市鶴見町121 0584-78-4898
（有）まきだやクリーニング 大垣市波須2丁目16 0584-78-9724
（有）大垣屋クリーニング商会 大垣市南頬町2-36 0584-78-4059
クリーニングミノウラ 大垣市郭町3丁目33-1 0584-78-4216
つたやクリーニング 大垣市藤江町6丁目13 0584-78-7578
上田クリーニング店 大垣市伝馬町62 0584-78-6220
白泉舎クリーニング 大垣市静里町285 0584-91-5882
ホワイトランドリー 高山市千島町452-21 0577-33-6747
クリーニングショップわたなべ 多治見市下沢町1-19-24 0572-23-2155
日比野クリーニング店 多治見市市之倉町8-159 0572-22-9520
（株）はりせいクリーニング 関市富本町19 0575-24-0881
クリーニングおかだ 関市元重町4 0575-22-1763
（株）中部ドライ 中津川市中津川993-15 0573-65-6565
やなぎクリーニング店 中津川市苗木1714-1 0573-66-7216
熊沢クリーニング店 中津川市付知町上広屋6898-2 0573-82-2272
クリ－ナ－スガネット 中津川市加子母1471-1 0573-79-2062
（株）岐洗 中津川市千旦林1386-163 0573-68-2086
星クリーニング店 中津川市茄子川1362-1-2 0573-68-3524
カネコ（株）美濃工場 美濃市生櫛307-1 0575-33-1774
つるぎクリーニング 美濃市上野112 0575-37-2608
土屋クリーニング 瑞浪市土岐町2625-2 0572-68-5854
伊藤クリーニング 瑞浪市陶町猿爪406-5 0572-65-2946
水野クリーニング 瑞浪市陶町猿爪543-7 0572-65-2806
西尾クリーニング 瑞浪市陶町猿爪573-29 0572-65-2863
みよしクリーニング 瑞浪市釜戸町2894-2 0572-63-2516
ファッションクリーニング山内 羽島市正木町大浦1146-2 058-391-7744
（株）ソフト・ピア　羽島店 羽島市正木町曲利1097 070-5644-1403
竹鼻ドライ（資） 羽島市竹鼻町狐穴3178 058-392-5173
東洋社 羽島市江吉良町1-189 058-391-3493
（株）ソフト・ピア　丸の内店 羽島市竹鼻町丸の内8-50 070-5641-4009
三和クリーニング 羽島市小熊町島5-61 058-392-0858
恵那ファッションクリーニング 恵那市武並町竹折1059-209 0573-28-2128
矢作ドライクリーニング 恵那市武並町竹折94 0573-28-2553
小林クリーニング 恵那市大井町246-31 0573-26-2357
小倉ドライクリーニング 恵那市大井町318-39 0573-25-4415
（有）ほりクリーニングセンタ－ 恵那市大井町373-1 0573-26-2570
クリーニングヤマダ 恵那市大井町正家108-5 0573-25-2475
