店名 住所 電話番号
（有）太洋舎 前橋市朝日町1-28-5 027-224-6759
みつやクリーニング 前橋市三河町1-29-12 027-224-0186
（有）丸幸クリーニング 前橋市城東町4-27-6 027-243-0725
（有）上野ランドリー 前橋市三俣町3-15-2 027-231-9404
水野クリーニング店 前橋市平和町1-8-11 027-231-0692
白鷗舎 前橋市青柳町523-8 027-234-6622
星野クリーニング店 前橋市竜蔵寺町149-6 027-233-3951
（有）丸寝クリーン工業 前橋市富士見町原之郷６５０−５ 027-288-7561
クリーニングショップたけい 前橋市粕川町新屋229-2 027-285-3308
クリーニングこまつ 前橋市粕川町西田面222-4 027-285-3687
（有）岡安ドライ 前橋市文京町4-1-22 027-221-0244
白鳥舎クリーニング 前橋市鳥羽町819-1 027-251-2387
クリーニングリフレ 前橋市下大島町741-1 027-267-0311
（株）宝 井野町360-8 027-363-1342
三洋舎 高崎市筑縄町531-16 027-361-0802
平塚クリーニング 高崎市大橋町115 027-322-4691
上毛ドライクリーニング店 高崎市八千代町3-13-1 027-324-8159
（株）愛幸 高崎市倉賀野町4705-5 027-346-4074
クリーニング工房ホワイト 高崎市新町3151-5 0274-42-0609
堀越商会 高崎市吉井町吉井127-5 027-387-2229
ドライパワークリーニング 高崎市中里見町233-1 027-374-3009
三共クリーニング店 高崎市上里見町762 027-374-2768
コグレドライ 高崎市倉渕町三ノ倉4600-1 027-378-2419
吉田クリーニング 高崎市倉渕町川浦3428 027-378-2176
東洋リネンサプライ（株） 高崎市井出町463-1 027-372-7002
二渡ランドリー 桐生市境野町7-1790-1 0277-44-8934
湘南ランドリー 桐生市相生町5-409-8 0277-54-0209
細井クリーニング店 桐生市末広町10-4 0277-22-6477
（株）栄久 伊勢崎市境上矢島670-2 0270-76-2345
ファッションクリーニング高木 伊勢崎市境百々171 0270-74-1019
西久保ドライ 伊勢崎市上植木本町1758-6 0270-25-1455
真成舎クリーニング店 伊勢崎市東本町36-9 0270-25-0769
大橋クリーニング店 伊勢崎市今泉町2-942-3 0270-25-5565
エビスヤクリーニング 伊勢崎市平和町26-9 0270-25-2221
高山クリーニング 伊勢崎市柳原町99-1 0270-25-1770
（有）津久田クリーニング 連取町3036-20
（有）マイウェイ 伊勢崎市除ヶ町17-1 0270-31-0841
クリーニングシゲタ 伊勢崎市市場町2-361-12
（有）ゑびすや 伊勢崎市堀下町45-8 0270-62-3950
クリーニングロマン 太田市岩瀬川町457-1 0276-46-8274
加藤クリーニング店 太田市浜町46-2 0276-45-2482
吉野クリーニング 沼田市恩田町520-1 0278-23-1049
（有）さくらドライ 沼田市桜町1974-45 0278-23-0696
やはたクリーニング 藤岡市藤岡1770-7 0274-22-0784
（有）茂木クリーニング 富岡市田篠1055 0274-64-0911
サトウクリーニング 安中市安中1-24-31 027-381-1104
（有）ロゼクリーナースカキヌマ 安中市安中3-18-7 027-381-0762
小林クリーニング 安中市松井田町松井田264-5 027-393-4584
ワークショップくんえい 北群馬郡吉岡町上野田２０９４ 0279-55-0901
京屋クリーニング店 吾妻郡長野原町長野原1051-21 0279-82-2240
浅間ランドリー 吾妻郡長野原町長野原30-8 0279-82-2045
嬬恋ランドリー 吾妻郡嬬恋村三原786 0279-97-3033
（株）三津本 吾妻郡草津町草津275-7 0279-88-3385
（有）白精舎 吾妻郡草津町草津280-11 0279-88-3300
丸栄クリーニング店 吾妻郡東吾妻町原町215 0279-68-2420
椿クリーニング 吾妻郡東吾妻町原町644 0279-68-2520
（有）ミツバクリーニング 吾妻郡東吾妻町岩下1854 0279-67-2355
小池クリーニング 吾妻郡東吾妻町大戸2779 0279-69-2303
ハヤシクリーニング 利根郡みなかみ町政所1032 0278-62-3266
（有）藤村クリーニング 利根郡みなかみ町上津1271-12 0278-62-6408
（株）角田クリーニング工場 利根郡みなかみ町小日向600-4 0278-72-2659
（有）冨澤クリーニング店 利根郡みなかみ町小日向791 0278-72-2491
寺崎クリーニング 邑楽郡大泉町北小泉3-19-15 0276-62-2743
斉藤クリーニング店 邑楽郡大泉町中央2-33-9 0276-62-2750
（有）まつもりクリーニング商会 邑楽郡大泉町仙石2-4-19 0276-62-2782
吉永ドライクリーニング店 邑楽郡邑楽町中野4885-1 0276-88-4647
（有）岡田クリーニング商会 邑楽郡邑楽町中野4962 0276-88-0013
天谷クリーニング商会 邑楽郡邑楽町篠塚1495-3 0276-88-2613
