店名 住所 電話番号
（有）サンクリーン 広島市中区富士見町9-20 082-245-0018
トミヤクリーニング 広島市中区大手町3丁目6-29 082-241-9438
（有）セブンドライ 広島市中区西十日市町9-3 082-292-6807
（有）清盛物産 広島市中区住吉町7-4 082-241-8035
岡崎クリーニング 広島市中区羽衣町13-19 082-241-3348
ふるえクリーニング 広島市中区吉島新町2-23-13 082-245-3523
（株）タカノ橋ランドリー 広島市中区光南4丁目1-3 082-241-8855
沢原クリーニング 広島市中区舟入南2丁目9-27 082-232-6068
光クリーニング 広島市東区戸坂桜東町5-5 082-229-1659
合同会社Very 広島市東区戸坂新町1丁目5-27 082-229-6645
池田クリーニング 広島市東区戸坂出江1丁目2-7 082-229-0837
太陽クリーニング 広島市東区中山東3丁目1-65-1 082-289-2418
ニコニコクリーニングショップ 広島市東区馬木2丁目544-7 082-289-2722
きものお手入れ加匠 広島市東区牛田本町1丁目9-11 082-225-5002
おしゃれクリーニング裕 広島市東区牛田本町3丁目1-13 082-221-1517
港屋クリーニング店 広島市南区宇品神田2丁目2-1 082-251-0719
三光クリーニング 広島市南区宇品神田3丁目6-1 082-251-7638
（有）しみぬきおちあい 広島市南区翠3丁目9-3 082-253-0053
花園クリーニング商会 広島市南区宇品御幸3丁目6-11 082-255-4891
福島屋クリーニング 広島市南区仁保新町2丁目6-38 082-281-2940
（有）清水ランドリー 広島市南区旭1丁目9-21 082-251-9606
山中クリーニング 広島市西区三篠町3丁目1-7 082-237-1323
クリーニングKOBEYA 広島市西区三篠北町19-6 082-237-3681
金蘭 広島市西区横川町1丁目6-2 082-231-4915
洗匠 広島市西区中広町2丁目19-23 082-233-9544
（有）カワミ 広島市西区中広町3丁目22-7 082-294-6977
ヂンノクリーニング広島店 広島市西区南観本町2丁目10-19 082-232-0603
泉屋クリーニング 広島市西区南観音2丁目7-32 082-232-0066
河元ドライクリーニング 広島市西区南観音7丁目2-3 082-231-7586
（株）白洋舎広島支店 広島市西区南観音4丁目4-16 082-232-3391
（株）冨士ドライクリーニング商会 広島市西区庚午中3丁目5-22 082-271-3934
タナカクリーニング 広島県広島市安佐南区東野3-12-1 082-877-5107
まる矢クリーニング 広島市安佐南区川内1丁目10-16 082-877-8625
（有）クリーニングネクスト 広島市安佐南区緑井2丁目27-6 082-877-2771
はたのクリーニング 広島市安佐南区西原4丁目15-3 082-874-1807
延田クリーニング 広島市安佐南区古市3丁目9-3 082-877-0166
有限会社フミヤクリーニング 広島市安佐南区上安2丁目33-6 082-878-3985
桂屋クリーニング 広島市安佐北区あさひが丘3丁目10-8 082-838-1411
