店名 住所 電話番号
（株）大室洗染所 札幌市中央区大通西6丁目8 011-281-6886
元木クリーニング商会 札幌市中央区南1条東5丁目1 011-251-7885
山田クリーニング 札幌市中央区南5条西10丁目1013 011-511-3330
（有）和倉クリーニング商会 札幌市中央区南6条西12丁目1301 011-561-1406
（有）ワコークリーニング 札幌市中央区南8条西13丁目3-14 011-561-5925
マキヤドライ 札幌市中央区南8条西14丁目3-24 011-563-5488
（有）片岡クリーニング商会 札幌市中央区南8条西16丁目3-20 011-551-9244
（株）エンパイアー札幌西支店 札幌市中央区南11条西15丁目3-13 011-561-0186
（有）ドライソフターエスアンドエス 札幌市中央区南11条西1丁目3-23 011-511-8788
モノエクリーニング（有） 札幌市中央区北1条西23丁目2-28 011-611-1581
井元白洗舎クリーニング（株） 札幌市中央区南14条西9丁目1-1 011-511-5253
（有）ファーストヨシダクリーニング 札幌市中央区南19条西10丁目2-20 011-563-1217
（株）クリーンライン不二屋 札幌市中央区宮の森2条16丁目1-35 011-611-1301
（株）エンパイアー 札幌市北区北23条西5丁目2-37 011-726-0161
ファッションクリーニングSuzuki. 札幌市北区北24条西14丁目1-3 090-8425-8392
キラリクリーニング 札幌市北区新琴似1条13丁目12-20 011-766-0356
（有）一番堂 札幌市北区新琴似1条9丁目10-14 011-765-1387
（有）植田クリーニング店 札幌市北区新琴似4条6丁目3-6 011-762-8388
曽川クリーニング 札幌市北区新琴似10条15丁目4-11 011-761-3045
白光舎クリーニング 札幌市北区新琴似12条13丁目9-2 011-762-2171
（株）丸友秀美三和クリーニング 札幌市東区北34条東16丁目1-5 011-782-0258
（株）光生舎 札幌市東区北39条東15丁目1-19 011-753-4921
（有）パリードライクリーニング商会 札幌市東区北47条東7丁目2-5 011-750-5516
（有）サンシャインクリーニング 札幌市東区中沼町80-10 011-791-8282
札幌クリーニング協同組合 札幌市東区北14条東12丁目1-3 011-731-6800
（有）クリンアイデアル 札幌市東区本町1条4丁目5-18 011-826-5461
北都クリーニング 札幌市東区北15条東1丁目3-7 011-711-4536
（有）エイドクリーニング 札幌市東区北26条東18丁目6-6 011-784-7994
中央医療寝装（株） 札幌市東区北27条東1丁目1-14 011-751-6567
（株）北海道シルバーサービス 札幌市東区北32条東9丁目2-10 011-723-6100
北海道リネンサプライ（株） 札幌市白石区東札幌１条１丁目１－２０ 011-822-6110
（株）北基サービス 札幌市白石区南郷通1丁目南7-14 011-377-8610
白樺クリーニング 札幌市白石区本通17丁目南8-41 011-862-2471
（有）なんばドライ 札幌市白石区本通3丁目北4-1 011-861-4598
（有）ケーアンドシークリーニングショップこたか 札幌市白石区平和通10丁目南3-10 011-864-3523
（有）丸高ドライクリーニング 札幌市白石区平和通10丁目北6-5 011-866-1929
北海リースキン（株） 札幌市白石区平和通17丁目北13-1 011-865-5240
（有）三かめ北海道 札幌市白石区菊水1条4丁目1-29 011-811-7516
（株）芳屋クリーニング店 札幌市白石区菊水3条1丁目5-3 011-811-6919
（有）ドライショップ　ポパイ 札幌市白石区菊水上町3条3丁目52 011-812-8057
（株）すずらん商事 札幌市白石区菊水上町4条3丁目51-16 011-821-0088
（株）雅美舎 札幌市白石区川下616-54 011-876-8059
（株）今野クリーニング 札幌市豊平区月寒西1条9丁目8-9 011-851-0671
（株）鎌田クリーニング 札幌市豊平区月寒東3条7丁目3-2 011-851-8037
（有）浅井ドライクリーニング 札幌市豊平区豊平2条2丁目1-10 011-811-3883
（有）双葉クリーニング商会 札幌市豊平区豊平3条2丁目1-51 011-811-2027
（有）岩田クリーニング 札幌市豊平区中の島1条7丁目7-28 011-831-9569
（株）HAKUCHOUクリーニング 札幌市豊平区平岸3条9丁目9-20 011-824-1205
（有）協栄クリーニング札幌 札幌市豊平区平岸4条4丁目1-4 011-831-2521
（有）クイックドライかさはら 札幌市西区発寒14条2丁目2-3 011-661-5534
札幌白洋舎（株） 札幌市西区山の手6条1丁目3-34 011-631-2306
スカイクリーニング（有） 札幌市西区西野9条7丁目5-13 011-664-4261
（株）エンパイアー札幌手稲支店 札幌市西区宮の沢1条5丁目23-43 011-665-1369
（有）白木屋 札幌市西区二十四軒2条西1丁目1-56 011-631-5907
（株）オイケクリーニング 札幌市西区琴似1条7丁目2-12 011-611-5939
（株）特殊衣料 札幌市西区発寒14条14丁目2-40 011-663-0761
丸賞木下洗業（株） 札幌市西区八軒7条西11丁目1-50 011-611-7528
（株）大五ドライクリーニング 札幌市西区八軒10条西12丁目2-23 011-621-1515
（株）三浦クリーニング店 札幌市西区八軒10条西1丁目1-18 011-736-0087
（株）エンパイアー札幌東支店 札幌市厚別区厚別東2条1丁目2-21 011-897-0077
中川クリーニング 札幌市厚別区厚別中央3条1丁目9-6 011-891-3166
