店名 住所 電話番号
吉田ドライ 福井市松本2-33-7 0776-24-1412
高橋クリーニング 福井市大手3-14-13 0776-22-6158
ドライクリナーズ幾久 福井市大宮1-7-4 0776-23-4824
光洋舎本店 福井市文京4-2-13 0776-22-7755
國本クリーニング 福井市文京5-31-8 0776-26-3447
まつだクリーニングショップ 福井市文京7-9-31 0776-26-6493
スタークリーニング 福井市田原2-6-18 0776-24-2166
みずしま 福井市春山1-7-13 0776-22-3667
明珍クリーニング 福井市つくも2-1-21 0776-36-2810
星田クリーニング 福井市つくも2-8-21 0776-36-2631
橋南かりがね屋 福井市毛矢3-2-10 0776-35-2317
北川クリーニング 福井市花堂南2-17-3 0776-35-1831
マスダ 福井市下江守町8-28-2 0776-36-2754
宮崎クリーニング 福井市下江守町9-26-27 0776-36-8237
高木クリーニング 福井市加茂河原1-3-6 0776-35-1369
はしもと 福井市西学園3-209 0776-35-1265
クリーンマスター有賀 福井市羽坂町24-1-18 0776-37-1855
木田屋 福井市木田町23 0776-33-1400
トップクリーニング 福井市成和1-809 0776-21-7271
西川クリーニング 敦賀市川崎町2-19 0770-22-1064
山崎クリーニング 敦賀市莇生野町45-25-1 0770-22-2996
東京ドライ 大野市本町5-20 0779-66-3687
佐野クリーニング 鯖江市本町4-7-12 0778-51-0384
大和屋クリーニング 鯖江市柳町4-4-28 0778-51-0763
井上クリーニング 鯖江市屋形町1-23 0778-51-0713
清水屋クリーニング 鯖江市日の出町12-10 0778-52-0981
（有）川上クリーニング あわら市温泉5-1212 0776-77-2079
（株）玉川クリーニング あわら市国影14-38-14 0776-77-3225
ならやクリーニング 越前市若竹町8-17 0778-22-2619
カワイクリーニング 越前市幸町8-20 0778-24-0389
林クリーニング社 越前市粟田部68-5-1 0778-42-1156
（有）にしおクリーニング 越前市京町2-2-14 0778-22-0309
伊藤クリーニング 越前市四郎丸61-3-5 0778-21-3268
まつやクリーニング 越前市池ノ上町17-7-5 0778-22-4500
黒川クリーニング社 坂井市春江町随応寺20-40-1 0776-51-0264
高木クリーニング 三方郡美浜町菅浜110-2 0770-37-2813
（有）大和・本郷ドライクリーニング 大飯郡おおい町尾内35-25-1 0770-77-0574
