店名 住所 電話番号
オーリック（株） 北九州市門司区奥田2-6-1 093-371-3715
新和ドライ 北九州市門司区黄金町4-13 093-381-6415
合名会社田中屋ドライ 北九州市門司区原町別院11-24 093-381-9621
川村クリーニング商会 北九州市門司区田ノ浦3-4-5 093-321-1128
クリーニングママショップ 北九州市門司区老松町2-22 093-322-1352
かずさやクリーニング 北九州市若松区小糸町2-25 093-761-1589
ジャブあずま 北九州市若松区西天神町4-3 093-791-1265
松屋クリーニング 北九州市若松区二島5-3-3 093-791-1629
（株）アルサ西日本ドライクリーニング事業部 北九州市小倉北区下富野2-2-32 093-521-0136
（株）レイウッド 北九州市小倉北区赤坂5-5-56 093-551-5780
（有）福田屋ドライ 北九州市小倉南区朽網西1-9-10 093-475-0314
ファミリークリーニング 北九州市小倉南区下貫2-4-21 093-471-3190
（株）ハルヤ 北九州市小倉南区葛原5-1-5 093-475-6018
クリーニングキッズ 北九州市小倉南区葛原本町6-9-28 093-471-9293
平野クリーニング 北九州市小倉南区北方1-1-38 093-921-5806
（株）プラス・エス 北九州市小倉南区守恒本町2-11-3 093-962-6817
（株）セランド 北九州市小倉南区徳力新町1-25-22 093-961-0581
（株）吉野屋 北九州市小倉南区徳力新町1-25-29 093-961-0551
大阪屋クリーニング 北九州市八幡東区枝光本町5-21 093-671-3894
高橋クリーニング 北九州市八幡東区上本町2-5-2 093-671-3788
神戸屋クリーニング（株） 北九州市八幡東区前田2-16-5 093-671-3558
筑後屋クリーニング 北九州市八幡西区山寺2-27 093-631-2847
（有）川口屋クリーニング 北九州市八幡西区千代ヶ崎2-2-28 093-691-0583
ますだクリーニング 北九州市八幡西区則松7-6-8 093-601-2397
（株）ランドリープレス 北九州市八幡西区日吉台1-14-25 093-603-8691
（株）MITSUYA 福岡市東区和白3-4-11 092-607-8100
荒川ドライ 福岡市東区大字志賀島423 092-603-6625
アメニティ 福岡市東区箱崎1-24-14 092-641-0128
グランドスタイル社 福岡市東区松崎1-21-4 092-681-5092
三川屋クリーニング 福岡市東区名島3-32-13 092-681-0062
（有）プラスアルファ 福岡市東区松島2-3-36 092-622-9741
（株）白洋舍福岡支店 福岡市博多区上牟田3-6-5 092-411-3318
ローズサービス（株） 福岡市博多区原田1-44-12 092-621-4864
（有）サンロイ 福岡市博多区東光寺町1-23-7 092-473-0366
ボンクリーニング 福岡市中央区春吉1-7-22 092-761-4398
みなとや春吉店 福岡市中央区春吉2-18-9 092-741-5309
きみがよクリーニング 福岡市中央区清川3-4-12 092-521-1807
（有）水交社 福岡市中央区高砂2-14-27 092-521-3180
（株）トウトウモロウ 福岡市中央区平尾1-9-2 092-525-1461
松栄クリーニング 福岡市中央区平尾5-4-10 092-531-6176
ワカナクリーニング 福岡市中央区薬院2-5-1 092-741-1915
双葉クリーニング 福岡市中央区桜坂3-1-4 092-524-2892
井尻クリーニング 福岡市南区井尻4-3-15 092-581-1260
