店名 住所 電話番号
渡邊ドライクリーニング店 福島市瀬上町東町1-1-4 024-553-1245
松崎クリーニング 福島市瀬上町東町1-2-6 024-553-1832
（株）白洗舎 福島市南矢野目字中道4 024-557-5555
（有）クリーンボーイ・キクタ 福島市南矢野目高畑20-2 024-557-2418
今野クリーニング店 福島市飯坂町字横町28 024-542-2751
ナカクリーニング店 福島市飯坂町菱沼15-10 024-542-4336
クリーニング・ボン 福島市飯坂町平野字舘屋敷7-3 024-542-3485
安田クリーニング 福島市飯坂町平野字道添23-31 024-542-2782
シャボン玉クリーニング店 福島市笹谷字横道4-8-3 024-557-9553
サトウクリーニング 福島市大森字宮の前65-13 024-545-5580
冨士クリーニング 福島市成川字戸の内41-6 024-546-2173
川崎クリーニング 福島市松川町字天王原3 024-567-2302
白水晶クリーニング 福島市松川町水晶沢1-3 024-567-2095
佐久間ドライクリーニング 福島市松川町沼北2-5 024-567-2351
山ギワクリーニング店 福島市庭坂字松ノ下32-6 024-591-1321
クリーニング北沢 福島市森合字屋敷下38-18 024-557-2526
（有）アベドライ舎 福島市宮下町17-14 024-534-7084
竹内ゆのし店 福島市早稲町8-22 024-522-4494
（有）太田ドライクリーニング 福島市三河南町19-9 024-534-0863
舟山クリーニング店 福島市野田町四丁目11-10 024-533-5438
渡辺クリーニング 福島市八島田北古屋1-8 024-557-0814
味沢ドライクリーニング 福島市太田町19-30 024-534-2951
クリーニング三愛 福島市東中央2丁目78 024-535-0103
やぎさわクリーニング 福島市東中央一丁目79 024-535-0018
（有）東洋舎クリーニング店 福島市舟場町3-51 024-523-3084
佐久間クリーニング（株） 福島市仲間町8-10 024-522-3011
三浦クリーニング店 福島市入江町10-5 024-534-8467
福島クリーニング商会 福島市桜木町7-17 024-534-6620
（協）県北クリーニングセンター 福島市太平寺字樋田5 024-546-9414
（株）ヤマカワドライ 福島市伏拝台田2-3 024-546-3666
しのぎクリーニング 福島市蓬莱町5-11-3 024-548-2040
渡辺クリーニング 福島市方木田葉ノ木立29-126 024-546-4774
さふじクリーニング 福島市岡部内川原115-2 024-535-5617
さんぺいクリーニング店 福島市御山上谷地3-14 024-535-2797
ホームドライ松本 福島市泉字堀の内4-7 024-557-1072
長南ドライクリーニング 福島市南沢又字柳清水19-11 024-557-0556
三浦クリーニング店 会津若松市一箕町大字亀賀字藤原368-4 0242-25-3333
サンドライクリーニング 会津若松市一箕町大字亀賀字郷之ノ原373 0242-25-1549
（有）上野ドライクリーニング店 会津若松市馬場町2-8 0242-22-0733
はり松クリーニング店 会津若松市大町1丁目4-20 0242-22-3164
（株）佐藤クリーニング店 会津若松市大町一丁目1-1 0242-29-3232
吉川クリーニング店 会津若松市城北町6-5 0242-22-9714
福栄舎クリーニング 会津若松市七日町12-12 0242-22-3089
井上ドライクリーニング 会津若松市西七日町13-4 0242-25-1301
（株）斎藤クリーニング店 会津若松市町北町大字始字深町55-3 0242-32-0460
松屋クリーニング店 会津若松市城前6-34 0242-27-0694
（有）栗城クリーニング 会津若松市千石町4-11 0242-22-4352
白水舎クリーニング 会津若松市門田町大字御山字村中325-3 0242-26-3142
たくみクリーニング店 会津若松市門田町大字御山字村中334-3 0242-28-2669
佐藤クリーニング 会津若松市錦町2-72 0242-27-5061
クリーニングエンドー 会津若松市古川町9-3 0242-27-9675
クリーニング新城 会津若松市日新町2-5 0242-27-6609
長谷川ドライクリーニング店 会津若松市日新町4-34 0242-27-5557
若林クリーニング店 会津若松市本町2-22 0242-28-1162
（合）染長 会津若松市新横町1-15 0242-26-0521
塩田クリーニング 郡山市安積町南長久保1-269 024-945-7378
（有）成田商会 郡山市安積町成田西畑14 024-945-2045
（株）柳田商事 郡山市大槻町字下町東64 024-952-3357
クリーニングショップいまえ 郡山市大槻町字六角北19-6 024-952-5430
吉田クリーニング 郡山市大槻町西の宮前23-3 024-951-1807
ハワイクリーニング社 郡山市土瓜1-44 024-951-4739
（有）さくらサービス商会 郡山市片平町字大山南1-36 024-951-0327
（有）クリナーズファクトリー 郡山市日和田町字泥夫19-13 024-958-6173
（有）泉川クリーニング商会 郡山市喜久田町菖蒲池22-445 024-959-4866
（有）郡山ベビ 郡山市田村町上行合字下川原87-3 024-944-6305
（協）郡山クリーニングセンター 郡山市田村町上行合字下川原91-2 024-943-2974
クリーニングたかもり 郡山市田村町徳定下河原177-3 024-944-6861
熱海クリーニング 郡山市熱海町熱海6-28 024-984-2721
三英クリーニング 郡山市清水台2-9-20 024-922-9313
（有）クリーニングハウスキョウヤ 郡山市若葉町10-16 024-925-4646
松屋クリーニング 郡山市虎丸町22-4 024-922-2833
スワンクリーニング店 郡山市虎丸町9-17 024-932-3509
滝田クリーニング 郡山市朝日1-29-15 024-923-4054
登嶋クリーニング 郡山市桑野2-6-11 024-934-6038
ドライクリーニング和泉 郡山市亀田1-39-6 024-933-3682
（有）クリーニングラビット 郡山市島2丁目40-26 024-932-2955
新生クリーニング 郡山市富久山町福原字福原44-1 024-933-2396
田代クリーニング 郡山市富久山町久保田乙高37-1 024-925-0213
クリーニングハウスヤマト 郡山市富久山町字古町246-1 024-941-5755
大富ランドリー 郡山市喜久田字寺久保23-50 024-951-0370
鈴やクリーニング商会 郡山市菜根3-26-4 024-922-5927
柳沼クリーニング 郡山市本町2-11-1 024-922-2577
和光クリーニング 郡山市愛宕町4-24 024-922-4366
（有）東京クリーニング 郡山市麓山1-6-11 024-922-2179
（有）ツチヤクリーニング 郡山市麓山2-6-17 024-922-4101
（有）富士クリーニング商会 郡山市堂前町12-10 024-933-2368
（有）東洋クリーニング 郡山市堂前町2-19 024-922-5554
藤井クリーニング店 郡山市堂前町7-1 024-922-8259
石川クリーニング いわき市平下神谷字出口1 0246-34-5873
三和クリーニング店 いわき市平下神谷字後原59-6 0246-34-2005
鈴木クリーニング店 いわき市好間町上好間字馬場前5 0246-36-2038
（有）佐久間ドライ いわき市平幕ノ内字五反田10-4 0246-25-3831
霜山クリーニング いわき市平中神谷字北出口1 0246-34-2173
ハセガワクリーニング いわき市平北白土字中島20-1 0246-25-0636
小松崎クリーニング いわき市平二丁目51番地 0246-25-3343
クリーニングハナブサ いわき市平字南町57 0246-25-2694
まつざわクリーニング いわき市平字堂ノ前12 0246-22-6117
ファッションクリーニングマルヨシ いわき市平字堤の内3-4 0246-25-2517
中山クリーニング いわき市平中山字柳町52-3 0246-23-4672
日用舎 いわき市郷ヶ丘二丁目35-2 0246-28-6444
（資）石川ドライクリーニング商会 いわき市小名浜吹松2-1 0246-92-2855
新生クリーニング いわき市小名浜吹松6-20 0246-54-2328
谷ドライクリーニング店 いわき市小名浜字中坪34 0246-92-2834
金子クリーニング いわき市小名浜字隼人12-1 0246-92-4380
中里ドライクリーニング社 いわき市小名浜字鳥居北68-1 0246-92-3966
鈴屋クリーニング いわき市小名浜定西142 0246-92-5537
マルサクリーニング店 いわき市小名浜花畑24-6 0246-92-3615
かおるランドリー いわき市小名浜大原境西120-4 0246-92-5493
叶益クリーニング いわき市小名浜岡小名三丁目1-47 0246-53-2330
小泉ドライクリーニング いわき市小名浜花畑町18-1 0246-92-4837
大谷ドライクリーニング いわき市小名浜愛宕町13-8 0246-53-3862
こまつざき いわき市常磐湯本町三函248 0246-42-3082
（合）日用舎 いわき市常磐湯本町天王崎1-84 0246-42-2262
倉沢クリーニング店 いわき市常磐湯本町天王崎35 0246-43-6818
小宮クリーニング店 いわき市桜ヶ丘4-156-1 0246-42-3379
見形クリーニング店 いわき市内郷御厩町一丁目90 0246-26-2083
中屋クリーニング店 いわき市内郷綴町一の坪55 0246-26-2059
内郷ランドリー いわき市内郷綴町金谷8-1 0246-26-1025
トキワクリーナー いわき市内郷宮町金坂63 0246-26-3425
矢内クリーニング いわき市金山町東台146-2 0246-62-2393
白末舎クリーニング店 いわき市錦町上中田17-17 0246-63-4375
片桐クリーニング店 いわき市錦町作鞍134-4 0246-62-3851
総合クリーニングつばき商会 いわき市錦町鳥居西19-5 0246-62-3588
松田染洗工所 いわき市植田町中央1丁目4-13 0246-62-3547
オノヤクリーニング店 いわき市植田町本町1-11-17 0246-62-2764
（資）本村清洗舎 いわき市植田町本町二丁目3-5 0246-62-2308
ウエダクリーニング いわき市植田町根小屋24-16 0246-63-5592
マルヨシクリーニング店 いわき市勿来町窪田西殿町85 0246-64-7205
（有）クリーンショップアリス 白河市字女石39 0248-27-3144
森クリーニング店 白河市表郷金山字竹ノ内14-1 0248-32-3592
（有）すずきクリーニング 白河市新高山21-1 0248-22-7834
東幸ドライクリーニング店 白河市束前町1-60 0248-24-0357
きものシミぬき処山崎屋 白河市円明寺41 0248-23-2045
タシロ商会 白河市大工町20 0248-23-2893
クリーニングハウスムサシヤ 白河市愛宕町60 0248-23-3331
（株）セルクル 須賀川市影沼町247 0248-73-2332
三橋クリーニング商会 須賀川市堀込字浦通南75-29 0248-68-2726
さとうクリーニング 須賀川市滑川字十貫内745-1 0248-73-4462
高橋クリーニング 須賀川市千日堂7 0248-73-3929
ランドリー芳賀 須賀川市古屋敷一 0248-75-3334
白陽舎クリーニング 喜多方市字惣座宮2754 0241-22-0803
斎藤クリーニング店 喜多方市字小田付道下7132 0241-22-2318
阿部クリーニング商会 喜多方市字町田8286-2 0241-22-0618
星クリーニング 喜多方市字千苅8350 0241-23-2135
阿部クリーニング店 喜多方市字前田4920-3 0241-22-0829
白清舎クリーニング店 喜多方市字前田4986-22 0241-22-0775
洗濯工房えんどう 喜多方市諏訪15 0241-22-0931
遠藤クリーニング店 喜多方市松山町村松字大坪1823-19 0241-22-4218
水留クリーニング店 喜多方市松山町村松字小荒井道西536 0241-22-5191
高崎クリーニング店 喜多方市豊川町米室字堰田4142-1 0241-22-4279
ホワイトクリーニング 相馬市中村字大手先45 0244-35-2480
今福ドライクリーニング店 二本松市岳温泉1-126 0243-24-2026
柴田クリーニング 二本松市太田芦堰7 0243-46-3804
アメリカヤクリーニング 二本松市藤太郎内68 0243-62-4844
美保里クリーニング 二本松市若宮二丁目158-22 0243-22-4874
半澤クリーニング店 二本松市亀谷1-59 0243-22-0511
（有）ドライクリーニング平石屋 二本松市金色406-8 0243-23-2929
（株）クリーニングハイエリート 二本松市渋川大坦20-3 0243-53-2406
冨士クリーニング店 田村市滝根町大字神俣字関場537 0247-78-2383
滝根クリーニング 田村市滝根町神俣字町240 0247-78-3051
吉田クリーニング店 田村市大越町上大越字蟹沢56 0247-79-2631
シカノクリーニング 田村市船引町大字船引字北町通23 0247-82-1288
クリーニング白誠舎 田村市船引町畑添36-1 0247-82-0241
伏見クリーニング店 南相馬市原町区大町3-66 0244-23-6427
原町クリーニング 南相馬市原町区栄町1-107 0244-23-2725
きのたクリーニング店 南相馬市原町区旭町3-17 0244-23-2469
（株）北洋舎クリーニング 南相馬市原町区南町2-163 0244-23-3578
（有）庄司クリーニング 南相馬市原町区南町2-54 0244-23-2284
東京舎クリーニング 南相馬市原町区南町2-70 0244-23-2533
ほりもとクリーニング 南相馬市原町区南町2-75 0244-22-3445
東洋ランドリー 南相馬市原町区小川町272-1 0244-23-3666
矢沢クリーニング商会 南相馬市原町区小川町354-13 0244-23-2333
竹本クリーニング 南相馬市原町区北町475-1 0244-22-3635
二上クリーニング 南相馬市原町区錦町1-58 0244-22-6164
星ドライクリーニング 南相馬市小高区仲町1-78 0244-44-2433
藤橋クリーニング店 南相馬市小高区東町2-5-1 0244-44-3263
さとうクリーニング店 南相馬市鹿島区西町1-113 0244-46-3315
（有）ホワイトランドリー 伊達市右城2-5 024-583-2329
吉田クリーニング店 伊達市保原町鉄砲町16 024-576-2826
保原白洋社 伊達市保原町9丁目2 024-576-3321
田代クリーニング 伊達市保原町字栄町28-1 024-576-2715
（有）熊坂クリーニング 伊達市保原町東野崎161 024-575-1581
三和クリーニング店 伊達市保原町上保原字上ノ原3-12 024-576-3058
うしおランドリー 伊達市保原町上保原正地内3-4 024-575-2390
潮ランドリー 伊達市保原町上保原正地内3-4 024-575-2390
浦野クリーニング店 伊達市梁川町柳田町頭25 024-577-3542
紺野ドライクリーニング店 伊達市梁川町字伝樋5-12 024-577-1762
あさひドライクリーニング 伊達市霊山町大字掛田字辻向38-4 024-586-1088
マシコクリーニング 本宮市本宮字上町20-1 0243-33-2627
柏屋クリーニング 本宮市本宮字万世25-9 0243-34-2088
マノメクリーニング店 本宮市本宮字千代田1 0243-33-2421
シミズクリーニング 本宮市本宮字万世108-7 0243-34-2352
エーワンクリーニング 伊達郡桑折町字町裏17-2 024-582-2833
京屋クリーニング店 伊達郡桑折町字本町58 024-582-2307
五十嵐クリーニング店 伊達郡桑折町字陣屋13-1 024-582-3231
タカノクリーニング店 伊達郡桑折町大字南半田字六角28 024-582-2431
むさしクリーニング 伊達郡国見町藤田北20 024-585-3568
日の出クリーニング 伊達郡川俣町東福沢字熊の宮29-6 024-566-2318
川俣舎クリーニング工場 伊達郡川俣町池の入13 024-565-2629
黒木クリーニング店 伊達郡川俣町字後田17 024-565-3660
小林クリーニング店 南会津郡只見町大字小林字下照岡562-3 0241-86-2429
（有）クリーニング太陽舎 南会津郡南会津町田島字北下原甲2100 0241-62-0515
若木星クリーニング店 南会津郡南会津町田島字西町甲4345-1 0241-62-0826
（有）会津白芳商会 南会津郡南会津町松戸原141 0241-78-2026
やまうちクリーニング店 南会津郡南会津町山口字村上1154 0241-72-2577
上田クリーニング店 耶麻郡西会津町野沢字上原乙2464-4 0241-45-3144
白新舎（阿部クリーニング） 耶麻郡猪苗代町字神明町3704-7 0242-62-2419
（株）白成舎 耶麻郡猪苗代町字城南70 0242-62-4353
磐梯ランドリー 耶麻郡猪苗代町大字西舘283 0242-66-3999
白泉舎クリーニング店 河沼郡会津坂下町字一丁田甲2318-2 0242-83-2570
タカハシクリーニング 河沼郡会津坂下町字上口671-2 0242-83-3572
（有）風間クリーニング店 河沼郡会津坂下町字五反田1282 0242-83-2040
桜井ドライクリーニング 河沼郡会津坂下町市中三番甲3745 0242-83-3363
宮下クリーニング店 大沼郡三島町大字宮下字宮下236 0241-52-2032
目黒ドライクリーニング店 大沼郡金山町大字川口字下町606 0242-54-2525
長谷川クリーニング店 大沼郡会津美里町字鹿島3116-1 0242-54-3421
恵美長クリーニング店 大沼郡会津美里町字高田甲2918 0242-54-3320
小川屋クリーニング 大沼郡会津美里町字御蔵南370 0242-54-3248
（有）クリーニングショップバルーン 西白河郡西郷村大字小田倉字前山197-2 0248-25-2056
塩田ランドリー 西白河郡矢吹町中町111 0248-42-2259
白英舎クリーニング 西白河郡矢吹町一本木164-1 0248-42-3969
白栄舎クリーニング店 東白川郡棚倉町鉄砲町31 0247-33-2331
大黒屋クリーニング店 東白川郡棚倉町大字棚倉字古町94-3 0247-33-2973
（有）藤沢クリーニング店 東白川郡塙町大字塙字栄町41-1 0247-43-0203
下川クリーニング店 東白川郡塙町大字塙字桜木町317-1 0247-43-0219
芳賀クリーニング店 石川郡石川町字高田102 0247-26-0603
なかじまクリーニング店 石川郡石川町当町5 0247-26-0810
せきねクリーニング店 石川郡石川町字下泉176 0247-26-4013
