店名 住所 電話番号
進藤クリーニング 神戸市東灘区本山北町1丁目8-12 078-411-1307
サンワクリーニング 神戸市東灘区本山南町2丁目13-9 078-431-1650
ブランシサァにしき 神戸市東灘区深江本町3-6-2 078-411-2353
池田クリーニング 神戸市東灘区青木2丁目15-14 078-451-2705
中島クリーニングセンター 神戸市東灘区住吉南町1丁目8-2 078-822-4235
ナゴウランドリー 神戸市東灘区御影本町2-10-5 078-811-3309
エヒメランドリー 神戸市東灘区御影本町4丁目7-1 078-851-7911
（有）阪神ランドリー 神戸市東灘区御影本町6丁目14-8御影市場旨水館内 078-851-7096
ドライクリーニングリバティー 神戸市東灘区住吉宮町2-20-11 078-851-2859
内藤クリーニング店 神戸市東灘区住吉宮町3丁目11-4 078-851-8016
モリヤスクリーニング 神戸市東灘区魚崎中町2丁目10-31 078-451-4127
（有）ヤマワキクリーナーズ 神戸市灘区弓木町5丁目2-12 078-851-1800
（株）ローブ・ニシジマ 神戸市灘区記田町2丁目1-2 0788226660
株式会社AK-LAB 神戸市灘区友田町４丁目３番７号 078-861-4030
東洋舎クリーニング 神戸市灘区備後町2丁目1-20 078-841-0568
白星社クリーニング（株） 神戸市灘区琵琶町3丁目1-17 078-861-1172
スタークリーニング 神戸市灘区下河原通3丁目1-2 078-882-3346
マザークリーニング 神戸市灘区ノ木通3丁目5-2 078-861-2912
ニュー灘クリーニング 神戸市灘区宮山町2丁目5-2 078-851-4000
芦屋ランドリー神戸店 神戸市灘区上野通7丁目2-11 078-861-0557
ハリミツクリーニング水道筋店 神戸市灘区水道筋3丁目4-8 078-806-8644
（有）岡本クリーニング 神戸市灘区水道筋5丁目1-19 078-861-2734
（有）神戸クリーンサービス 神戸市灘区大石南町2-11-2 078-861-8451
（有）つるや本店 神戸市兵庫区神田町28-10 078-361-0932
アサノヤ 神戸市兵庫区湊山町4-2 078-511-0788
（株）キリン屋幸クリーニング 神戸市兵庫区下祇園町1-2 078-341-2354
グランド・クリーニング 神戸市兵庫区下祇園町15-9 078-361-1222
（株）平野ランドリー 神戸市兵庫区下祇園町31-8 078-361-2301
（有）長崎屋 神戸市兵庫区荒田町2-15-14 078-511-5838
星光クリーナー 神戸市兵庫区西上橘通1丁目1-16 078-575-4986
マナベクリーニング店 神戸市兵庫区湊川町1丁目2-7 078-521-2731
サカタクリーナーズ 神戸市兵庫区湊川町8丁目15-6 078-511-7606
中屋（本店）クリーニング店 神戸市兵庫区大同町4丁目5-10 078-511-5843
トラヤクリーニング 神戸市兵庫区夢野町2丁目17 078-511-1837
（有）フタバヤ 神戸市兵庫区水木通6丁目4-11 078-576-4441
クリーニングセンター大開 神戸市兵庫区水木通8丁目2-11 078-576-6441
ファミーユ・ヤマモト 神戸市兵庫区塚本通4丁目3-12-301 078-531-3873
金丸クリーニング 神戸市兵庫区西柳原町6-4松本ハイツ1階 078-575-1366
衣料の美容室 神戸市兵庫区浜崎通1-35 078-671-2292
（有）ドライショップ川口 神戸市兵庫区御崎町2丁目1-5 078-671-6628
（株）LAUNDROMAT 神戸市兵庫区駅南通3-2-20 078-335-8360
（株）Ｓ３ 神戸市長田区東尻池町6-4-7 078-599-6999
第一菊水クリーニング店 神戸市長田区腕塚町1丁目3-1 078-621-2267
イハラクリーニング 神戸市長田区川西通5丁目105-17 078-691-6437
ドライクリーナー大江 神戸市長田区鶯町1-1-21 078-691-5955
平和パーククリーナー（株） 神戸市須磨区多井畑字東山ノ上13-4
ファーストリネンサービス（株） 神戸市須磨区中落合2丁目2-5名谷センタービル7F 078-793-3232
垂水クリーニング 神戸市垂水区神田町2-30 078-707-3791
（有）クリーニング松村 神戸市垂水区星が丘2-4-7 078-709-1092
垂水ドライ 神戸市垂水区星陵台1丁目9-21 078-781-2693
浜本クリーニング 神戸市垂水区東舞子町12-47 078-781-9086
（株）大室明治也 神戸市垂水区西舞子2丁目10-31 078-782-6510
（株）ホームドライ 神戸市北区鈴蘭台北町7-4-22 078-591-2343
つるや井上クリーニング店 神戸市北区鈴蘭台東町1-5-9 078-591-0136
マナベクリーニング 神戸市北区鈴蘭台南町5丁目2-40 078-592-8658
三和クリーニング 神戸市北区鈴蘭台西町3丁目8-14 078-591-5615
ニューライフクリーナ 神戸市北区花山東町3-29-104 078-583-5395
ニチエードライ 神戸市北区緑町1丁目4-9 078-581-6371
二階クリーニング 神戸市北区有野町有野2140 078-981-6127
（株）有馬リネンサプライ 神戸市北区赤松台1-2-5 078-986-0662
ライト商会 神戸市中央区加納町4丁目9-28 078-391-2440
米田屋クリーニング店 神戸市中央区中山手通1丁目14-1 078-331-5612
小清水ドライクリーナー 神戸市中央区再度筋町1-2 078-341-1709
トキワクリーニング店 神戸市中央区下山手通2丁目12-10 078-331-6660
小阪クリーニング店 神戸市中央区下山手通3丁目3-16 078-331-6492
高田クリーニング 神戸市中央区下山手通4丁目12-7 078-331-5780
生田クリーニング 神戸市中央区北長狭通2丁目8-11 078-391-0109
川村クリーニング店 神戸市中央区北長狭通4-5-11 078-331-6209
多聞クリーニング 神戸市中央区多聞通1丁目2-4 078-341-1170
イケハタクリーニング 神戸市中央区橘通4丁目2-6 078-361-5906
セイコー社クリーニング店 神戸市中央区楠町1-1-3 078-351-6643
（有）ヒシヤ 神戸市中央区相生町5丁目10-21 078-671-3568
熊内ドライクリーナー 神戸市中央区熊内橋通4丁目2-16 078-221-8526
後藤クリーニング 神戸市中央区八雲通3丁目1-4 078-221-4554
不二屋クリーニング店 神戸市中央区八雲通5丁目6-8 078-231-0861
扇屋ランドリー 神戸市中央区二宮町2丁目13-20 078-221-7723
（株）シルバークリーニング三宮店 神戸市中央区二宮町4丁目7-3 078-221-8322
グッド・ハート（株） 神戸市西区池上3丁目6-2 078-978-2055
たちばなクリーニング 神戸市西区伊川谷町有瀬513 078-975-3121
洗濯工房イズム 神戸市西区王塚台5-91-2 078-929-3126
（有）船場ランドリー 姫路市南車崎2丁目3-45 0792-98-4488
（株）東亜染織 姫路市新在家本町5丁目1-24 0792-92-0601
京屋クリーニング 姫路市砥堀400 0792-64-5234
（有）はくろ商会 姫路市宮西町2丁目20-1 0792-89-4649
（有）すがのやクリーニング店 姫路市国府寺町31 0792-22-0586
かりのクリーニング 姫路市北条口5丁目60 0792-23-7342
ハトクリーニング 姫路市大塩町943-8 0792-54-2815
田中クリ－ニング 姫路市四郷町見野122 0792-52-2555
三木クリーニング 姫路市広畑区小坂248 0792-36-1822
（株）辰美屋クリーニング 姫路市網干区和久480-2 0792-72-1768
（有）デナップ姫路 姫路市余部区上余部689-10 0972-73-9613
（有）播州クリーニング 姫路市夢前町古知之庄1084-1 079-336-0232
ふじクリーニング 姫路市飾西50-7 0792-66-2782
（株）ローズグループ 姫路市青山西2丁目24-1 0792-66-4262
コーエイ社クリーニング 姫路市菅生台96-12 0792-66-0355
クリーニングきりしま 姫路市白鳥台1丁目31-14 0792-66-7319
銀座屋クリーニング 姫路市白鳥台3丁目5-22 0792-66-1678
（有）オノエクリーニング 姫路市白浜町宇佐崎中1丁目251 0792-45-0416
（有）喜多ランドリー 姫路市飾磨区中島５３８−４ 0792-33-0145
播州クリーニング 姫路市飾磨区上野田3丁目8 0792-33-0668
（株）キレイニ 姫路市飾磨区須加2 0792-35-0765
（有）大田原クリーニング 姫路市飾磨区構3丁目436-5 0792-35-4623
山陽ダイヤパーサーヴィ（株） 姫路市林田町林谷696-100 0792-61-3432
アサヒ屋クリーニング 尼崎市大島1丁目1-6 06-6416-1724
クリーニング大阪屋 尼崎市杭瀬本町1-15-3
伊豆屋 尼崎市西難波町3丁目30-8 06-6416-6423
湯川クリーニング 尼崎市西難波町6丁目10-31 06-6481-8623
毎日屋クリーニング 尼崎市南塚口町8丁目65-15 06-6429-0932
トラヤランドリー 尼崎市栗山町1丁目20-14 06-6429-0535
日之出屋クリーニング 尼崎市尾浜町2丁目26-18 06-6429-2916
白屋クリーニング 尼崎市立花町1丁目7-19 06-6429-1327
（有）明治屋クリーニング店 尼崎市武庫之荘東1丁目26-14 06-6436-5063
アワジヤクリーナーズ 尼崎市武庫元町2丁目16-13 06-6431-7364
タマキヤ 尼崎市東園田町4丁目95-2 06-6491-9404
阿波屋 尼崎市若王寺1-2-2 06-6491-6715
白光ランドリー 明石市西新町2-12-28 078-923-1528
白清社クリーニング店 明石市林崎町2丁目1-21 078-922-5016
朝霧クリーナー 明石市東朝霧丘1-4 078-912-6258
栄屋クリーニング店 明石市朝霧町1丁目19-14 078-911-8103
（有）明石ドライ 明石市朝霧南町4-2-44 078-912-4138
平野ランドリー 明石市大蔵本町12-3 078-912-5266
（資）多田クリーニング店 明石市大久保町大窪228 078-935-2206
天野屋 明石市大久保町西島836-17 078-947-0241
（有）ワシクリーニング 明石市魚住町清水2261 078-942-1410
三陽ドライ 明石市魚住町清水534-2 078-947-0806
クリーニング研究一ふじキワタ 明石市二見町東二見928 078-943-3125
太陽ドライクリーナー 西宮市羽衣町5-19 0798-23-4697
ハニークリーニング 西宮市松ケ丘町12-21 0798-72-9162
日光舎 西宮市豊楽町1-31 0798-72-5867
クリーニング　やました（株） 西宮市門戸岡田町9-12 0798-52-2500
井上クリーニング 西宮市越水町9-17 0798-74-0492
エンパイヤランドリー 西宮市本町4-24 0798-22-1619
日野クリーニング 西宮市戸田町4-29 0798-26-0816
（株）カワキ屋クリーニング店 西宮市西宮浜2-21-8 0798-35-9029
（株）ハチヤ 西宮市西宮浜2丁目27 0798-33-3554
日本エアリネン　（株） 西宮市西宮浜2丁目31 0798-33-6856
宝屋ランドリー 西宮市屋敷町1-5 0798-22-4696
清光舎クリーニング 西宮市段上町2-22-8 0798-52-2550
大阪屋クリーニング 西宮市段上町2丁目17-27 0798-51-0655
土井クリーナー 西宮市段上町3-10-19 0798-53-5268
きたのや 西宮市甲子園口6丁目15-8 0798-67-2622
平野クリーニング 西宮市小松南町3丁目3-1 0798-41-0913
菊屋ランドリー 西宮市笠屋町21-17 0798-49-3888
阿波屋クリーニング 西宮市鳴尾町3丁目17-3 0798-41-6040
三ツ星クリーニング 西宮市鳴尾町4丁目5-6 0798-46-7055
クリーニング大島屋 西宮市鳴尾町5丁目4-23 0798-41-2340
白宝舎 西宮市津門宝津町13-5 0798-26-6391
日曜軒 洲本市本町6丁目4-24 0799-22-4928
神戸屋 洲本市栄町4丁目2-41 0799-22-1484
増井クリーニング 洲本市上物部1丁目5-8 0799-22-2005
打出朝日屋クリーニング 芦屋市若宮町2-13-104 0797-22-6053
（有）朝日屋本店 芦屋市浜芦屋町7-4 0797-22-3991
（株）マツミヤ 芦屋市上宮川町6-1-101 0797-34-1535
（株）芦屋サンシャインセンター 芦屋市公光町8-2 0797-23-0637
（株）壷坂クリーニング工場 芦屋市茶屋之町1-17 0797-31-2514
西尾ランドリー 芦屋市清水町3-10 0797-22-0694
（合）東洋ランドリー 芦屋市清水町4-5 0797-22-0353
朝日屋駅前店 芦屋市船戸町2-1-102 0797-22-5544
みずほクリーニング 伊丹市瑞穂町3丁目5-2 0727-81-4514
クリーニングはぎはら 伊丹市北本町1丁目183 0727-82-1961
三和ランドリー 伊丹市森本2丁目38 0727-82-1424
（有）タホクリーニング 伊丹市藤ノ木2-3-4 072-782-7507
（有）クリーニングのたけばやし 伊丹市西台3-4-1 0727-82-2808
白木屋クリーニング 伊丹市西台3-7-28 0727-72-1963
本多クリーニング店 伊丹市稲野町7丁目3-4 0727-72-4095
不二屋 伊丹市昆陽東4-2-1-1 0727-81-5375
福永屋　伊丹店 伊丹市船原2-3-1 0727-81-0627
芦屋ランドリー伊丹店 伊丹市大鹿2-14 0727-82-6080
（有）朝日屋 相生市双葉2丁目15-28 0791-22-0919
冨士屋クリーニング店 相生市相生1丁目7-19 07912-2-6384
（株）白バラドライ 豊岡市庄境995-1 0796-22-3298
（株）レック 加古川市野口町水足工業団地内 0794-23-1321
丸三クリーニング 加古川市加古川町北在家2545 0794-21-5105
小林クリーニング店 加古川市西神吉町大国236-1 0794-31-5565
三好舎クリーニング 加古川市加古川町美乃利525 0794-23-2160
（有）ナガイ 加古川市平岡町新在家912-3 079-425-2455
（有）黒田クリーニング 加古川市平岡町西谷181-6 0794-23-2877
黒田クリーニング 赤穂市塩屋2-5 07914-2-3839
神戸屋クリーニング 赤穂市塩屋376 07914-2-5460
馬場クリーニング 赤穂市尾崎木下町3129 07914-2-5366
わだクリーニング 赤穂市加里屋中洲5-38 07914-2-5472
のなかランドリー 宝塚市小林1丁目16-8 0797-72-2629
山本ドライクリーニング店 宝塚市小林2-2-5 0797-72-3769
福井屋 宝塚市福井町16-4 0797-72-7105
宝塚クリーナー花園 宝塚市旭町2丁目10-10 0797-87-2580
はりまクリーニング 高砂市中筋2丁目5-14 0794-47-1722
（株）富士屋 小野市復井町883-2 0794-66-7253
森クリーニング店 小野市黒川町2-3 0794-62-2786
井上クリーニング店 加西市北条町栗田48 0790-42-1174
（株）ハイクリーニング小西 篠山市八上上264-1 0795-56-2307
田辺クリーニング商会 南あわじ市松帆古津路577-94 0799-36-3249
フクダクリーニング 加東市横谷７５３−１ 0795-47-1172
（株）フレッシュ 加東市上滝野786-6
堀クリーニング店 たつの市御津町釜屋168 07932-2-1625
松本クリーニング たつの市揖保川町山津屋31 0791-72-2029
亀屋クリーニング店 たつの市揖保川町片島790-1 0791-72-3665
小寺クリーニング たつの市龍野町島田355-8 0791-62-2148
寺内クリーニング店 たつの市龍野町日山字新田1-30 0791-62-1414
前田クリーニング店 たつの市龍野町川原町162 0791-62-0646
とんぼやクリ－ニング店 たつの市龍野町川原町209 0791-62-0618
寺村クリーニング店 たつの市新宮町上笹512-2 0791-77-0307
鳳クリーニング店 たつの市新宮町新宮176-8 0791-75-2548
岩尾クリーニング たつの市新宮町新宮562-5 0791-75-1101
新関西衣料サービス（株） 加古郡稲美町六分一1352-1 0794-95-0044
一冨士クリーニング 加古郡播磨町北古田2丁目7-30 0794-37-0377
真光クリーニング店 加古郡播磨町二子155 078-942-9228
大林クリーニング 赤穂郡上郡町大枝55-5 07915-2-1339
村中クリーニング 佐用郡佐用町米田211 0790-78-0668
クリーニングショップＯＫドライ 佐用郡佐用町佐用2888 0790-82-2257
岡本クリーニング 佐用郡佐用町上月1026-1 0790-86-0084
（株）太陽舎 美方郡香美町香住区香住1719 0796-36-0485
