店名 住所 電話番号
（有）スガヤドライクリーニング工場 水戸市南町2-2-37 029-221-3931
公認ドライクリーニング店コロムビア 水戸市南町3-4-17 029-221-4608
（有）モリ幸クリーニング店 水戸市南町3-4-60 029-221-3629
東京クリーニング 水戸市大工町2-4-14 029-227-2634
藤屋クリーニング店 水戸市新荘1-6-11 029-221-5670
信託クリーニング 水戸市西原1-7-39 029-251-4020
森本クリーニング店 水戸市末広町1-2-40 029-231-4490
クリーニングウミノ 水戸市五軒町1-2-24 029-221-0120
岩崎クリーニング 水戸市栄町2-3-27 029-231-0356
白水ドライクリーニング（株） 水戸市柵町2-6-20 029-227-2626
クリーニングはやし 水戸市本町2-14-9 029-225-7479
（有）エンドウ 水戸市本町3-13-16 029-231-1531
（有）東関ユニフォーム 水戸市住吉町88-4 029-248-5888
（株）クリーニングのシルキー 水戸市笠原町245-2 029-241-8630
石塚クリーニング 水戸市平須町158-146 029-241-6818
平須クリーニング 水戸市平須町1820-161 029-241-5069
圷クリーニング 水戸市平須町1822-243 029-241-7362
ドライクリーニングきみじま 水戸市堀町962-2 029-231-9063
ドライクリーニングあくつ 水戸市堀町979-4 029-252-6420
中村クリーニング商会 水戸市見川5-131-15 029-251-5104
大石クリーニング店 水戸市内原町1429-9 029-259-2429
ドライクリーニングショップサンフラワー 日立市水木町2-40-1 0294-52-0652
日立クリーニング店 日立市弁天町1-1-2 0294-21-1728
宝クリーニング店 古河市横山1-14-9 0280-22-1327
クリーニングクドウ 古河市尾崎3013-7 0280-76-1329
三和クリーニング 古河市山田782-1 0280-76-1374
落合クリーニング店 古河市上辺見2457 0280-32-4007
モリ幸クリーニング 石岡市国府1-5-18 0299-22-5517
たかのクリーニング（株） 石岡市国府3-2-20 0299-22-3020
白水社クリーニング 石岡市国府5-1-3 0299-24-2051
石上クリーニング 石岡市根当1198-1 0299-22-6450
旭クリーニング 石岡市東光台5-11-24 0299-26-2702
桜井クリーニング 石岡市東石岡3-13-7 0299-26-3271
なかやまクリーニング 石岡市高浜958-1 0299-26-3643
茨城リネンサプライ（株） 常陸太田市東二町2254-4 0294-72-2155
小川クリーニング店 北茨城市磯原町木皿912 0293-42-0233
山本クリーニング店 北茨城市平潟町151 0293-46-0451
菊池クリーニング店 北茨城市関本町冨士ヶ丘54-9 0293-46-2020
モリ幸クリーニング店 笠間市笠間1185-3 0296-72-0472
グリーンクリーニング 笠間市南吉原416-1 0296-72-6292
愛宕クリーニング店 笠間市八雲1-2-18 0296-77-0102
（株）伊賀屋 つくば市神郡371 029-867-1269
川崎クリーニング店 ひたちなか市釈迦町9-26 029-262-2895
クリーニングかわさき ひたちなか市高野1128-4 029-285-0120
ひやまクリーニング店 ひたちなか市中根5147-11 029-272-6260
ワコークリーニング ひたちなか市津田2762-62 029-272-0436
枝川クリーニング店 ひたちなか市枝川1388 029-226-1309
（有）トーヨコ ひたちなか市共栄町5-2 029-272-3659
和光クリーニング店 ひたちなか市田彦438-3 029-272-6868
村貫クリーニング 守谷市板戸井1601 0297-48-2445
クリーニングメルシー 守谷市ひがし野1-30-3 0297-44-6761
クリーニングハウスカワマタ 常陸大宮市野中町3280-1 0295-52-0258
大竹クリーニング店 常陸大宮市南町949-7 0295-52-0270
大竹クリーニング店 那珂市菅谷4531-18 029-298-0312
（有）日立白洋舎 那珂市杉363-1 029-295-8817
原口クリーニング店 那珂市額田北郷494 029-298-1055
なぎさ本舗京都屋 那珂市豊喰750-10 029-298-8607
大竹クリーニング店 那珂市瓜連1138-2 029-296-0227
大洋クリーニング店 筑西市稲野辺416 0296-22-5864
三晃舎 筑西市玉戸1336-186 0296-22-4856
臼井クリーニング店 筑西市旭町甲802-9 0296-22-2892
瀬畑クリーニング店 筑西市桜町丙335 0296-22-4375
鈴木ドライクリーニング 筑西市稲荷町132 0296-22-2718
大橋屋クリーニング店 筑西市金井町丙321 0296-22-2968
當間リンスクリーニング店 坂東市岩井4497 0297-35-0498
富士屋クリーニング店 坂東市岩井4624-17 0297-35-0362
白豊クリーニング店 坂東市岩井4986-5 0297-35-0655
藤井クリーニング店 坂東市岩井4989-8 0297-35-2202
（株）わたなべ 坂東市辺田1133 0297-35-1640
クリーニングオオヤマ 坂東市辺田1165-1 0297-35-0487
増田クリーニング店 坂東市鵠戸429-1 0297-35-2819
ドライクリーニングくらもち 坂東市みむら1142-1 0297-34-2937
飯塚クリーニング 稲敷市江戸崎甲2983-5 029-892-2949
イナホクリーニング かすみがうら市中志筑1655-1 0299-23-3533
谷川クリーニング 神栖市知手中央3-9-16 0299-96-1448
菅谷クリーニング店 神栖市横瀬8 0299-96-0352
クリーニングのあいせい舎 神栖市大野原2-21-34 0299-92-3570
ランドリータカノ 行方市玉造甲126-4 0299-55-0255
桑原クリーニング店 小美玉市小川524 0299-58-4601
清水屋クリーニング 東茨城郡大洗町五反田194 029-267-2627
ホームドライ 久慈郡大子町矢田1456 0295-72-2789
ファッションクリーニング吉原ドライ 稲敷郡阿見町吉原278 0298-89-0453
