店名 住所 電話番号
黒川クリーニング社　金沢本店 金沢市諸江町上丁307-29 076-262-6664
クリーニング・ベル 金沢市薬師堂町イ45-5 076-233-1488
白旺舎 金沢市若宮町ホ42-7 076-261-6231
クリーニングミヤタ 金沢市大友町ハ154 076-238-3220
（有）洗擢工房うえむら 金沢市松村町2丁目155 076-268-1700
（有）兼六舎 金沢市神谷内町ニ30-8 076-252-7055
（株）丸正クリーニンク 金沢市鳴和1丁目7-10 076-252-7837
クリーニングショップ東山商会 金沢市東山2丁目8-6 076-252-8727
北川クリーニング商会 金沢市堀川町27-13 076-261-7454
（有）森ランドリー 金沢市尾張町2丁目16-89 076-231-7147
林クリーニング 金沢市材木町2-6 076-221-3035
（有）酒井クリーニング本店 金沢市横山町24-10 076-221-5878
（有）よねもとクリーニング 金沢市桜町16-51 076-263-3641
（有）能瀬クリーニング 金沢市石引2丁目1-4 076-221-6464
辻クリーニング店 金沢市旭町2丁目18-1 076-231-1576
三口ランドリー 金沢市三ツ口新町3丁目9-15 076-262-6813
クリーニングショップキング 金沢市片町2丁目27-13 076-221-5914
大島ビューティドライクリーニング 金沢市末町9-32-5 076-229-2515
（有）平木クリーニング店 金沢市福久東1-86 076-258-0257
（有）クリーニンクショップ平木屋 金沢市百坂町イー9-2 076-258-1253
（株）北陸スピードサービスセンター 金沢市駅西本町5-4-25 076-262-1266
土倉クリーニング 金沢市糸田町2丁目214 076-291-3919
（有）おてま 金沢市中村町9-28 076-241-6886
ヤマニクリーニング 金沢市野町1丁目3-5 076-241-4538
酒井クリーニング 金沢市泉1丁目2-7 076-241-3490
判田クリーニング店 金沢市米泉5丁目45-11 076-243-6580
（有）西田クリーニング 金沢市米泉7丁目61-4 076-247-2761
むらいクリーニング 金沢市上荒屋2丁目94 076-249-2050
ローズ 金沢市西大桑町14-18 076-280-4018
平和ドライセンター 金沢市平和町2丁目1-23 076-241-3005
今ランドリー 金沢市平和町3丁目23-32 076-241-5614
共栄クリーニング店 金沢市十一屋町2-15 076-241-2698
（株）松本日光舎 金沢市横川7丁目2 076-241-6155
（有）良川屋 七尾市馬出町ナ49 0767-52-1057
アサヒランドリー（株） 七尾市川尻町ホ135-3 0767-68-2292
（有）石川商会ムライランドラース 小松市小野町巳２３６ 0761-47-2334
奥クリーニング 小松市符津町ナ6-1 0761-44-2601
クリーニングハウス北川 加賀市山中温泉塚谷町1丁目129-2 0761-78-1272
山下クリーニング店 加賀市別所町4-65 0761-77-0155
北陽舎 加賀市山中温泉菅谷町イ226-3 0761-78-4487
（株）サン・ショウ 加賀市山代温泉桔梗が丘1-63 0761-76-1099
馬守クリーニング店 加賀市動橋町イ92 0761-74-1657
北出クリーニング店 加賀市源平町7 0761-74-2364
大家クリーニング店 加賀市片山津温泉ヨー121-1 0761-74-1177
江川クリーニング かほく市高松ナー12 076-281-0848
（有）山口光洋舎 白山市瀬戸申５０−１ 07619-6-7722
石次クリーニング 白山市福留町647 076-277-1058
（株）宮崎クリーニング社 白山市徳丸町427-1 076-276-2402
永言クリーニング店 白山市鍛治町54 076-275-0543
よし井装研舎 白山市美川南町ヌ−１８６−１ 076-278-3315
太田クリーニング店 能美市大成町ホ11 0761-55-0180
粟田ドライセンター 野々市市粟田3-276 076-246-2688
クリーニンクひまわり 野々市市太平寺2-107 076-248-0677
クリーニングフクシマ 野々市市本町4-6-15 076-248-4008
岡田クリーニング店 野々市市町1-3-5 076-246-5796
戸田クリーニング店 羽咋郡志賀町富来領家町こ53-甲 0767-42-0717
藤井クリーニング店 羽咋郡宝達志水町子浦レ-75 0767-29-3577
ヤナギダクリーナース 鳳珠郡能登町柳田梅１４０-２ 0768-76-0056
