店名 住所 電話番号
白光舎クリーニング 盛岡市本町通1-10-12 019-622-4944
（有）内田ランドリー 盛岡市本町通2-1-6 019-622-3733
弘益舎クリーニング 盛岡市上田1-10-10 019-622-8834
高勘クリーニング 盛岡市月が丘1-4-5 019-647-7323
（有）はやしクリーニング 盛岡市みたけ3-10-34 019-641-7328
沢口ドライクリーニング 盛岡市みたけ4-36-23 019-641-0248
星光舎クリーニング 盛岡市前九年1-10-16 019-647-1025
（株）太陽商会 盛岡市前九年3-18-20 019-647-4747
（有）サク山クリーニング 盛岡市大館町16-1 019-645-1870
クリーニングのやまな 盛岡市黒川22-15-26 019-696-5171
貸おしぼり伊藤商店 盛岡市山王町11-5 019-623-7053
木村ドライ 盛岡市仙北3-10-5 019-636-2274
（株）いんべクリーニング 盛岡市西仙北1-41-25 019-635-2111
（有）佐藤クリーニング 盛岡市西仙北1-8-20 019-635-6461
新陽舎クリーニング店 盛岡市本宮2-4-5 019-635-1689
ヤマトクリーニング店 盛岡市南大通2-8-9 019-651-7227
（株）丸庄クリーニング 盛岡市南大通3-12-54 019-651-2661
清水ドライクリーニング 盛岡市天神町8-36 019-622-9404
やはばクリーニング 盛岡市玉山区渋民字駅17 019-683-2613
（有）クリーニングショップ佐々木 宮古市南町3-16 0193-62-5205
さくらランドリー 大船渡市大船渡町字地ノ森41-1 0192-26-3457
（株）広進（古沢クリーニング） 大船渡市盛町字舘下4-8 0192-26-2633
白洋舎ランドリー 大船渡市猪川町前田5-18 0192-26-2371
（有）平野クリーニング 花巻市御田屋町1-59 0198-22-4646
高章洗染（株） 北上市青柳町1-6-28 0197-65-4723
富士ランドリー 北上市青柳町2-7-24 0197-63-3987
さとうクリーニング 北上市川岸3-23-15 0197-63-2958
ドライクリーニングさとう 北上市相去町七里1-74 0197-67-2612
和賀クリーニング店 北上市和賀町藤根17-110-1 0197-73-5440
兼田クリーニング店 久慈市栄町37-120 0194-53-4374
マルエクリーニング 久慈市中央1-2 0194-53-0101
茂木クリーニング 遠野市中央通1-26 0198-62-2467
佐々木クリーニング 遠野市松崎町白岩18-35-6 0198-62-5250
あづまドライ 一関市青葉1-5-30 0191-26-3528
高田クリーニング店 陸前高田市内
高橋ランドリー 陸前高田市内
あんべクリーニング店 釜石市上中島町1-1-39 0193-23-5703
千葉ランドリー 釜石市定内町2-14-5 0193-23-7188
（有）富士クリーニングセンター 釜石市定内町3-3-40 0193-23-5798
（有）佐藤ランドリー 二戸市金田一字大釜69-1 0195-27-3125
クリーニング工藤 二戸市金田一字駒焼場15-25 0195-27-2053
（株）白清舎クリーニング 二戸市福岡字橋場9-6 0195-23-2374
片ヶ瀬クリーニング 奥州市水沢区袋町6-27 0197-23-4242
三更舎クリーニング 奥州市水沢区天文台通6-10 0197-23-4447
セブンランドリー 奥州市水沢区川端140-14 0197-24-3269
赤坂クリーニング店 岩手郡葛巻町葛巻13-37 0195-66-2822
千葉クリーニング 岩手郡葛巻町葛巻8-1-10 0195-66-2351
外山クリーニング商会 岩手郡岩手町大字子抱5-13-17 0195-62-2034
（有）盛南化学ドライセンター 紫波郡紫波町高水寺字土手66-1 019-672-2362
（有）みちのく医療寝具 紫波郡紫波町桜町字本町川原68-5 019-672-4123
富士屋ランドリー 紫波郡紫波町上平沢字南馬場52-8 019-673-6726
盛岡ベビーナッピー（有） 紫波郡矢巾町大字西徳田字堰根94 019-697-2554
（有）東北クリーンサービス 西磐井群平泉町平泉字高田前74-4 0191-46-2227
白洋舎ランドリー 下閉伊郡山田町中央町8-2 0193-82-3639
（株）清水川クリーニング 下閉伊郡岩泉町岩泉字村木48-1 0194-22-2230
白木屋クリーニング 九戸郡野田村大字野田19-2-13 0194-78-2330
丸善クリーニング店 九戸郡洋野町23-27-65 0194-65-2043
日影舘クリーニング 二戸郡一戸町高善寺野田101-2 0195-33-3828
