店名 住所 電話番号
マルシンクリーニング店 高松市宮脇町1-35-9 087-831-3614
ハイドライ森内（有） 高松市錦町1-14-4 087-851-9602
（有）洗光舎 松島町1-2-28 087-831-5223
ニュードライ谷 高松市今里町1-404-11 087-833-5354
（有）クリーンドライ芝原 高松市木太町3580-6 087-861-9137
木村クリーニング店 高松市木太町8区3821 087-866-8044
タイヨウ（株） 高松市春日町1271 087-841-1231
（有）クリーニングササキヤ 高松市林町2558-7 087-865-3630
光泉ドライ 高松市下田井町105-3 087-847-5248
ホワイト舎 高松市前田西町1073-1 087-847-9209
ビッグドライ 高松市西植田町1876 087-849-1102
琴屋ドライ 高松市香川町大野125-5 087-889-3026
井上クリーニング店 高松市香川町川東上2015 087-879-2071
（株）白洋舎 高松市郷東町135-1 087-881-4341
KKトーカイ 高松市鶴市町2025-3 087-882-2222
（有）イレブンリース 高松市松並町724-3 087-865-7611
（有）吉屋商会 高松市室新町1052 087-866-7711
ナニワ・クリーニング店 花ノ宮町2-15-22 087-866-9484
ワコードライ 伏石町1412-17 087-866-0531
白進舎 高松市伏石町1549-7 087-865-8694
和服の関西 三条町509 087-866-7141
さかえドライ（株） 高松市太田下町2245 087-865-7977
前田クリーニング店 高松市仏生山町甲2518 087-889-0329
讃高ドライ 高松市国分寺町2019-2 087-874-0377
（有）飯山ドライクリーニング 丸亀市飯山町川原732 0877-98-3392
塩田クリーニング店 丸亀市津森町26-6 0877-22-6427
（有）東洋舎 丸亀市田村町1552 0877-23-2405
樋口クリーニング店 丸亀市柞原町1206-1 0877-22-4021
坂田ランドリー 丸亀市土器町西8-213 0877-22-6877
ピカットクリーニング 坂出市西大浜北4-2-38 0877-44-3703
森クリーニング店 善通寺市上吉田町1-8-7 0877-62-8676
ヤングドライ丸亀 善通寺市金蔵寺町1061-1 0877-62-5469
（有）ほそかわクリーニング 観音寺市植田町608-5 0875-24-3330
マルニヤクリーニング店 観音寺市観音寺町3401-1 0875-25-2939
丸正クリーニング店 観音寺市観音寺町春日甲2901-7 0875-25-2203
美好屋クリーニング本店 観音寺市昭和町3-1-11 0875-25-2971
大森ドライ 東かがわ市湊634-10 0879-25-3621
日洋舎クリーニング店 三豊市豊中町本山甲1573-23 0875-62-2156
（有）アサヒクリーニング 小豆郡土庄町甲267-45 0879-62-2024
森川クリーニング店 小豆郡土庄町甲5305-1 0879-62-0529
影山クリーニング店 綾歌郡綾川町山田上甲1471-4 087-878-2420
水澤クリーニング店 綾歌郡綾川町滝宮４７６−１ 087-876-0207
沢井クリーニング 仲多度郡琴平町榎井六条781 0877-75-2655
豊栄舎 仲多度郡琴平町榎井旗丘107-2 0877-75-3448
坂本クリーニング店 仲多度郡多度津町幸町2-6 0877-32-5516
