店名 住所 電話番号
クリーニングオーシャン 鹿児島市伊敷2-15-28 099-220-5597
（有）田畑ドライ 鹿児島市下伊敷2-27-2 099-229-5529
古市ドライ 鹿児島市草牟田町6-5 099-223-8684
川口ドライ 鹿児島市小野1-6-27 099-220-7321
橋口クリーニング 鹿児島市永吉町2丁目14-5 099-255-4262
クリーニングめいわ 鹿児島市明和1-50-22 099-282-1346
（有）オーサコドライ 鹿児島市武岡1-29-20 099-281-3100
むらさき屋ドライ 鹿児島市西陵3-29-14 099-281-1477
白美クリーニング 鹿児島市田上1-5-12 099-252-2868
（有）大阪屋ドライ 鹿児島市西田1-8-8 099-251-9654
クリーニング大丸屋 鹿児島市上之園町6-6 099-254-3453
ファイバーケアクリーニング西むら 鹿児島市荒田1-7-15 099-255-1687
和光クリーニング 鹿児島市天保山町16-9 099-257-9639
山内ドライ 鹿児島市鴨池1-16-7 099-254-5749
（有）クリーニング白鳥 鹿児島市鴨池1-7-7 099-252-3326
鹿児島ランドリー 鹿児島市鴨池1-9-1 099-254-2446
クリーニングのやまぐち 鹿児島市宇宿4丁目30-14 099-264-7044
南九イリョー（株） 鹿児島市唐湊4-17-2 099-253-1234
ホンダドライ 鹿児島市柴原3-11-28 099-254-6273
クリーニングTOP 鹿児島市柴原3-7-9 099-255-2620
（有）クリーニングマーベル 鹿児島市東谷山2丁目36-11 099-269-5398
（有）村山ドライ工場 鹿児島市谷山中央6-13-14 099-269-1923
ファッションクリーニングひまわり 鹿児島市谷山中央6-25-2 099-269-0500
クリーニングハウスキュー 鹿児島市桜ケ丘6-4-14 099-264-1159
郡山クリーニングありま 鹿児島市郡山町2063-5 099-298-3823
クリーニングの白栄舎 鹿児島市西伊敷6-35-2 099-220-8770
ファッションクリーニングタニガワ 鹿児島市西伊敷6-39-4 099-220-8020
（有）双葉クリーニング 鹿児島市西伊敷7-23-9 099-229-9335
（株）C&R 鹿児島市犬追町1290-2 099-238-5789
東京カーペットメンテナンス 鹿児島市小山田町5632 099-238-4054
谷口ドライ 鹿児島市易居町6-17 099-222-1032
白晴舎 鹿児島市平之町9-7 099-222-4585
吉野ドライセンター 鹿児島市吉野町1490-1 099-243-0409
さかきドライ 鹿児島市吉野町2317-5 099-243-0062
クリーニングまつもと 鹿児島市上谷口町2865-1 099-278-1029
秀洗こじま 鹿屋市向江町7-11 0994-42-2551
光洋ドライ 鹿屋市串良町細山田5279-88 0994-62-3127
ホームクリーン 枕崎市栄中町462 0993-72-0687
小江平ドライ 枕崎市寿町45番地 0993-72-2655
新町ドライ 阿久根市赤瀬川1162-5 0996-72-1200
クリーニングショップ光 阿久根市大丸町180 0996-72-2544
北薩クリーニング店 阿久根市大丸町95 0996-72-0404
梅田ドライ 出水市境町1181 0996-67-3146
志築ドライ 出水市下鯖町1598 0996-67-1443
福丸クリーニング店 出水市緑町18-14 0996-62-6315
金子クリーニング 出水市本町7-5 0996-62-0408
クリーニングキリノ 出水市大野原町1843 0996-63-1188
松元ドライ 出水市高尾野町大久保125-1 0996-82-0943
（有）クリーンショップエース 出水市高尾野町江内3203-1 0996-85-5577
大栄プレス 指宿市十二町516-6 0993-22-2571
（有）福井クリーニング 西之表市西町15 0997-22-0669
