店名 住所 電話番号
イトウ商会 横浜市鶴見区矢向3-35-3 045-572-3262
㈲松坂クリーニング 横浜市鶴見区矢向3-7-17 045-581-6602
㈱マルゴ商会 横浜市鶴見区元宮1-3-21 045-573-6242
志村クリーニング 横浜市鶴見区下末吉3-12-31 045-572-3271
㈲松本商店 横浜市鶴見区下末吉3-9-3 045-571-4303
三ツ池クリーニング店 横浜市鶴見区下末吉5-19-36 045-571-3739
前島クリーニング 横浜市鶴見区下末吉5-23-52 045-572-3788
㈲小林ランドリー 横浜市鶴見区寺谷1-10-13 045-581-1747
白生舎クリーニング商会 横浜市鶴見区下野谷町4-156 045-511-5354
㈱トーエー藤沢商会 横浜市鶴見区佃野町22-20 045-581-1116
滝澤クリーニング㈱ 横浜市鶴見区豊岡町13-35 045-581-3392
-資-あいざわ 横浜市鶴見区駒岡1-27-45 045-582-5000
㈱竹本ランドリー 横浜市鶴見区駒岡2-15-12 045-574-5747
㈱ミヨシ 横浜市鶴見区駒岡2-15-41 045-571-5554
㈱マルミヤ商事 横浜市鶴見区獅子ヶ谷2-34-51 045-571-7915
つるみクリーニング 横浜市鶴見区馬場3-1-27 045-581-7981
㈲大竹クリーニング 横浜市鶴見区馬場4-32-19 045-581-4321
㈲ニュー白鳥舎 横浜市鶴見区馬場4-9-27 045-582-2707
美奈登商会 横浜市鶴見区馬場5-21-1 045-581-7071
堀内クリーニング商会 横浜市鶴見区東寺尾2-22-9 045-571-5273
浦田クリーニング 横浜市鶴見区岸谷2-18-20 045-581-0845
クリーニングあさの 横浜市神奈川区西寺尾3-21-6 045-432-3017
㈲持丸クリーニング商会 横浜市神奈川区大口仲町11-6 045-421-4657
宮川クリーニング店 横浜市神奈川区新子安1-9-3 045-431-1497
松野クリーニング商会 横浜市神奈川区入江1-7-24 045-421-0432
相川クリーニング 横浜市神奈川区東神奈川2-12-4 045-441-3577
木下ドライクリーニング 横浜市神奈川区神奈川2-1-5 045-461-5029
㈲日東クリーニング商会 横浜市神奈川区神奈川2-9-14 045-441-4448
松野クリーニング 横浜市神奈川区白幡町8-10 045-421-8298
渡辺クリーニング 横浜市神奈川区六角橋2-13-13 045-491-0408
㈱浅井クリーニング商会六角橋店 横浜市神奈川区六角橋2-16-24 045-491-5572
川崎クリーニング商会 横浜市神奈川区中丸27 045-491-4873
-名-高橋クリーニング 横浜市神奈川区平川町2-2 045-491-9180
㈲はまゆう商会 横浜市神奈川区平川町7-2 045-481-0443
㈲只内クリーニング 横浜市神奈川区西神奈川1-20-2 045-432-0771
