店名 住所 電話番号
野村クリーニング 高知市新本町2-13-61 088-873-6518
（有）日々社 高知市桜井町2-3-7 088-882-2377
（有）北岡ドライクリーニング 高知市桜井町2-9-17 088-884-4099
上杉クリーニング 高知市升形9-55 088-872-3887
山本クリーニング 高知市鷹匠町1-2-32 088-872-4631
高知屋クリーニング 高知市本町1-7-8 088-875-2041
かどたクリーニング 高知市本町2-3-23 088-872-4677
綿久リネン（株）高知営業所 高知市鳥越20 088-840-3111
かもめやクリーニング 高知市横内153-70 088-844-4111
きむらランドリー 高知市福井東町1-12 088-872-3050
高知矢崎商亊（株） 高知市萩町1-7-5 088-831-5628
日進舎クリーニング 高知市梅ノ辻3-4 088-831-5061
甫木クリーニング 高知市塩屋崎町2-6-9 088-833-0760
シャルマンクリーニング 高知市南ノ丸町58-24 088-833-4720
四国医療サービス（株） 高知市南竹島町35 088-833-3552
北村クリーニング店 高知市竹島町82-12 088-831-8633
みつばやクリーニング 高知市北竹島町372-5 088-833-4480
（株）あらいぐま 高知市神田1408-7 088-832-7015
（株）高知ランドリー 高知市神田696-12 088-831-5141
ニッセイ高知 高知市鴨部858-1 088-840-1151
岡上クリーニング 高知市鴨部895-8 088-844-0334
岡林クリーニング 高知市曙町1-8-28 088-844-2804
三里ドライ 高知市種崎11-4 088-847-1003
（有）ファブリケアY2 高知市十津3-2-20 088-847-3704
（有）土佐ランドリー 高知市横浜西町35-51 088-841-3277
おしゃれクリーニングつるや 高知市瀬戸南町1-3-11 088-841-6468
高見屋クリーニング 高知市高須東町19-33 088-884-5471
安芸ランドリー 安芸市久世町1-7 088-735-2979
伸陽クリーニング 南国市後免町2-8-6 088-864-3455
トクヒサ（株） 南国市後免町2-9-14 088-864-2273
小松クリーニング 南国市立田1333 088-864-2696
田中ランドリー 宿毛市西町3-11-10 0880-65-6622
(有)西岡クリーニング店 宿毛市和田1476-1 0880-63-2688
畝崎クリーニング 土佐清水市越前町1-12 0880-82-0371
井上クリーニング 土佐郡土佐町田井1494-6 088-82-0795
岡田クリーニング店 吾川郡いの町3630 088-892-0312
古谷クリーニング 高岡郡中土佐町久礼6116 0889-52-2002
岡田クリーニング 高岡郡越知町越知甲2027-4 0889-26-2344
しももとクリーニング 高岡郡四万十町北琴平町2-1 08802-2-0310
西森クリーニング 高岡郡四万十町琴平町5-4 2-3794
