店名 住所 電話番号
（有）マルキタドライ 熊本市中央区新町４丁目５-２６ 096-352-5609
大野クリーニング 熊本市中央区魚屋町１丁目１７ 096-352-0267
ホワイト急便島崎工場 熊本市中央区島崎１丁目３２-１２ クリーニングホワイト急便第一島崎工場 096-325-5231
菊屋クリーニング 熊本市中央区桜町２-３２ 096-352-8906
オオギヤ　クリーニング 熊本市中央区本山３丁目６-４ 096-352-1044
サトークリーニング 熊本市中央区城東町５-６１ 096-352-8369
今村クリーニング 熊本市中央区薬園町９-４ 096-343-6890
かわちやクリーニング 熊本市中央区菅原町１２-１ 096-362-1554
サンエークリーニング 熊本市中央区大江１丁目２５-４４ 096-365-3277
（有）クリーニングショップコイデ 熊本市東区新南部１丁目３-２５ 096-364-6542
エンドレス熊本（株） 熊本市東区長嶺西２丁目１-５４ 096-389-3363
田代クリーニング 熊本市東区長嶺東８丁目１-６８ 096-389-2914
（有）大進クリーニング 熊本市東区石原1丁目10-43 096-389-0783
西山クリーニング 熊本市東区若葉５丁目１１-２ 096-368-7475
サンエークリーニング 熊本市東区新生2-15-12 096-365-3277
青空クリーニング 熊本市東区新生１丁目２２-５８ 096-368-6029
南九イリョウ（株）熊本支店 熊本市東区月出２丁目５-６１ 南九イリョー（株）熊本支店 096-384-1234
つたやクリーニング 熊本市東区新外2丁目3−20 096-369-2117
洗濯工房ラスカル 熊本市東区長嶺東7-11-48 096-389-4116
ファッションクリーニングフジシマ 熊本市西区春日4-4-1 096-353-0659
村田クリーニング 熊本市西区二本木３丁目５-１６ 096-355-4675
（有）親和 熊本市西区田崎本町９-６ 096-356-6839
クリーニングひろせドライ 熊本市西区蓮台寺５丁目１-５ 096-355-5666
（株）シロヤパリガン 熊本市西区上熊本２丁目６-７ 096-355-3111
クリーニングのペンギン舎 熊本市中央区南熊本3-11-22 096-378-4571
中園クリーニング（有） 熊本市南区日吉２丁目２-２８ ホワイト急便日吉店 096-357-8210
錦屋クリーニング 熊本市南区川尻４丁目１４-４７ 096-357-9087
天明ランドリー商会 熊本市南区銭塘町１５８１-１ 096-223-2301
スワン　クリーニング 熊本市南区島町２丁目１６-１２ 096-357-8721
（有）丸繁 熊本市南区今町５２０-１ 096-227-0600
天草屋クリーニング 熊本市南区出仲間５丁目４-５０ 096-378-6424
よしかわクリーニング 熊本市南区田井島2丁目9-14 096-378-1025
川池屋クリーニング店 熊本市北区植木町植木１９ 096-272-0149
やまだクリーニング 熊本市北区楠４丁目１３-１５ 096-338-4309
楠ドライセンター 熊本市北区龍田５丁目１０-６０ 096-338-9412
井上クリーニング商会 熊本市北区清水本町１６-１５ 096-343-7074
北熊本クリーニング 熊本市北区清水新地５丁目１０−３１ 096-338-8826
（資）第１クリーニング商会 八代市港町179 0965-37-0028
八代おしぼりセンター 八代市宮地町1990 0965-34-8843
なんごうクリーニング 八代市塩屋町6-1 0965-32-5551
（有）クリーニングの白屋 人吉市南町19-8 0966-23-2245
西田クリーニング店 荒尾市西原1丁目2-4 0968-62-0812
（有）真生舎 水俣市浜４０８３−１５８ 0966-62-7288
ドライクリーニングアート舎 水俣市大黒町2-2-1 0966-63-4359
ヤマグチランドリー 水俣市洗切町4-6 0966-62-2800
津川クリーニング商会 玉名市繁根木271 0968-72-3727
瀬崎クリーニング店 玉名市中1089-5FAX74-1384 0968-74-1356
上野クリーニング 玉名市中1960-4 0968-74-1917
（有）山鹿ドライクリーニング 山鹿市大字山鹿1486 0968-43-2568
（資）渡辺洗濯店 菊池市隈府上町216 0968-25-2061
（有）シンコードライセンター 宇土市新開町1895-27 0964-22-8030
井上クリーニング所 宇土市本町三丁目8 0964-22-0203
益田クリーニング 宇土市本町二丁目26 0964-22-1532
牧尾クリーニング 宇土市城の浦町334 0964-22-0560
本多クリーニング 上天草市松島町合津３４８９−１ 0969-56-0075
（資）マスイクリーナーズ 宇城市松橋町松橋１０１９ 0964-32-0234
吉田クリーニング 宇城市小川町小川163-5 0964-43-0274
ファッションドライきむら 宇城市三角町波多２８１−６ 0964-52-2132
（株）環境 阿蘇市阿蘇町大字黒川1289 0967-34-1514
日田クリーニング 阿蘇市赤水７０６−２ 0967-35-0121
（資）かどやクリーニング商会 阿蘇市小国町宮原1798-1 0967-46-2173
（有）塚本クリーニング 阿蘇市一の宮町宮地3233 0967-22-0318
クリーニングのレインボー 阿蘇市西町46番2 0967-22-3775
ホワイト商会 天草市古川町１−２９ 0969-22-2407
（有）玉屋商会 天草市太田町４−６ 0969-22-2967
（有）九州三星 合志市野々島５４８４ 096-242-5920
（有）サトークリーニング 合志市幾久富1866-685 096-248-4300
東クリーニング工場 玉名郡和水町江田１４９−１ 0968-86-2174
ファッションクリーニングのさいとう 菊池郡大津町大字室1034 096-293-2159
クリーニングZERO 菊池郡菊陽町武蔵ヶ丘北1-5-38 096-339-1355
（有）白水クリーニングセンター 阿蘇郡南阿蘇村吉田1650-2 0967-62-9872
（有）白水ジュウタンクリーンサービス 阿蘇郡南阿蘇村吉田310-4 0967-62-9185
（有）フェザーなかしま 上益城郡御船町木倉1401-3 096-282-1986
吉田クリーニング 上益城郡御船町滝川99-15 096-282-0039
下田クリーニング店 上益城郡山都町下市２４−２ 0967-72-0690
高橋ドライ工場 葦北郡芦北町佐敷３６６−１３ 0966-82-2423
芦北ドライクリーニング 葦北郡芦北町大字道川内21−10 0966-82-2262
