店名 住所 電話番号
森川クリーニング 京都市北区上清蔵口町159
（有）森田クリーニング本店 京都市北区小山西大野町40
サンフラワー 京都市北区紫野門前町56-2
（株）クリーントピアぴいぷる北 京都市北区紫野東藤ノ森町11
クリーニング松嶋 京都市北区紫野東藤ノ森町3-1
福中クリーニング 京都市北区紫野中柏野町14
ナカダイクリーニング 京都市北区大将軍西町135
（株）カーニバル 京都市北区紫竹東大門町5
（株）今井クリーニング 京都市北区紫竹西栗栖町3
やまぐちクリーニング 京都市北区鷹峯藤林町6-294
（有）永野整理 京都市上京区築山南半町235
足立クリーニング 京都市上京区新御霊口町285
京屋クリーニング 京都市上京区讃州寺町241
ミナトヤクリーニング商会 京都市上京区靭屋町499
クボタクリーニング 京都市上京区仲之町462
（株）クリーニングマルヤマ 京都市上京区蛭子町422
吉田屋クリーニング 京都市上京区大宮通丸太町上ル東側椹木町
松勘クリーニング店 京都市上京区田中町422
（株）クリーニングヤマグチ 京都市上京区尼ケ崎横町358
中山クリーニング 京都市上京区役人町244
いとおクリーニング店 京都市上京区七本松通中立売下ル三軒町71
クリーニングタケダ 京都市上京区中立売通六軒町西入三軒町65
白清クリーニング 京都市上京区仁和寺通り七本松東入白竹町189-5
田中クリーニング 京都市上京区六軒町通下立売上る７番町330
タイヘイクリーニング店 京都市上京区下横町202
小野寺クリーニング店 京都市上京区下横町234
白谷クリーニング 京都市左京区鞍馬本町288
小田クリーニング 京都市左京区高野泉町11-83
栄光舎ランドリー 京都市左京区一乗寺地蔵本町19
かどやクリーニング店 京都市左京区田中関田町39-10
（有）山口クリーニング工場 京都市左京区田中南西浦町80
ちどりやクリーニング店 京都市左京区田中西樋ノ口町2-3
白汪社 京都市左京区吉田下阿達町13
柏山クリーニング店 京都市左京区吉田近衛町25
シマヤクリーニング 京都市左京区東竹屋町60
白鳳クリーニング 京都市左京区浄土寺上馬場町59
田中クリーニング店 京都市左京区永観堂町44
小杉クリーニング店 京都市左京区南禅寺北ノ坊町21
石原クリーニング 京都市中京区押油小路町246-2
クリーニングのトジリ 京都市中京区杉屋町629
横山クリーニング 京都市中京区松屋町49
佐野クリーニング店 京都市中京区聚楽廻西町165
クリーニング青山 京都市中京区聚楽廻中町32
山口クリーニング 京都市中京区西ノ京永本町5
伊豆屋クリーニング 京都市中京区西ノ京樋ノ口町55
千吉クリーニング 京都市中京区西ノ京樋ノ口町98
アンドー美やびクリーニング 京都市中京区西ノ京大炊御門町8-2
安岡クリーニング 京都市中京区西ノ京笠殿町78
（有）リファイン 京都市中京区壬生天池町1-7
高島屋クリーニング店 京都市東山区南西海子町442
（有）東山サンシャイン 京都市東山区東大路三条下る二筋目東入ル
中西クリーニング 京都市東山区西之町212-2
西村クリーニング店 京都市東山区宮川筋6丁目355
本田クリーニング 京都市東山区下柳町182
クリーニング寿 京都市東山区門脇町186-1
東山ドライ 京都市東山区今熊野椥ノ森町4-12
長谷川クリーニング店 京都市東山区泉涌寺雀ケ森町7
（有）京洗舎 京都市下京区富浜町182
ホワイト舎 京都市下京区大坂町386
塩谷クリーニング店 京都市下京区柿本町597
京洗い四季 京都市下京区中堂寺大宮西入薮ノ内町614
（有）磯谷クリーニング 京都市下京区天使突抜4丁目476
（有）西別府 京都市下京区堀川通松原下ル篠屋町57
