店名 住所 電話番号
インテリア・クリーニングニシイ 津市河芸町一色1468 059-245-2011
後藤クリーニング 津市大門32-12 059-228-4468
（有）三重リネン 津市東丸ノ内10-4 059-228-5652
丸藤クリーニング 三重県津市東古河町1-13
（株）堀川クリーニング 津市藤方493-1 059-228-8443
ミッキーのクリーニング 津市久居寺町1232-12 059-255-2564
朝日屋クリーニング 津市森町514 059-256-2987
松岡クリーニング 津市一志町石橋141-1 059-293-2729
（株）イウチ 津市白山町二本木3839-29-1 059-262-3482
（有）谷クリーニング 津市白山町家城754-1 059-262-3146
（有）中日クリーニング商会 四日市市山手町3399 059-331-6039
川村ランドリー 三重県四日市市采女町1100-4
あがたランドリー 四日市市あがたが丘1-20-4 059-326-5319
中里クリーニング 四日市市智積町1326-1 059-326-2191
小林クリーニング 伊勢市通町1345 0596-25-0706
ひびのランドリー 伊勢市桜木町65-5 0596-28-8713
ダルマヤドライクリーニング 伊勢市古市町16-3 0596-28-9673
大阪屋クリーニング 伊勢市宮町2-5-9 0596-28-6295
（株）白清舎 伊勢市上地町3134 0596-27-1200
木下クリーニング 伊勢市二見町荘1469 0596-43-2648
（有）山本綿業 松阪市駅部田町201 0598-23-2602
大和屋クリーニング 松阪市春日町2-113 0598-21-6070
河田フェザー（株） 松坂市明和町大淀3255 0596-55-2341
大阪屋クリーニング 松坂市三雲町肥留476
立松クリーニング 桑名市相生町30 0594-22-1166
紺五クリーニング 桑名市西鍋屋町21 0594-22-2232
（有）谷クリーナーズ 桑名市末広町25 0594-22-1688
坂倉クリーニング 三重県鈴鹿市長太栄町4-6-8 059-385-4155
宮岡クリーニング 尾鷲市中村町10-74 0597-22-2169
三国屋クリーニング 尾鷲市栄町5-23 0597-22-0822
丸二クリーニング 尾鷲市泉町11-21 0597-22-6454
きたもとクリーニング 熊野市木本町823-3 0597-85-3689
河原クリーニング 志摩市磯部町恵利原1060-1 0599-55-0301
昭和クリーニング 志摩市磯部町迫間49-1 0599-55-0303
岩城クリーニング 伊賀市西明寺1375-1 0595-21-1904
なかもりクリーニング 伊賀市平野中川原560-25 0595-21-1061
平井クリーニング 伊賀市上野農人町467 0595-21-0958
竹島クリーニング 伊賀市上野赤坂町283 0595-21-0912
わかまつランドリー 三重郡菰野町大字菰野1425-1 059-393-2409
（有）堀リネンサプライ 三重郡菰野町菰野8474-28 059-392-2612
みゆきクリーニング 三重郡菰野町千草3806 059-393-2278
河田フェザー（株） 多気郡明和町大淀3255 0596-55-2431
日誠舎クリーニング 度会郡玉城町田丸163-4 0596-58-3210
丸善クリーニング 度会郡大紀町錦21-14 0598-73-2151
白峰舎 北牟婁郡紀北町紀伊長島区島原762-1 0597-47-0596
石倉クリーニング 北牟婁郡紀北町紀伊長島区東長島1823-1 0597-47-3565
