店名 住所 電話番号
（株）不二屋クリーニング店 仙台市青葉区霊屋下2-5 022-222-0707
（有）白栄舎川村クリーニング店 仙台市青葉区木町通1丁目7-21 022-223-2051
栄光舎クリーニング 仙台市青葉区柏木2丁目1-26 022-234-5859
おくやまクリーニング 仙台市青葉区荒巻神明町9-1 022-271-0374
（株）ミカドランドリー店 仙台市青葉区高松2丁目2-17 022-275-0733
米山クリーニング店 仙台市青葉区北山3丁目1-26 022-234-4574
佐藤クリーニング店 仙台市青葉区角五郎1丁目6-7 022-225-2224
（株）三洋クリーニング 仙台市青葉区北根1丁目15-23 022-233-2109
（有）クリーンショップ樹むら 仙台市青葉区葉山町15-2 022-234-2841
ワタキューセイモア（株）東北支店 仙台市青葉区上愛子字上遠野原9-51 022-392-2141
（株）弘永舎 仙台市青葉区中山吉成3-8-10 022-278-0606
（有）若葉クリーニング店 仙台市青葉区昭和町4-10 022-234-5781
小松ランドリー 仙台市宮城野区福田町3丁目5-33 022-258-3211
（株）アンミン 仙台市宮城野区扇町7丁目-8-27A-101 0120-09-2101
クリーニング洗たくや 仙台市宮城野区燕沢1-19-35-101 022-388-3198
（有）そごうクリーニングセンター 仙台市宮城野区宮城野1丁目28-23 022-295-9234
（有）さくまクリーニング 仙台市宮城野区銀杏町11-22 022-256-2708
（有）中野クリーニング 仙台市宮城野区栄1丁目7-1 022-258-0518
（株）土田クリーニングサービス 仙台市宮城野区栄2丁目8-6 022-258-0351
錦クリーニング 仙台市宮城野区原町3丁目7-15 022-256-2381
（株）白洋舎仙台支店 仙台市宮城野区原町苦竹1丁目2-45 022-284-2323
京屋クリーニング 仙台市若林区木ノ下1丁目1-7 022-256-1776
手塚染物店 仙台市若林区木ノ下4丁目3-26 022-256-1966
クリーニングみやざわ 仙台市若林区成田町122 022-295-6364
ふじクリーニングショップ 仙台市若林区河原町1丁目3-26 022-266-5781
（株）ライフアップ　エルモクリーニング 仙台市若林区遠見塚3丁目8-25 022-294-6251
大泉ランドリー商会 仙台市若林区若林4丁目5-14 022-286-8492
（株）アスナロコーポレーション 仙台市若林区上飯田1丁目3-21 022-286-8265
岩崎クリーニング店 仙台市太白区四郎丸字吹上71-5 022-241-4595
（株）オートランドリータカノ 仙台市太白区茂庭字人来田東12-1 022-307-1188
（有）横山三洋舎クリーニング 仙台市太白区郡山8丁目11-33 022-247-9592
ヒロセクリーニング 仙台市太白区あすと長町３丁目2-21 022-248-0076
（有）クリーニングサービス　オオムラ 仙台市太白区西多賀3-13-47 022-245-4935
（株）ラヴァレックス 仙台市太白区茂庭字人来田東12-1 022-307-1189
（有）モデルクリーニング 仙台市太白区向山2丁目1-10 022-222-5760
（有）丸光屋ドライクリーニング 仙台市太白区向山4丁目26-20 022-227-4659
遠藤クリーニング店 仙台市太白区長嶺3-8 022-229-4065
（株）アドヴァンス 仙台市泉区松森斉兵衛4-5 022-771-2066
泉クリーニング店 仙台市泉区市名坂字本町13 022-372-9236
（株）神奈川クリーニング 仙台市泉区加茂1丁目8-9 022-378-2220
（株）新陽ランドリー 仙台市泉区根白石字判在家25-2 022-376-5511
（株）コスモリネンサプライ 仙台市泉区福岡字森下4-19 022-379-6311
東光クリーニング店 仙台市泉区南光台3丁目30-10 022-271-1629
キングクリーニング 石巻市伊原津2丁目10-57 0225-23-0425
茂木クリーニング 石巻市相野谷本屋敷4-3 0225-62-2548
ファッションクリーニングふくだ 石巻市蛇田字新下前沼76-20 0225-94-0707
ちばクリーニング店 石巻市蛇田字新埣寺156-15 0225-22-4960
玉田クリーニング 石巻市向陽町2丁目33-3 0225-96-1280
白木屋クリーニング 石巻市向陽町3丁目24-17 0225-95-2955
よつくら商事（有）しみぬき処よつくら 石巻市向陽町4丁目5-10 0225-96-8380
昭和ランドリー 塩竈市北浜1丁目8-19 022-362-4447
錦屋クリーニング 塩竈市藤倉2丁目2-38 022-362-2535
佐藤クリーニング商会 塩竈市貞山通3丁目6-12 022-362-5532
更新社クリーニング店 塩竈市牛生町23-5 022-362-4480
平塚クリーニング店 塩竈市宮町9-4 022-362-8566
ホワイトクリーニング 塩竈市南町14-15 022-362-8075
白光舎クリーニング 塩竈市今宮町8-36 022-362-4912
加藤クリーニング 気仙沼市田中前3丁目1-25 0226-22-7244
（有）東洋クリーニング 名取市名取が丘6-4-2 022-383-5135
（株）板橋クリーニング 名取市高舘吉田字野来20-1 022-748-6711
本郷クリーニング 多賀城市大代1丁目1-29 022-362-7081
あずみのクリーニング店 多賀城市中央2丁目4-1 022-368-1728
ドライクリーニング東京商会 登米市迫町佐沼字西佐沼127-4 0220-22-3293
村山クリーニング店 栗原市築館伊豆2丁目14-12 0228-22-2828
星クリーニング店 栗原市瀬峰下田21-7 0228-38-2217
ホンマクリーニング本店 栗原市栗駒岩ケ崎六日町40-1 0228-45-1175
（株）富士防水クリーニング 栗原市若柳字川南堤通11-3 0228-32-2256
クリーニングふじい 東松島市小野字町112 0225-87-2262
（株）白清舎 東松島市矢本字河戸33-1 0225-82-3110
木皿クリーニング 大崎市松山金谷字向田85 0229-55-2701
阿住クリーニング店 大崎市鹿島台木間塚字小谷地513-1 0229-56-2586
共栄舎クリーニング店 大崎市古川駅前南3丁目4-5 0229-22-0889
三栄ランドリー 大崎市古川中里4丁目7-2 0229-23-4963
大森クリーニング店 大崎市古川南町1丁目5-10 0229-22-1707
旭クリーニング店 大崎市古川千手寺町1丁目5-29 0229-22-2423
しらゆりクリーニング店 大崎市古川諏訪1丁目2-8 0229-22-4608
クリーニングのアサノ 大崎市古川大宮5丁目2-1 0229-22-0928
（有）細谷ドライクリーニング工場 大崎市鳴子温泉字坂の上135-1 0229-84-7468
安住クリーニング 宮城郡七ヶ浜町遠山3丁目2-48 022-363-0467
小野クリーニング店 宮城郡利府町中央1丁目8-6 022-356-2256
（株）ジェイアールテクノサービスクリーニングやまびこ 宮城郡利府町新谷地脇2 022-356-9683
米木クリーニング 加美郡加美町字南町127-1 0229-63-3310
アサノインテリアクリーニング 加美郡加美町字大門14 0229-63-4520
クリーニング新光舎 加美郡加美町赤塚35-6 0229-63-4633
中央ランドリー 遠田郡美里町南小牛田字町屋敷75-2 0229-32-2220
