店名 住所 電話番号
（有）ルミネ 宮崎市上野町3番地29号 0985-29-5161
高橋ドライ 宮崎市橘通西1丁目4-5 0985-24-4852
（有）東京屋 宮崎市中央通8-25 0985-22-3628
せんたく屋 宮崎市元宮町8-22 0985-22-3571
キクヤドライセンター 宮崎市南高松町3-7 0985-22-8356
第2キクヤドライセンター 宮崎市原町12-9 0985-22-5319
泉屋クリーニング 宮崎市北高松町1-32 0985-22-7072
太極クリーニング 宮崎市大橋3丁目260-2 0985-22-2566
三洋ドライセンター 宮崎市中津瀬町58番地 0985-20-0231
森中ドライクリーニング 宮崎市西池町1-1 0985-22-5804
飯田クリーニング 宮崎市西池町11-31 0985-23-3436
久光兄弟ドライ 宮崎市船塚2-165 0985-23-4736
寿屋クリーニング 宮崎市霧島2-244 0985-24-6449
横浜クリーニング 宮崎市神宮西2-23 0985-23-5031
野崎ドライ 宮崎市矢の先町129 0985-22-3839
渡辺クリーニング 宮崎市大字大瀬町1648-2 0985-41-0178
日髙クリーニング 宮崎市平和が丘北町13-3 0985-20-1356
川﨑クリーニング 宮崎市丸山1-157-3 0985-23-5688
ときわクリーニング 宮崎市神宮1-75 0985-25-9124
長嶺クリーニング 宮崎市南花ケ島町39-2 0985-23-5737
富田クリーニング 宮崎市大島町南窪824-3 0985-24-9468
広島屋クリーニング 宮崎市大字芳士祝田800-22 0985-39-2488
竹井クリーニング 宮崎市佐土原町大字上田島1599 0985-74-0252
（有）クリーニング光洋 宮崎市佐土原町大字下田島6993-5 0985-73-2086
（有）田中屋ドライ 宮崎市佐土原町大字下那珂3663 0985-73-0022
タモツクリーニング 宮崎市佐土原町上那珂14841-1 0985-74-1220
鈴屋ドライクリーニング 宮崎市佐土原町大字東上那珂14780 0985-74-1340
サニードライ 宮崎市和知川原2-138 0985-25-2560
ナガト屋クリーニング 宮崎市橘通東4-6-19 0985-22-3671
長岡クリーニング 宮崎市浮之城1 0985-25-8763
つる屋クリーニング 宮崎市大島町馬場尻1910 0985-22-6765
クリーニングショップかわさき東大宮店 宮崎市東大宮3丁目-16-15 0985-28-1200
中竹クリーニング 宮崎市吉村町大町前甲2254-3 0985-24-1553
大町クリーニング 宮崎市吉村町大町甲1926 0985-27-3175
米井ドライ 宮崎市吉村町引土甲605-22 0985-25-6550
ヘラルド宮崎（有） 宮崎市阿波岐原町宝財2332番地 0985-29-0462
ミスタードライ 宮崎市高洲町144-38 0985-23-6401
都ドライ 宮崎市潮見町167-2 0985-24-6760
古川クリーニング 宮崎市瀬頭2丁目2番14号 0985-22-7808
あづま屋クリーニング 宮崎市瀬頭2丁目9-10 0985-24-2687
永楽クリーニング 宮崎市永楽町174番地 0985-25-9531
伊東ドライ 宮崎市昭和町126 0985-25-9127
ハイクリーナー古賀 宮崎市曽師町16 0985-24-5848
