店名 住所 電話番号
藤屋クリーニング 長野市上松6-7-23 026-241-1037
ファッションクリーニング三浦 長野市三輪5-16-24 026-233-3507
信濃クリーニング商会 長野市三輪8-28-5 026-232-7016
井上クリーニング店 長野市上千歳町1350-4 026-234-1751
井上クリーニング商会 長野市権堂町2370 026-232-6067
光洋舎クリーニング店 長野市横沢町737 026-234-0324
（株）ファッションケア明和 長野市七瀬中町70-20 026-227-0566
長野鉄道車両整備（株） 長野市川合新田3458 026-221-6491
長野リネンサプライ（株） 長野市若里6-6-32 026-224-0358
日本海綿業株式会社 長野県川合新田2671 026-221-5667
丸杉クリーニング店 長野市中御所2-27-13 026-226-7658
ミソノクリーニング店 長野市中御所2-27-15 026-227-0231
（株）ザ・れもん 長野市差出南2-1-32 026-225-5100
サニークリーニング 長野市富竹844 026-296-6688
（株）トレス 長野市松岡2丁目20-10 026-268-2811
樋口クリーニング店 長野市稲田2-7-1 026-241-2974
高原クリーニング店 長野市吉田5-9-23 026-243-0134
佐藤クリーニング店 長野市松代町東条3513-2 026-278-4104
（有）クリーニングやまだ 長野市青木島大塚1547-1 026-284-8484
塩入クリーニング店精進舎 長野市篠ノ井御幣川1185 026-292-0933
（有）宮入クリーニング 長野市篠ノ井布施高田882-3 026-292-0802
（株）池田 長野市豊野町豊野694 026-257-3704
伊藤クリーニング店 松本市巾上11-4 0263-33-6975
（有）菅沼クリーニング店 松本市南松本2-7-1 0263-28-2422
クリーニングハウス オオツキ 松本市波田9815-4 0263-92-6085
有馬クリーニング店 松本市安曇稲核2865 0263-94-2756
（有）アルプスクリーニング 松本市石芝3-2-9 0263-25-8143
（株）みすずクリーニング商会 上田市三好町1-712 0268-22-2277
（有）みつみクリーニング店 上田市神畑226-6 0268-22-5189
島田クリーニング店 上田市神畑707-6 0268-22-5084
正木屋 飯田市座光寺3900番地 0265-22-5198
森下クリーニング店 飯田市黒田182番地 0265-22-5730
牧野クリーニング店 飯田市東新町1丁目7番地 0265-22-2118
東京屋クリーニング店 飯田市主税町32番地 0265-22-2330
伊原クリーニング店 飯田市追手町1丁目11番地 0265-25-2116
クリーニング新光舎 飯田市中央通り4丁目31番地 0265-22-1150
福沢クリーニング店 飯田市本町3-16 0265-22-2370
クリーニングはやしや 飯田市高羽町1-7-7 0265-22-5622
大見クリーニング店 飯田市時又522番地2 0265-26-9505
原山クリーニング店 諏訪市大和3-7-13 0266-52-1324
クリーニングショップみつい 諏訪市豊田2094-3 0266-52-0822
（有）大成クリーニング 諏訪市豊田小川1830-6 0266-53-3121
（有）クリーニング黒岩 須坂市新町529 026-245-1238
小宮山クリーニング店 須坂市北横町1322 026-245-1443
安藤クリーニング店 須坂市南横町1627 026-246-2366
（有）クリーニングくるみ沢 小諸市市町1-1-9 0267-22-1736
（有）東京洗染 小諸市耳取1473-1 0267-25-1723
ふじ屋クリーニング店 小諸市甲1236-17 0267-25-4781
藤原クリーニング 伊那市八幡町1918-11 0265-72-5856
（有）芳洗舎 伊那市青木町3489-1 0265-72-4325
幸村クリーニング店 駒ヶ根市赤須町3-19 0265-83-3677
池田クリーニング商会 中野市中央4-3-6 0269-22-3548
小林クリーニング店 中野市篠井288-1 0269-22-5606
（有）丸友産業 大町市大字大町1731 0261-22-0546
ミヤシタクリーニング 茅野市ちの2825 0266-73-7989
小池ドライクリーニング 茅野市玉粟沢390 0266-72-1556
千曲ランドリー 佐久市伴野1446-10 0267-62-4738
須江クリーニング店 佐久市臼田町1794-2 0267-82-2371
金井クリーニング支店 佐久市猿久保903-7 0267-67-5609
クリーニングウィステリア（有） 佐久市長土呂83-11 0267-66-1911
由蓮本ランドリー 佐久市中込2372 0267-62-1044
浦野クリーニング店 千曲市大字森650-1 026-272-0908
マルトクリーニング店 千曲市大字杭瀬下70-2 026-272-0572
吉池クリーニング店 千曲市大字小島3167 026-272-0419
宮坂クリーニング店 千曲市新田757-1 026-272-2503
中村クリーニング店 千曲市大字稲荷山722-7 026-272-3729
（有）千曲ドライクリーニング店 千曲市大字戸倉1979-3 026-275-0316
社会福祉法人廣望会　クリーニング工房CoCo 千曲市若宮551-1 026-261-5030
戸上リネンサプライ 千曲市上山田3813-95 026-276-1151
山岡クリーニング店 安曇野市三郷明盛1637-8 0263-77-2206
山口クリーニング店 安曇野市豊科高家6000-2 0263-73-2551
アライクリーニング店 安曇野市豊科高家3746-41 0263-72-2942
クリーニングタナカ 安曇野市豊科高家5215-1 0263-72-3032
クリーニングショップかとう 安曇野市豊科5184-2 0263-72-7500
クリーニングショップ（株）リード 安曇野市穂高5559-1 0263-82-4582
（有）軽井沢ドライ 北佐久郡軽井沢町千ケ滝中区2146 0267-45-5294
クリーン・ケアヨドバシ 上伊那郡宮田村仲町3248 0265-85-2102
宮下クリーニング店 下伊那郡松川町元大島1463 0265-36-2167
クリーニング清光舎 下伊那郡泰阜村温田8366 0260-25-2053
原クリーニング商会 下伊那郡喬木村3245-1 0265-33-2158
高木クリーニング店 木曽郡上松町見帰2683-3 0264-52-2553
（有）林クリーニング店 木曽郡木祖村藪原1016-1 0264-36-2148
武藤クリーニング店 木曽郡大桑村野尻1786 0264-55-2105
サンクリーン木曽 木曽郡木曽町福島1979-8 0264-22-3869
（株）姫川舎 北安曇郡小谷村大字中小谷丙2155-2 0261-82-2075
共栄クリーニング工場 下高井郡山ノ内町佐野598 0269-33-2935
（有）志賀リネン 下高井郡山ノ内町夜間瀬2734-3 0269-33-0101
柳屋クリーニング店 下高井郡野沢温泉村前坂8297-10 0269-85-2713
