店名 住所 電話番号
ヤマモトクリーニング 長崎市中川2丁目1-11 095-823-8377
富永屋クリーニングセンター 長崎市桶屋町21 095-822-6580
クリーニングたけやま 長崎市玉園町2-35 095-822-4464
荒木クリーニング 長崎市矢の平2-7-23 095-821-0171
（株）パールドライ 長崎市愛宕3丁目19-6 095-826-2131
泉クリーニング 長崎市鍛冶屋町6-38 095-822-6495
（有）山口ドライクリーニング 長崎市油屋町2-39 095-824-3713
（有）吉原クリーニング 長崎市油屋町6-8 095-821-3573
樋口クリーニング 長崎市愛宕3丁目19-25 095-823-4449
（有）樋口クリーニング 長崎市万屋町5-29 095-822-0604
大和屋クリーニング 長崎市魚の町7-6 095-822-0004
牧本クリーニング 長崎市川上町1-3 095-822-6918
（株）スワン 長崎市古賀町867-13 095-839-2000
カーペットクリーンオガワ 長崎市東町2285 095-839-0735
ビックドライこんどう 長崎市宿町193-2 095-838-2829
クリーニングショップサニー 長崎市平間町1352-1 095-839-3347
鳥井クリーニング 長崎市野母町1817-3 095-893-0029
（有）キングドライ 長崎市畝刈1613-324 095-850-6883
アスナロ畝刈店 長崎市畝刈町1613-110 095-850-3787
（株）国際ランドリー 長崎市鳴見町28-11 095-850-0506
イシバシ商会 長崎市曙町12-6 095-861-1426
（有）オートチャーム 長崎市竹の久保町5-1 095-861-2807
もりながクリーニング 長崎市城栄町14-4 095-844-5271
クリーニングサービスヤマナカ 長崎市青山町16-27 095-844-4808
今日屋クリーニング 長崎市音無町16-18 095-847-0192
（株）野口クリーニング社 長崎市虹が丘町2505 095-856-2377
安永クリーニング 長崎市目覚町8-16 095-844-1305
山田クリーニング 長崎市岩川町19-21 095-844-3375
クリーニングショップ大洋舎 長崎市岩川町5-17 095-844-2032
松尾クリーニング 長崎市橋口5-25 095-844-2969
浦田ドライクリーニング 長崎市大手1丁目1-31 095-846-8222
（有）浦川クリーニング 佐世保市野中町55-6 0956-41-4500
（有）甲斐クリーニング商会 佐世保市小佐世保町9-30 0956-22-5537
（有）若葉クリーニング 佐世保市若葉町30-59 0956-31-4329
（有）妻屋クリーニング商会 佐世保市白岳町606 0956-31-7313
片渕クリーニング 佐世保市白岳町972-4 0956-31-1785
石川クリーニング早苗 佐世保市早苗町496-10 0956-38-9616
壱岐クリーニング 島原市城内2丁目1040-3 0957-63-0592
富士屋クリーニング 島原市城内3丁目1250 0957-62-4317
泉クリーニング店 島原市宮の町717-6 0957-62-2375
上野クリーニング 島原市宮の町760 0957-62-3502
すぎながクリーニング 島原市中尾町丙585-3 0957-62-2565
谷川屋クリーニング 島原市桜町967 0957-62-4437
お多福クリーニング 島原市八幡町7612 0957-62-4125
白屋クリーニング 島原市栄町8638-5 0957-62-5433
わかばクリーニング 島原市萩原2丁目5111 0957-62-4401
島原タオルサービス 島原市萩ヶ丘2丁目5682-9 0957-63-0757
サン和クリーニング 島原市山寺町丙387 0957-62-3632
クリーニングDr.ウォッシュマン 島原市新湊1丁目34 0957-62-6530
クリーニングサービスアスナロ有明店 島原市有明町湯江甲278-1 0957-68-3098
早田クリーニング 諫早市天満町30-1 0957-23-2326
クリーニングハウスやまもと 諫早市幸町32-10 0957-47-8177
フレッシュドライ 諫早市貝津町2330-2 0957-25-1390
（協業）ホームドライ長崎 諫早市津久葉町278-14 0957-26-6722
ファッションクリーニングにしむら 諫早市津水町30-1 0957-26-2975
前田クリーニング 諫早市真崎町1816 0957-26-5251
山口クリーニング 諫早市本明町1891 0957-26-1802
ファッションドライ板山 諫早市高来町溝口２５８−３ 0957-32-3065
（有）井上ドライクリーニング工場 諫早市多良見町囲255-1 0957-43-6640
（有）クラウンドライ 諫早市多良見町囲５０７ 0957-43-2311
大村ホープドライ 大村市植松3丁目627-3 0957-52-4644
（有）ハヤシダ 大村市富の原2-59-4 0957-55-0793
エイトドライ 大村市今津町690-4 0957-53-2116
松永クリーニング 大村市西三城町212 0957-52-2957
小柳クリーニング 壱岐市郷ノ浦町本村触489 0920-47-0433
古川クリーニング 壱岐市郷ノ浦町本村触679 0920-47-0478
赤木クリーニング 壱岐市芦辺町瀬戸浦153 0920-45-2161
富士陽舎クリーニング 壱岐市芦辺町瀬戸浦621 0920-45-2213
東京クリーニング 五島市江川町2-1 0959-72-2650
吉本クリーニング 五島市江川町5-9 0959-72-3241
光ランドリー 五島市大荒町1194-3 0959-72-3375
（有）セガワリネックス 五島市吉田町3611-6 0959-72-1005
ファッションクリーニングやまさき 雲仙市愛野町甲有明3994 0957-36-0020
ふくやまクリーニング 雲仙市小浜町南本町24-1 0957-74-3302
増山クリーニング 雲仙市小浜町北野656 0957-74-2876
サンテックやすらぎ 雲仙市吾妻町栗林名４３ 0957-38-2539
国見クリーニング 雲仙市国見町神代乙166-5 0957-78-2838
うえだクリーニング 南島原市深江町甲161 0957-63-0080
とらやクリーニング店 南島原市口之津町栄町2163-20 0957-86-3141
中川ドライクリーニング 南島原市加津佐町境町2011-4 0957-87-5234
長崎基準寝具（有） 西彼杵郡長与町高田郷3802 095-883-2434
（有）ふじや 西彼杵郡時津町左底郷76-3 095-882-0148
谷川クリーニング 西彼杵郡時津町日並郷3654 095-882-2082
（株)九州たまがわ 東彼杵郡東彼杵町三根郷893-1 0957-47-1188
橋口クリーニング 東彼杵郡川棚町百津郷609-1 0956-82-2308
（有）橘・こがクリーニング 東彼杵郡川棚町白石郷1100-1 0956-82-3666
大富クリーニング 南松浦郡新上五島町奈摩郷152 0959-52-8308
前田クリーニング商会 南松浦郡新上五島町青方2309 0959-52-4129
