店名 住所 電話番号
東洋舎クリーニング 奈良市佐紀町2793-1 0742-34-0228
クリーニング白永舎 奈良市手貝町6 0742-22-7265
（有）からふろ 奈良市押上町1番地 0742-22-0547
アスカランドリー 奈良市南紀寺町4丁目7-5 0742-23-2386
小山（株） 奈良市西木辻町88 0742-22-4321
（資）大阪屋クリーニング店 奈良市芝突抜町4 0742-22-3672
奈良社会福祉院．働く広場．佐保 奈良市古市町1886-26 0742-64-1211
エンゼルクリーナー 奈良市神殿町416-4 0742-62-4694
（株）大和 奈良市永井町549-1 0742-63-0810
西井クリーニング店 奈良市今市町2丁目761 0742-61-7062
クリーニングショップつわの 奈良市中山町西4丁目551-5 0742-43-6187
（有）大和屋クリーニング 奈良市西大寺新町1丁目1-13 0742-34-1436
倉西クリーニング店 奈良市藺生町1879 0743-82-1605
エンゼルドライ 大和高田市三和町8-2 0745-52-7053
村島兄弟クリーニング商会 大和高田市中三倉堂2丁目1-35 0745-52-4371
日の出屋 大和高田市大中東町3-3 0745-52-5753
クリーニングマツダ 大和高田市北本町4-19 0745-52-3115
（株）天理ふしん社 天理市西長柄町470番地 0743-66-3800
能新舎 天理市川原城町888 0743-62-1174
中西リネン（株） 天理市勾田町218 0743-62-0137
中川クリーニング店 天理市柳本町1184-5 0743-66-0358
上田クリーニング店 天理市柳本町1276-2 0743-66-1133
小山産業（株） 天理市田町234-1 0743-63-0521
クリーニングショップとよだ 桜井市桜井1087 0744-42-2789
五条クリーニング店 五條市二見１丁目１−６ 0747-22-3093
葛城白水舎 御所市柳田町485 0745-62-1641
岩井クリーニング店 宇陀市菟田野松井83 0745-84-3856
ひぐちクリーニング店 磯城郡川西町吐田64-1 0745-44-1747
（株）フランスヤ奈良 磯城郡田原本町大字千代1116 0744-33-4401
的場クリーニング店 高市郡高取町観覚寺568 0744-52-2351
クリーニングまつさか 吉野郡吉野町新子285 0746-36-6157
前田クリーニング店 吉野郡大淀町比曽715-1 0746-32-1015
