店名 住所 電話番号
国兼ドライ 新潟市北区松浜2丁目2721-17 025-259-2207
さとうクリーニング店 新潟市北区松浜3丁目4-10 025-259-2406
前田クリーニング 新潟市北区早通北6丁目1-21 025-386-0807
笹川ランドリー 新潟市東区北葉町6番15号 025-273-7485
青木クリーニング店 新潟市東区山の下町1-4 025-273-5037
後藤クリーニング店 新潟市東区山の下町7-19 025-273-4204
クリーニング柳沢 新潟市東区豊1丁目1-15 025-272-0589
（有）マミードライ 新潟市東区下場本町2-9 025-276-7152
滝沢クリーニング店 新潟市東区中山4丁目7-13 025-274-4004
（有）クリこば 新潟市東区山木戸3丁目5-19 025-273-6938
クリーンドライつちだ 新潟市東区牡丹山2-1-8 025-274-0938
高橋クリーニング店 新潟市中央区南万代町12-3 025-245-6477
JR新潟鉄道サービス（株） 新潟市中央区鐙西2-17-19 025-244-0590
（株）ウメザワドライ 新潟市中央区弁天橋通1丁目2番27号 025-286-2231
三弘舎クリーニング 新潟市中央区鳥屋野1丁目33-14 025-284-1157
（有）伊佐クリーニング店 新潟市中央区西堀前通5番町742 025-222-4556
（有）幸盛舎 新潟市中央区東堀前通5番町405 025-222-7049
（有）和田クリーニング店 新潟市中央区浮洲町4757 025-223-1082
田村クリーニング店 新潟市中央区関屋新町通1-72 025-266-8433
ナガサトクリーニング 新潟市中央区関屋浜松町54-3 025-265-0727
（有）ブランピュール 新潟市江南区荻曽根1-1-16 025-381-2573
（有）小林ドライ 新潟市秋葉区中村273 0250-22-1188
コウノドライ 新潟市秋葉区小須戸104-5 0250-38-2757
中山クリーニング 新潟市秋葉区秋葉1-2-36 0250-22-1288
江戸屋クリーニング店 新潟市秋葉区新津本町2丁目10-3 0250-22-1083
（有）東京ランドリー 新潟市西蒲区和納1646-6 0256-82-3173
（株）新潟県厚生事業協同公社 長岡市高見町4343番地 0258-24-4343
平野クリーニング店 長岡市本町2丁目3-4 0258-32-2791
クリーニングオオカワ 長岡市中島4-8-5 0258-32-4069
小林クリーニング店 長岡市天下島1-1-6 0258-52-2619
（有）田中クリーニング商会 長岡市川崎町1534-1 0258-35-1569
（有）柳屋クリーニング 長岡市豊2-13-9 0258-32-6477
（株）渡辺ドライ 長岡市西津町3806-1 0258-27-5454
星野クリーニング店 三条市田島1丁目14-3-2 0256-33-1823
白洋舎クリーニング 三条市居島1-25 0256-33-2087
坂井クリーニング 三条市本町1丁目5-1 0256-33-3048
西洋舎 三条市元町16-13 0256-32-6291
田巻クリーニング店 三条市荒町1-3-24 0256-32-6202
金子クリーニング店 三条市大字荻堀805-7 0256-46-2298
（有）三条インテリアクリーン 三条市東鱈田377 0256-35-3795
栄クリーニング 三条市由利2-9 0256-33-3478
クリーニングのくわばら 三条市西本成寺1544-1 0256-34-2290
西潟屋ドライ 三条市南四日町2-13-15 0256-33-1603
神林クリーニング 柏崎市東長浜町4-15 0257-22-5492
北陸クリーニング工場 柏崎市鏡町7番6号 0257-22-3338
丸屋クリーニング店 柏崎市西本町3丁目9-28 0257-22-3061
ワードクリーニング 柏崎市吉井2678 0257-28-2540
ファッションケア清海社 柏崎市東の輪3-7 0257-23-6660
アートドライショップ 新発田市本町4-11-2 0254-22-4329
皆川ドライクリーニング 新発田市御幸町3丁目13-7 0254-22-4301
高栄ドライクリーニング店 小千谷市平成1-3-7 0258-82-2814
（株）白友舎 小千谷市千谷川3-9-3 0258-82-2307
（株）きものブレイン 十日町市本町6-1 025-752-6800
（株）高橋クリーニング店 十日町市山本町1-202-8 025-752-2449
まつざわ 十日町市川治2023-11 025-757-6566
山岸クリーニング店 見附市本町3-1-22 0258-62-1038
花平クリーニング 村上市安良町2-14 0254-52-2404
みやこクリーニング 村上市羽黒町1-13 0254-52-4911
（有）ヒノマルクリーニング 村上市久保多町5-17 0254-52-2483
山北クリーニング 村上市藤沢332 0254-62-2143
永塚屋クリーニング店 燕市分水新町2-6-1 0256-97-2375
（資）久須美クリーニング商会 燕市分水桜町1丁目6-1 0256-98-2625
福クリーニング 燕市吉田東栄町37-1 0256-93-3029
（有）白鴎舎クリーニング 燕市新栄町59番地 0256-62-4511
（有）かねきドライ 五泉市村松甲2239第1 0250-58-6047
おざわドライ 五泉市村松学校町3 0250-58-6703
原クリーニング店 五泉市南本町3-7-4 0250-42-4811
上新ドライクリーニング店 上越市栄町2-11 025-523-2700
東京クリーニング 上越市仲町5丁目5-8 025-523-4334
河野クリーニング店 上越市本町4丁目3-20 025-523-4024
（有）吉田ドライクリーニング 上越市吉川区原之町1606 025-548-2072
オオカワヤクリーニング 阿賀野市中央町2丁目10-23 0250-62-2568
クリーニングハヤカワ 阿賀野市外城町19-15 0250-62-2850
小林クリーニング 阿賀野市外城町9-3 0250-62-2090
高村クリーニング店 魚沼市虫野1445-4 025-792-4681
ひらがクリーニング 南魚沼市塩沢11-11 025-782-0231
貝瀬ドライクリーニング店 南魚沼市塩沢2445 025-782-0167
塩沢リネンサプライ（株） 南魚沼市長崎347 025-782-0505
（有）協栄ドライ 南魚沼市美佐島1906-1 025-772-4162
（有）マツムラドライ 胎内市塩沢543-104 0254-47-2571
