店名 住所 電話番号
山陽ランドリー 岡山市北区下伊福1-3-25 086-252-4027
備前ランドリー 岡山市北区大安寺南町2-12-19 086-253-5360
（有）福屋クリーニング 岡山市北区津島南1-2-15 086-252-2434
フジヤクリーニング店 岡山市北区弓之町14-44 086-222-8132
（有）阿部ドライ 岡山市北区表町3-8-8 086-222-9073
クリーニングショップオータ 岡山市北区船橋町7-27 086-222-4809
藤森クリーニング店 岡山市北区大供表町1-10 086-222-0557
クリーニング壱屋 岡山市北区大元2-8-4 086-239-3020
特選ドライ山光 岡山市北区奥田本町16-21 086-223-2770
大森洗染工業所 岡山市北区高松原古才307 086-287-2054
クリーニングショップカワエ 岡山市中区原尾島2-12-19 086-272-3703
愛染堂ドライ（有） 岡山市中区国富232 086-272-0092
会館産業（株） 岡山市中区倉富350-10 086-277-7159
富士屋ドライ（有） 岡山市中区門田文化町1-1-9 086-272-1800
若葉屋クリーニング 岡山市中区門田屋敷1-6-7 086-272-1687
高森ランドリー 岡山市中区桜橋3-1-75 086-273-3863
岡本ランドリー 岡山市中区小橋町1-7-20 086-272-1861
井上クリーニング店 岡山市東区西大寺中3-24-19 086-942-2172
斉藤クリーニング店 岡山市東区瀬戸町瀬戸276 086-952-0333
（株）リネンワン 岡山市南区泉田28-13 086-223-0880
クィーンクリーナーズ 岡山市南区新保105-8 086-226-6298
ナイスクリーニング 岡山市南区下中野718-106 086-241-9211
（有）竹内クリーニング 岡山市南区東畦171 086-282-0309
安原ランドリー 岡山市南区藤田560-79 086-296-3611
原田クリーニング 岡山市南区平福1-11-5 086-264-4481
（株）ジェイアール西日本リネン　岡山支店 倉敷市中庄2322-1 086-462-6400
（有）土師クリーニング 倉敷市真備町箭田1715-2 0866-98-0124
大山クリーニング店 倉敷市児島唐琴3-5-44 086-477-7621
しみぬきクリーニングマスヤ 倉敷市児島下の町8-4-30 086-472-3432
福原ランドリー 倉敷市児島元浜町2862 086-472-0616
賛美ランドリー 倉敷市児島柳田町1779-3 086-472-3792
（有）水島ランドリー 倉敷市中畝8-2-5 086-455-5665
（株）津山ドライ工場 津山市昭和町2-117 0868-32-0321
（株）玉野ランドリー 玉野市宇野2-19-19 0863-21-2269
まるてんクリーニング店 玉野市玉2-22-4 0863-21-2276
オオモトクリーニング 笠岡市笠岡4087-3 0865-63-4609
（有）さとうクリーニング 井原市井原町343-2 0866-62-6102
有限会社茶堂 井原市井原町390-2 0866-62-4241
（株）ママドライセンター 高梁市中原町1471-3 0866-22-3260
クリーニングハウスラビット　（株）岩瀬 高梁市中原町1483-5 0866-22-3710
（有）大森ランドリー クリーニングマーシ 高梁市落合町阿部1181-2 0866-22-3126
（有）みはりランドリー 新見市高尾2305-5 0867-72-2616
（株）新見ランドリー 新見市新見819 0867-72-2641
カネコクリーニング店 新見市新見917-1 0867-72-0362
（有）岡山白精社 備前市西片上1268-1 0869-64-3578
北川クリーニング店 備前市吉永町吉永中914 0869-84-2709
ランドリーマン 瀬戸内市邑久町下笠加230-13 086-924-2233
忠政クリーニング店 真庭市山久世1426-6 0867-44-4753
神田クリーニング 真庭市久世257 0867-42-1207
不二屋クリーニング店 美作市古町１７４４−３ 0868-78-2710
美作屋クリーニング店 美作市中町３１７−１ 0868-78-2606
つるやランドリー 浅口市金光町占見新田702-10 0865-44-5270
（有）東備白精社 和気郡和気町和気469 0869-92-0354
（有）寄島ランドリー 浅口郡里庄町里見3662 0865-64-5300
（有）勝間田ドライ 勝田郡勝央町岡14-2 0868-38-2643
