店名 住所 電話番号
丸清ランドリー 那覇市曙2-3-17 098-861-2538
（株）東洋舎 那覇市前島2-17-14 098-861-1014
若草クリーニング 那覇市小禄1-1-22 098-857-1048
共立クリーニング 那覇市松川3-14-6 098-886-0029
赤嶺クリーニング 那覇市首里石嶺町2-189-1 098-885-5300
中央ランドリー 宜野湾市普天間2-43-14 098-892-2058
沖縄綿久寝具（株） 宜野湾市上原2-4-10 098-892-1121
株式会社なぎさクリーニング 宜野湾市伊佐4-2-10 098-890-7066
島のおしぼりＳＯＳ株式会社 石垣市真栄里４６８－６ 0980-87-9997
有限会社ディーシーコーポレイション 石垣市新川2423-16 09808-2-1617
丸宮ランドリー 石垣市新栄町10-6 09808-2-3294
美和ランドリー 浦添市内間1-8-12 098-877-5861
株式会社丸三 浦添市内間5-1-23 098-874-6500
株式会社グランドケアサプライ 名護市宇茂佐230-1 080-3356-9111
ズケ山クリーニング 名護市宮里882-3 0980-52-1535
クリーンライフ 名護市振慶名204-1 0980-58-1323
株式会社沖縄リネンサービス 糸満市西崎4-17-9 098-987-0677
大洋クリーナー（株） 糸満市西崎町5-11-3 098-994-9100
（株）沖縄リネン公誠舎 糸満市西崎町4-17-2 098-940-8366
（株）ブラザーランドリー 糸満市西崎町５丁目10-14 098-992-2771
キングラン沖縄（株） 沖縄市胡屋7-5-6 098-982-2244
株式会社リアンズ沖縄 沖縄市古謝3-3-15 098-917-1335
合同会社かがりクリーニング 沖縄市高原4-1-16 098-953-1469
スタークリーニング 沖縄市泡瀬5-2-5 098-937-4585
（株）京都屋 豊見城市金良435-2 098-852-2755
日琉舎ランドリー 豊見城市字高嶺377-7 098-850-1729
大屋ランドリー うるま市石川2-21-15 098-965-0937
琉球ランドリー合同会社 うるま市みどり町5丁目1-4 090-6862-9900
ホワイトランドリー うるま市具志川宮里842-2 098-973-3152
崎山クリーニング 宮古島市平良下里597-2 09807-2-2319
ファッションクリーニングルックドライショップ 宮古島市平良字下里907-6 0980-73-1308
ミッキークリーニング 南城市大里字稲嶺2013-15 098-946-6347
（株）ニック 南城市大里字古堅1003-1 098-944-2955
（有）沖縄イリョーサービス 国頭郡本部町浜元30 098-48-3082
クリーニングショップサキハマ 伊江村字東江前618-1 0980-49-5528
（有）ニューラッキーランドリー 中頭郡読谷村比謝377 098-956-2106
（有）せんえい 中頭郡西原町字小那覇1408-1 098-946-6121
（株）黄金山　ハマユウ荘 島尻郡北大東村字中野152-9 09802-3-4880
（有）クバコーポレイション 八重山郡竹富町字小浜96-2 09808-5-3505
