店名 住所 電話番号
パールクリーニング店 大分市王子中町11-15 097-536-3308
（有）クリーニングのみぞべ 大分市新川西4-3 097-532-6435
（株）LEAVES 大分市錦町2-8-10 097-534-1037
本町クリーニング 大分市都町1丁目3-11 097-532-0844
（有）シモンズ 大分市家島981 097-522-3355
関谷クリーニング 大分市葛木639-2 097-527-2473
クリーニングおがわ 大分市高城新町4-15 097-558-1200
クリーニング大在センター 大分市竹下2丁目7-16 097-592-4672
クリーニング松本 大分市羽屋4-1A 097-543-6594
（有）大分ヤングドライ 大分市萩原3丁目11番-20号 097-558-9603
岡本クリーニング 大分市牧1丁目6番20号 097-558-4615
大分玉屋クリーニング店 大分市今津留3丁目9-4 097-558-7823
（資）玉屋クリーニング商会 別府市亀川浜田町32組 0977-66-0181
東京舎クリーニング 別府市山の手町5の6 0977-22-5059
敷嶋クリーニング店 別府市荘園6-4 0977-24-5778
柴田クリーニング 別府市石垣東8丁目4-3 0977-23-0642
クリーニングのあらき 中津市上如水556-1 0979-32-7707
共栄クリーニング 中津市沖代町1丁目3-19 0979-22-7797
中央クリーニング 中津市下宮永450-7 0979-22-0810
（有）吉岡ランドリー 中津市新魚町1丁目1939の1 0979-22-1437
せぐちクリーニング 中津市蛭子町1丁目 0979-23-1870
ファッションクリーニングあおやま 中津市大字大悟法737の95 0979-32-1855
（有）クリーニングハトヤ 日田市小迫15の1 0973-23-4024
（有）ポプラクリーニング 臼杵市江無田30組 0972-62-5857
（有）諏訪クリーニング工場 臼杵市大字市浜755番地の1 0972-62-3188
洗タッキーカワハラ 豊後高田市西真玉1733番地ー1 0978-53-4140
渡辺クリーニング店 豊後高田市是永町499-1 0978-22-2840
（有）もろとみクリーニング 杵築市南杵築1655 0978-62-2340
扇屋クリーニング 豊後大野市大野町後田2052-2 0974-34-3166
（有）神山クリーニング 豊後大野市三重町市場6区 0974-22-0578
ロイヤルクリーナー（株）リファイン大分 豊後大野市犬飼町下津尾10番 097-579-7455
クリーニング藤川 国東市武蔵町古市447番地 0978-68-0053
川田クリーニング店 国東市国東町鶴川1343番 0978-72-0460
