店名 住所 電話番号
きのくにや 大阪市都島区高倉町1-2-20 06-6921-1969
クリーニングハウス・ムッシュ 大阪市都島区高倉町2-9-6 06-6923-3300
東京屋クリーニング商会 大阪市都島区御幸町1-8-2 06-6922-6363
中川クリーニング店 大阪市都島区内代町2-14-5 06-6951-1060
奥田屋 大阪市都島区都島北通2-16-21 06-6921-5861
（株）しらさぎ 大阪市都島区都島北通2-20-4 06-6923-1420
ライフ・クリーナー 大阪市都島区都島本通3-1-8 06-6921-5029
大黒屋 大阪市都島区都島中通2-12-21 06-6969-1559
辰己屋 大阪市福島区海老江2-8-12 06-6458-3490
（有）松岡クリーニング工場 大阪市福島区海老江5-6-19 06-6451-5740
白滝クリーニング 大阪市福島区鷺洲4-5-18 06-6451-0224
（株）三好屋クリーニング 大阪市福島区福島8-11-15 06-6451-7862
ヒラキクリーニング 大阪市福島区野田5-1-13 06-6461-7412
（有）水野クリーニング商会 大阪市福島区野田5-9-28 06-6461-3782
（株）ニューファースト 大阪市福島区大開1-7-9 06-6463-2541
丸誠クリーニング店 大阪市福島区大開2-9-3 06-6462-8337
（有）福田屋 大阪市西区江戸堀1-20-19 06-6441-4796
クリーニングSEED 大阪市西区新町3-8-2 06-6531-5459
（株）エムパイヤ本店 大阪市港区夕凪2-5-28 06-6571-0854
クリーニングショップひまわり 大阪市港区田中2-4-31 06-6571-3183
丸十商会 大阪市港区南市岡1-9-6 06-6582-3336
（株）工藤クリーニング工場 大阪市大正区千島3-23-14 06-6552-8139
（株）シルバー 大阪市大正区平尾5-10-20 06-6551-9136
（株）キクヤ 大阪市大正区南恩加島5-8-34 06-6554-0071
丸西屋 大阪市大正区泉尾1-12-7 06-6551-7937
シルバー吉元ドライセンター 大阪市大正区泉尾4-17-8 06-6553-1455
（株）宏栄舎 大阪市天王寺区上之宮町10-4 06-6771-9425
紋政 大阪市天王寺区真法院町17-3 06-6771-1384
クリーニング・シーガル　スタジオセラ 大阪市天王寺区勝山3-9-15 06-6775-2031
（株）丸善舎 大阪市天王寺区大道1-2-27 06-6771-6646
河内屋ドライクリーニング店 大阪市浪速区下寺2-4-19 06-6633-2464
たちばなやクリーニング 大阪市浪速区恵美須西3-11-24 06-6633-3079
冨士屋クリーニング 大阪市浪速区日本橋東2-1-15 06-6641-6680
（有）ダックス 大阪市浪速区芦原1-1-1 06-6563-6058
（有）松屋ランドリー 大阪市西淀川区千舟1-2-3 06-6474-2959
（有）ベストクリーニング 大阪市東淀川区瑞光4-12-5 06-6320-6729
冨士工業リネンサプライ工場（株） 大阪市東淀川区大桐4-5-21 06-6328-4751
白進舎 大阪市東淀川区豊里4-2-15 06-6327-1345
あづまクリーニング店 大阪市東淀川区豊里7-4-1 06-6329-3740
（株）かつら商会 大阪市東淀川区豊新4-24-3 06-6328-3270
新生ランドリー 大阪市東淀川区5-6-27　S1ビル1F 06-6324-2931
（有）ダイサンサービス 大阪市東淀川区菅原4-7-22 06-6324-2931
（株）福島クリーニング 大阪市東淀川区菅原6-11-6 06-6328-0629
近江屋高級クリーニング（株） 大阪市東淀川区東淡路2-6-6 06-6322-1088
（株）シロヤ 大阪市東淀川区西淡路3-1-40 06-6322-4362
大阪屋 大阪市東淀川区淡路4-20-35 06-6322-2391
クリーニングRIN 大阪市東淀川区淡路5-21-36 06-6321-2515
クリーニングふじもと 大阪市東成区深江南2-11-28 06-6973-8335
鳴戸屋 大阪市東成区大今里2-11-5 06-6981-3796
大丸 大阪市東成区玉津2-21-9 06-6971-9393
白英舎 大阪市生野区田島5-1-7 06-6758-0358
（株）クリーニングガイド 大阪市生野区田島5-4-18 06-6758-2112
高砂屋 大阪市生野区勝山南2-4-24 06-6741-3953
（株）かわさきクリーニング 大阪市生野区生野西3-7-3 06-6741-1002
（有）誠美社 大阪市生野区生野東4-1-2 06-6731-9804
志ろ屋 大阪市生野区鶴橋3-5-7 06-6731-2868
（株）トラヤクリーニング 大阪市旭区今市1-18-21 06-6955-5454
メンテナンスクリーナーTOKYOYA 大阪市旭区新森3-1-20 06-6951-6903
丸美屋クリーニング店 大阪市城東区今福南4-2-25 06-6931-1194
クリーニングAZ（アズ） 大阪市城東区今福西4-2-26 06-6931-0168
クリーニングショップ中村 大阪市城東区中央1-7-30 06-6931-2503
三島クリーニング商会 大阪市城東区鴫野西4-3-27 06-6962-2081
（有）ニチエー 大阪市城東区中浜1-4-18 06-6961-7724
しみぬき工房クリーニングニシムラ 大阪市阿倍野区天王寺町北2-2-18 06-6714-5356
加賀屋 大阪市阿倍野区天王寺町北2-5-25 06-6719-7405
奈良屋 大阪市阿倍野区三明町1-13-18 06-6628-3754
クリーニングサカエ 大阪市住吉区長居東4-15-5 06-6696-4584
松木クリーニング 大阪市住吉区苅田4-12-4 06-6698-6456
陽気屋ランドリー 大阪市住吉区我孫子3-12-9 06-6691-0912
（有）シルバークリーニング 大阪市住吉区山之内3-12-2 06-6691-1302
保田クリーニング店 大阪市住吉区沢之町2-7-16 06-6691-1245
アンクル 大阪市住吉区清水丘2-23-18 06-6671-3948
（株）満寿屋 大阪市住吉区南住吉1-22-31 06-6695-1330
（株）小森クリーニング商会 大阪市住吉区南住吉4-15-5 06-6695-3888
帝塚山小森クリーニング 大阪市住吉区帝塚山東3-1-10 06-6671-5622
（有）COZY 大阪市住吉区帝塚山東3-11-9 06-6672-6813
万代屋 大阪市住吉区万代5-6-3 06-6671-5643
朝日屋クリーニング 大阪市住吉区万代6-16-8 06-6671-1977
（株）スマイル 大阪市東住吉区中野2-2-9 06-6705-0161
（有）マブチクリーニング 大阪市東住吉区鷹合2-6-32 06-6691-6085
淀屋クリーニング店 大阪市東住吉区鷹合3-10-31 06-6692-0438
三美舎 大阪市東住吉区鷹合4-23-5 06-6691-4743
栄屋クリーニング商会 大阪市東住吉区東田辺2-5-2 06-6691-8123
三原クリーニング店 大阪市東住吉区桑津5-2-1 06-6713-1041
正明舎 大阪市東住吉区駒川1-17-9 06-6713-5028
（有）大矢 大阪市東住吉区北田辺2-9-8 06-6714-3270
