店名 住所 電話番号
（株）明治屋クリーニング 佐賀市南佐賀1丁目10-31 0952-22-7624
橋口クリーニング 佐賀市本庄町本庄1323-3 0952-23-7803
白栄舎クリーニング 佐賀市高木町8-1 0952-23-5241
内田クリーニング店 佐賀市松原3-4-10 0952-23-2748
ホワイト舎クリーニング店 佐賀市堀川町2-16 0952-23-6885
不二屋クリーニング 佐賀市伊勢町14-29 0952-23-6433
グロリアクリーニング 佐賀市伊勢町2-31 0952-29-6701
はがくれプレス 佐賀市中折町9-2 0952-24-2670
南里ドライクリーニング店 佐賀市嘉瀬町十五1290-1 0952-29-5821
副島クリーニング 佐賀市川副町早津江津495 0952-45-1031
船山ドライクリーニング 佐賀市高木瀬西1丁目2-5 0952-30-6070
森川クリーニング店 佐賀市日の出1丁目4-20 0952-30-4026
宮田クリーニング店 佐賀市開成2丁目6-9 0952-30-8180
（有）萬屋ドライクリーニング 唐津市呼子町呼子1966 0955-82-3851
（有）吉野クリーニング店 唐津市八百屋町1564 0955-72-3558
ホワイトクリーニング橋本 唐津市北波多稗田1684-25 0955-64-2150
（有）とらやクリーニング 唐津市浜玉町浜崎1158-7 0955-56-6903
舞鶴クリーニング 唐津市浜玉町浜崎1354 0955-56-6920
池口クリーニング店 多久市東多久町別府4758 0952-76-2206
岩永クリーニング店 伊万里市立花町1922-4 0955-23-0013
松尾クリーニング店 伊万里市松島町262 0955-22-2840
朝日クリーニング店 武雄市朝日町大字甘久1941-1 0954-23-2984
（有）毎日屋ドライクリーニング 武雄市武雄町富岡7660-2 0954-22-2232
ひかりクリーニング 鹿島市大字納富分4828-5 0954-63-0624
中村クリーニング店 鹿島市大字納富分若殿分594 0954-62-5676
サンクリーン白浜商事 鹿島市大字重ノ木小舟津446-1 0954-62-5524
（有）ビー・アンド・ビー（馬場クリーニング） 鹿島市浜町1392-3 0954-63-2576
（有）鹿クリーニング 小城市小城町上町926-2 0952-73-3066
クリーニングのもりなが 小城市小城町晴気宿1376 0952-72-7047
サンクリーン九州佐賀店 小城市三日月町堀江364-6 0952-72-4104
（有）早美クリーニング商会 嬉野市塩田町大字馬場下甲1482 0954-66-2180
ホワイト舎 神埼市神埼町神埼1丁目60 0952-52-2810
クリーニング白光社 神埼郡吉野ヶ里町吉田274-1 0952-52-2273
松尾クリーニング 三養基郡基山町宮浦186-56 0942-92-2205
ファッションクリーニングみきや 三養基郡みやき町大字西島2932-4 0942-96-4841
池田クリーニング店 西松浦郡有田町幸平1丁目3-5 0955-42-2474
筒井クリーニング店 西松浦郡有田町北ノ川内丙247-2 0955-46-3152
（有）トミタクリーニング 藤津郡太良町大字多良1335-2 0954-67-2254
