店名 住所 電話番号
只木屋クリーニング さいたま市西区指扇2407-215 048-624-1976
新井クリーニング店 さいたま市西区三条町48-2 048-624-4345
野沢ランドリー さいたま市西区土屋570-9 048-622-4330
蓜島クリーニング さいたま市西区二ツ宮755-2 048-623-5153
（有）松本ランドリー さいたま市北区本郷町1091 048-664-6875
衣類のお医者さんチャム　さいたま さいたま市北区宮原町1-375 048-663-2848
（有）宮原クリーニング商会 さいたま市北区宮原町3-337 048-664-5922
クリーニングフジ 宮原町1-375
川口屋クリーニング さいたま市北区植竹町1-382 048-663-3485
丸昭クリーニング さいたま市北区別所町93-9 048-651-8020
クリーニング只木 さいたま市北区日進町2-1306-4 048-667-4877
クリーニング赤星 さいたま市北区日進町2-1310-4 048-664-2449
日進クリーニング さいたま市北区日進町2-868 048-663-0848
岩上クリーニング さいたま市北区櫛引町2-452 048-663-6604
結城クリーニング商会 さいたま市大宮区土手町3-269-3 048-667-3434
（有）卯月ドライクリーニング さいたま市大宮区宮町4-86 048-641-1277
（有）富永クリーニング店 さいたま市大宮区天沼町1-135 048-641-6150
堀クリーニング店 さいたま市大宮区天沼町1-621-254 048-644-6846
タチカワクリーニング さいたま市大宮区天沼町2-1040 048-641-6368
まごころクリーニングわが さいたま市大宮区仲町3-129 048-642-6211
山中クリーニング さいたま市大宮区大門町3-157 048-641-3093
大成クリーニング店 さいたま市大宮区大成町2-250 048-663-1352
（有）京都屋 さいたま市大宮区大成町3-339 048-663-2970
（株）コメット さいたま市大宮区上小町269 048-642-3302
（株）ベネック さいたま市大宮区三橋1-1038 048-641-4101
福島クリーニング さいたま市大宮区三橋1-209-6 048-665-6220
（有）秦クリーニング店 さいたま市大宮区桜木町2-539 048-652-1731
春日ランドリー さいたま市見沼区新堤152東宮下団地19-5 048-685-0811
トップクリーニング さいたま市見沼区島町396-2 048-685-1939
春日クリーニング店 さいたま市見沼区丸ヶ崎51-11 048-683-1502
ファッションドライかさはら さいたま市見沼区東宮下358-1 048-685-6096
（株）e-clean さいたま市見沼区新堤7-1
白洗舎 さいたま市見沼区大谷1684-8 048-683-5384
白栄舎クリーニング さいたま市見沼区蓮沼686-1 048-685-3451
ネオ商会 さいたま市見沼区東門前410 048-684-1833
クリーニングハウス三洋 さいたま市見沼区風渡野358-5 048-683-4198
クリーニングスズキ さいたま市見沼区風渡野730-8 048-684-5784
（有）東洋ランドリー さいたま市見沼区南中野456 048-683-6517
フジモトクリーニング さいたま市見沼区中川537-2 048-686-7471
藤本クリーニング さいたま市見沼区大字中川537-2
（有）クリーニングのママ さいたま市見沼区東大宮2-51-4 048-663-1960
クリーニングライクワン さいたま市見沼区東大宮2-7-24 048-667-8551
中谷クリーニング さいたま市見沼区東大宮6-158-25 048-684-3295
大宮クリーニング さいたま市見沼区東大宮7-24-20 048-683-4179
スカイクリーニング さいたま市見沼区堀崎町1247-8 048-683-8058
（有）サンオーク（ナイスクリーニング） さいたま市中央区阿弥6-4-10 048-854-3019
みよしクリーニング さいたま市中央区上落合3-5-5 048-852-7700
田中クリーニング さいたま市中央区上落合8-2-15 048-852-1351
トモエ屋クリーニング店 さいたま市中央区下落合1055 048-831-7650
（有）川口屋 さいたま市中央区下落合2-10-12 048-831-3478
プロクリーナークリンツ さいたま市中央区本町西1-3-29 048-852-6602
白洗舎 さいたま市中央区新中里3-2-34 048-832-2041
白栄舎クリーニング さいたま市中央区大戸1-32-2 048-824-4730
（株）浦和寿 さいたま市桜区中島3-3-29 048-854-3001
角田クリーニング さいたま市桜区町谷2-9-13 048-854-6254
（株）白星 さいたま市浦和区皇山町38-10 048-833-8164
共同ホールセール さいたま市浦和区駒場1-1-6 048-882-1140
第一クリーニング さいたま市浦和区常盤1-7-11 048-833-5608
クリーニング田原屋 さいたま市浦和区常盤4-16-4 048-831-5827
酒井クリーニング店 さいたま市浦和区岸町3-7-9 048-822-4892
松沢クリーニング さいたま市浦和区上木崎4-5-16 048-832-4851
長井クリーニング さいたま市浦和区上木崎6-41-16 048-833-2035
クリーニングあかし さいたま市浦和区領家2-8-8 048-886-0384
大谷商会 さいたま市浦和区元町1-20-3 048-886-4624
上野クリーニング さいたま市浦和区針ヶ谷2-16-11 048-832-2498
（有）昭栄舎 さいたま市南区別所7-16-8-1 048-862-1810
冨士屋クリーニング さいたま市南区文蔵2-15-10 048-861-6605
馬場商会 さいたま市南区鹿手袋6-13-37 048-862-0734
クリーニングコジマ さいたま市南区曲本3-11-8 048-862-7267
菅クリーニング さいたま市緑区原山3-19-12 048-885-7895
サンライズクリーニング さいたま市緑区原山4-6-1 048-885-1312
クリーニングアオイ さいたま市緑区中尾2198-4 048-873-2843
（株）菊水舎 さいたま市岩槻区黒谷2199-3 048-798-7831
斉田クリーニング さいたま市岩槻区笹久保389 048-798-0532
ファッションクリーナーカエデ さいたま市岩槻区府内2-28-20 048-798-6883
ヒカリクリーニング さいたま市岩槻区城南2-7-5 048-798-6731
中西クリーニング さいたま市岩槻区城町2-6-5 048-757-6775
なちクリーニング さいたま市岩槻区仲町2-4-2 048-757-7133
クリーニングハスミ さいたま市岩槻区東町1-2-1 048-756-3207
