店名 住所 電話番号
（株）松田クリーニング商会 大津市蓮池町10-22 077-522-6260
（株）小野ドライ 大津市桜野町一丁目20-31 077-522-7243
エースクリーニング商会 大津市御陵町5-17 077-522-2262
ハッピードライクリーニング商会 大津市御陵町5-20 077-522-2939
冨士屋クリーニング店 大津市山上町11-20 077-523-0720
森田クリーニング店 大津市中央三丁目4-24 077-522-2032
（有）小まつや本店 大津市長等二丁目3-7 077-524-2507
ヒコーキ屋クリーニング店 大津市末広町8-12 077-522-2780
（有）はり松クリーニング店 大津市本堅田三丁目14-8 077-572-0439
(株)マジック 大津市湖青2-17-13 077-594-4622
塚本クリーニング店 大津市本丸町2-10 077-524-6938
（有）真心堂 大津市北大路二丁目5-11 077-537-0170
（有）かたおか 大津市国分一丁目10-13 077-534-0966
美洗堂 大津市南郷一丁目21-30 077-534-8144
みどり屋クリーニング 大津市大江三丁目20-12 077-545-2369
WASH＆FOLD　彦根店 彦根市西今町958-4 0749-30-9162
（株）ヨシハラ 彦根市大堀町380-1 0749-24-0425
（有）金山クリーニング 長浜市曽根町995 0749-72-2821
前崎クリーニング店 長浜市木之本町木之本1375-2 0749-82-2243
朝日屋クリーニング 近江八幡市加茂町844-6 0748-34-6176
中屋クリーニング舗 近江八幡市出町466 0748-32-2870
（福）しあわせ会　障害福祉サービス事業所　第二むつみ園 草津市山寺町666-1 077-565-1456
フトン巻きのジロー草津追分店 草津市追分南4-2-3　かがやきテラス1F 077-565-8555
近江リネン（株） 草津市南山田町瓦屋1079 077-565-0707
小酒井クリーニング店 守山市播磨田町1276-9 077-583-0249
（株）眞名井晃商 守山市古高町780-11 077-514-3081
（株）かめやクリーニング 守山市古高町808-30 077-582-2311
（有）亀田 守山市横江町1-1 077-582-2337
（株）みつや 栗東市綣4-4-24 077-599-0750
（株）小平井屋クリーニング 栗東市小平井3-2-15 077-552-2253
（有）ミヤマ 甲賀市水口町城東5-58 0748-62-0362
（有）マツヤドライクリーニング 野洲市小篠原2180-14 077-587-3339
（有）クリーニングショップ丸善 高島市安曇川町五番領185 0740-32-0268
クリーニングアサヒ 高島市新旭町熊野本170 0740-25-3711
市川クリーニング店 高島市今津町今津306 0740-22-2417
（株）ヒロコーポレーション八日市工場 滋賀県東近江市建部堺町35 0748-36-2266
クリーニング押谷 米原市長岡914 0749-55-0363
（株）クレール 犬上郡多賀町大字四手字諏訪348-3 0749-48-2234
大和商会 犬上郡多賀町藤瀬８４５ 0749-49-0321
