店名 住所 電話番号
（有）ＮＡＤＡ 松江市東津田町733 0852-21-1460
古志原ドライ 松江市古志原1-9-36 0852-22-2519
丸石ドライクリーナー 松江市上乃木町2-5-7 0852-21-5136
知的障害支援施設希望の園 松江市山代町934-10 0852-22-9344
ランランドライ加納 松江市大庭町39-2 0852-24-1063
（有）ファミリードライだんだん 松江市浜乃木4-5-43 0852-21-6142
古志クリーニング店 松江市雑賀町766-4 0852-21-9374
（有）桑谷クリーニング店 松江市寺町213-3 0852-21-1383
アイカム（株） 松江市東長江町902-53 0852-36-5656
（有）城北ドライ 松江市西川津町3231 0852-21-9303
（有）北陽ドライ 松江市中原町316 0852-21-1633
（有）サンドライ 松江市春日町321 0852-21-7450
幸栄クリーニング 松江市乃木福富3559 0852-23-1434
今出屋クリーニング 松江市八束町入江 0852-76-2295
島屋クリーニング 松江市鹿島町恵曇 0852-82-0053
丸安クリーニング 松江市鹿島町恵曇528-1 0852-82-0242
安岡クリーニング店 浜田市熱田町1676 0855-27-1952
（株）岩多屋島根基準寝具工場 浜田市三隅町湊浦 0855-32-0382
（有）田中クリーニング店 出雲市今市町京町489-1 0853-21-2408
（有）ファミリードライ 出雲市大津町612 0853-22-5890
（有）太陽ドライ 出雲市塩冶町有原町2-3 0853-22-1234
（有）須藤ランドリー 出雲市塩冶神前6-5-1 0853-23-3911
カワキ屋クリーニング店 出雲市稲岡町333-1 0853-22-6646
白鳥舎クリーニング店 出雲市斐川町直江4635-1 0853-72-0712
（株）山陰ダスキン工場 出雲市大社町杵築西2671-1 0853-53-3331
（有）共進ドライ 益田市多田町1-3 0856-22-0807
天野屋クリーニング店 大田市大田町大田ロ937 0854-82-0748
北尾オートクリーニングショップ 大田市大田町大田大正西イ−263−1 0854-82-3791
八木クリーニング店 大田市大田町ハ296-3 0854-82-1421
（有）はり新 安来市安来町1679 0854-22-2347
太洋舎クリーニング店 安来市安来町東御幸1537 0854-22-2388
（有）白洗舎 安来市下坂田町１７１ 0854-22-2632
内部ドライ 雲南市加茂町加茂中992-1 0854-49-7420
青木クリーニング店 雲南市大東町下阿用9-1 0854-43-2477
（有）頓原ランドリー 飯石郡飯南町佐見753-2 0854-72-0036
（有）三好クリーニング店 邑智郡川本町川本531-3 0855-72-0344
総合クリーニング武田 邑智郡邑南町三日市 0855-83-0038
松谷クリーニング店 隠岐郡西ノ島町浦郷 08514-6-0083
真野クリーニング店 隠岐郡隠岐の島町西町八尾の二３３ 08512-2-0004
脇坂クリーニング 隠岐郡隠岐の島町下西767-4 08512-2-0008
社会福祉法人わかば通所授産施設あじさい 隠岐郡隠岐の島町中の津四309番地1 08512-2-5699
