店名 住所 電話番号
関東商会安西 静岡市葵区安西4-55 054-253-1660
勝見クリーニング 静岡市葵区二番町15-2 054-253-0915
横尾商会 静岡市葵区七番町2-5 054-252-0032
クリーニングシティー 静岡市葵区千代田1-1-37 054-247-2072
小川クリーニング店 静岡市葵区沓谷1-19-9 054-265-3588
栗坂クリーニング店 静岡市葵区下1492-4 054-245-9917
クリーニングすずき 静岡市葵区音羽町27-13 054-247-5900
出木クリーニング店 静岡市葵区鷹匠2-3-14 054-253-1674
杉商 静岡市葵区城東町20-16 054-246-2107
向上舎クリーニング店 静岡市葵区宮ケ崎町42 054-246-5356
佐々木ランドリー 静岡市葵区大岩2-4-4 054-245-6921
森川クリーニング店 静岡市葵区大岩2-7-12 054-245-3201
横山クリーニング 静岡市葵区瀬名川1-31-37 054-261-1349
コクブクリーニング 静岡市葵区瀬名中央1-2-3 054-261-0629
エビスヤクリーニング 静岡市葵区上伝馬19-34 054-271-1379
（有）石田クリーニング商会 静岡市葵区北2-15-1 054-245-4347
あさひ屋 静岡市葵区羽高町4-2 054-246-1843
（資）林屋商会 静岡市葵区牧ケ屋2365番地 054-253-0330
丸善クリーニング 静岡市葵区安倍口新田507-8 054-296-2168
用盛舎クリーニング 静岡市駿河区用宗4-2-15 054-259-2184
上州洗布舎 静岡市駿河区鎌田104-4 054-259-1661
牧野クリーニング店 静岡市駿河区小鹿2-28-9 054-285-2762
ファッションクリーニング協和 静岡市駿河区富士見台1-12-6 054-285-8647
府中クリーニング 静岡市駿河区中田1-1-32 054-285-7235
桜屋クリーニング 静岡市駿河区中田2-3-12 054-281-2447
中西クリーニング店 静岡市駿河区稲川2-4-7 054-285-4968
大石クリーニング店 静岡市駿河区馬淵1-17-24 054-285-5565
静岡白洋舎㈱ 静岡市駿河区新川1-16-19 054-285-7188
（株）さくらやクリーニング 静岡市駿河区南八幡町20-14 054-285-6969
井上クリーニング店 静岡市清水区八坂南町4-3 054-366-4029
富士クリーニング店 静岡市清水区西久保271-5 054-367-1765
ドライショップムラタ 静岡市清水区西大曲町2-6 054-365-1546
（株）日洗 静岡市清水区北脇新田332-1 054-347-2258
（株）セントラルタオル静岡 静岡市清水区長崎472-2 054-346-3456
ドライクリーニング大石 静岡市清水区大手3-4-13 054-366-5647
ファッションクリーニングもちづき 静岡市清水区本郷町3-6 054-366-2170
平野クリーニング店 静岡市清水区江尻町5-3 054-366-4772
清見クリーニング商会 静岡市清水区万世町1-1-15 054-353-0243
竹沢クリーニング店 静岡市清水区上1-2-8 054-352-6786
杉浦クリーニング店 静岡市清水区浜田町4-20 054-352-6277
たかのクリーニング商会 静岡市清水区追分1-2-3 054-366-7344
さいとうクリーニング 静岡市清水区川原町20-9 054-352-1517
すぎやまクリーニング 静岡市清水区松井町6-12 054-352-3560
大庭クリーニング 静岡市清水区日立町4-21 054-334-1354
（有）柳屋本店 浜松市中区相生町14-12 053-474-1555
（株）海月洗染 浜松市中区相生町16-5 053-461-0868
松屋クリーニング 浜松市中区住吉3-5-10 053-471-7746
武藤染工（株） 浜松市中区茄子町360-1 053-461-7993
越後屋クリーニング店 浜松市中区船越町46-12 053-461-4359
岩音クリーニング店 浜松市中区常盤町141-18 053-453-1956
（有）浜松屋クリーニング店 浜松市中区野口町651 053-461-3295
田園舎クリーニング 浜松市中区元浜町186 053-471-1749
（有）大友クリーニング本店 浜松市中区元目町128-19 053-452-6943
あづま商会 浜松市中区塩町55-1 053-452-7937
（有）神原洗業 浜松市中区高丘東4-3-21 053-436-2744
平土クリーニング店 浜松市中区高丘北1-21-5 053-436-1287
東伸舎 浜松市中区萩丘3-10-8 053-473-2374
（有）ハロークリーニング 浜松市中区上島3-33-18 053-463-0337
旭クリーニング商会 浜松市東区有玉南町1892-1 053-475-5758
クリーニング（株）はつせ 浜松市東区有玉南町2313-1 053-473-0916
天竜クリーニング 浜松市東区天竜川町27-1 053-462-0625
（株）浜松白洋舎 浜松市東区篠ケ瀬町1247-1 053-422-8787
三京クリーニング 浜松市東区丸塚町510-12 053-464-2775
（株）CISドライ 浜松市東区上西町1302 053-444-0033
やなぎやクリーニング店 浜松市西区雄踏町山崎3640-1 053-592-1467
豊田屋クリーニング店 浜松市西区雄踏町宇布見5182-2 053-592-1307
タバタクリーニング 浜松市西区篠原町12018-1 053-447-3057
（株）アプコ 浜松市西区湖東町5725-2 053-439-9373
大信社クリーニング 浜松市西区西山町2262 053-485-1238
モード・ケア カミムラ 浜松市西区神ヶ谷町8877-1 053-485-6126
ハロークリーニング本郷店 浜松市南区本郷町1316-12 053-463-0345
（有）つばめクリーニング 浜松市南区芳川町131 053-461-0211
東クリーニング 浜松市南区白羽町539-5 053-441-2650
（有）浩和クリーニング 浜松市南区三島町580-2 053-442-0308
ファッションクリーニングみゆき 浜松市北区三幸町300-7 053-436-9434
宏亜ドライ 浜松市北区三方原2229-1 053-436-3813
（有）カネコ 浜松市北区三方原町671-1 053-436-2629
（有）ナイス 浜松市北区初生町1299-4 053-437-6167
せんたくや　いこま 浜松市北区初生町237-5 053-420-1760
深田クリーニング店 浜松市天竜区二俣町二俣1442-1 053-925-3267
山中商会 浜松市天竜区二俣町二俣1457-1 053-926-2757
協和クリーニング 沼津市大岡347-24 055-962-8966
白新舎クリーニング店 沼津市平町18-23 055-962-4413
大成ランドリー 沼津市神田町7-24 055-922-8473
（有）白栄舎クリーニング工場 沼津市新宿町4-2 055-921-2918
白栄舎北高島店 沼津市北高島町13-26 055-922-1051
クリーニングいわもと 沼津市高沢町4-20 055-921-4395
ツルタクリーニング店 沼津市若葉町1-32 055-921-5764
稲木クリーニング店 沼津市西浦久連212-4 055-942-2023
山本クリーニング店 沼津市青野354-3 055-966-5280
ホワイト舎 沼津市原781-8 055-966-0422
山本クリーニング店 沼津市原833-2 055-966-0104
（有）川口クリーニング店 沼津市大手町3-4-15 055-962-3743
横浜屋クリーニング店 沼津市上土町33 055-962-0908
萩原クリーニング店 沼津市下河原町139-2 055-963-1681
大成舎クリーニング店 沼津市千本緑町3-14 055-962-4204
塩谷クリーニング店 沼津市浅間町258-1 055-963-1326
岡本クリーニング店 熱海市伊豆山579 0557-80-2615
（資）岡本クリーニング本店 熱海市中央町4-11 0557-81-3223
（資）山村クリーニング店 熱海市清水町6-19 0557-81-4071
大洋舎クリーニング 熱海市昭和町13-23 0557-81-4306
青山クリーニング店 熱海市和田町18-26 0557-81-7616
渡辺クリーニング店 熱海市桜木町14-1 0557-81-5350
梅原クリーニング店 熱海市緑ガ丘町20-4 0557-81-2828
箱田クリーニング 熱海市下多賀171 0557-68-0253
大和クリーニング 熱海市下多賀417-10 0557-68-0619
白鳥クリーニング 熱海市下多賀877 0557-68-3306
クリーニング江間 三島市加茂川町4116-1 055-972-4371
（有）長沢クリーニング商会 三島市東本町2-1-101 055-975-1636
日本リネンサプライ（株） 富士宮市外神2184-1 0544-58-3900
山崎クリーニング店 富士宮市野中町420 0544-26-3241
渡辺クリーニング店 富士宮市淀川町26-5 0544-26-5957
雨宮クリーニング店 富士宮市中央町14-14 0544-26-2368
（有）オリエンタル 富士宮市矢立町143 0544-26-3642
ロイヤルクリーニングユタカ 富士宮市田中町758-1 0544-22-1500
（株）リフレッシュトーカイ 富士宮市山宮150 0544-59-1670
伊東クリーニング店 富士宮市上条776-1 0544-58-3883
石井クリーニング店 伊東市宇佐美2033-5 0557-48-9609
（有）白栄舎 伊東市湯川2-14-20 0557-37-3071
すみれクリーニング店 伊東市猪戸1-6-2 0557-37-4016
丸正佐藤クリーニング店 伊東市和田1-4-6 0557-37-2096
（有）十字屋 伊東市竹の内2-6-17 0557-37-1313
（有）中央ランドリー 伊東市宮川町1-5-12 0557-37-3819
（有）北島クリーニング 伊東市芝町13-27 0557-37-3945
昭和クリーニング店 伊東市玖須美元和田685-4 0557-37-1609
ニシガミクリーニング店 伊東市玖須美元和田727-723 0557-37-9634
とつかクリーニング店 島田市阿知ヶ谷38-5 0547-37-4240
東海特殊洗業（株） 島田市阿知ヶ谷748-1 0547-33-1107
エビスヤ洗染（有） 島田市大井町2272-1-15 0547-37-3589
（有）さんきゅうクリーニング 島田市稲荷4-18-7 0547-36-0271
鈴木クリーニング店 島田市中央町1964-3 0547-37-4717
アサヒヤクリーニング店 島田市中河町1942-19 0547-35-3214
火物クリーニング店 島田市宮川町2550 0547-37-2473
森下クリーニング店 島田市中溝町1539-6 0547-37-7049
クリーニングひらまつ 島田市井口441 0547-38-1844
もちづかクリーニング 島田市島824-1 0547-45-2969
クリーニングあいざわ 島田市金谷清水2233-15 0547-45-2425
高岸クリーニング店 島田市川根町笹間渡272 0547-53-2815
（有）クリーニングフジヤ 富士市中島282-2 0545-63-2838
富士（京）クリーニング店 富士市元町17-5 0545-61-0816
鈴木クリーニング店 富士市横割6-17-12 0545-61-1108
うえまつクリーニング 富士市宮島496-7 0545-61-3262
クリーニング駿東商会 富士市永田町1-27-2 0545-52-1932
渡辺クリーニング店 富士市大渕2920-4 0545-35-0097
藤田ドライクリ－ニング商会 富士市一色490-8 0545-21-5319
島田クリーニング店 富士市三ッ沢83-9 0545-21-5691
はやし屋クリーニング店 富士市厚原937-9 0545-71-1566
ファッションクリーニング滝戸屋 富士市久沢280-4 0545-71-0704
（有）トック 富士市久沢50-19 0545-73-1092
玉川屋クリーニング商会 磐田市匂坂中791 0538-38-1788
キンツルクリーニング店 磐田市国府台93-14 0538-32-5569
曙クリーニング 磐田市中泉1846-1 0538-32-7746
名倉クリーニング 磐田市見付2424 0538-34-6172
朝日クリーニング店 磐田市見付3026-3 0538-32-5646
豊田屋クリーニング 磐田市見付5967-2 0538-32-6549
鈴木クリーニング店 磐田市新開280 0539-62-3612
クリーニングスズキ 磐田市岡744-2 0538-66-2397
クリーニング南洋社 磐田市川袋180-1 0538-66-2910
（株）丸八真綿クリニック事業部 磐田市駒場6780 0538-66-6308
大杉クリーニング 磐田市森本894 0538-34-5086
小木曽クリーニング店 焼津市栄町6-2-2 054-628-3547
アスナロ駅北店 焼津市駅北3-6-15 054-628-7618
山田屋クリーニング店 焼津市小川新町3-6-28 054-628-3616
タナカヤ小川港店 焼津市小川3337-3 054-624-8564
油井クリーニング店 焼津市東小川7-15-2 054-628-7432
（株）東洋舎 焼津市中根新田325 054-624-5013
志太東部クリーニング株式会社 焼津市三和1676 054-624-3809
タナカヤ豊田店 焼津市五ヶ堀之内827-5 054-627-3169
松井クリーニング店 掛川市本郷451-1 0537-26-0225
藤屋クリーニング駅南店 藤枝市田沼1-15-13 054-635-2766
仁杉クリーニング店 御殿場市仁杉836-9 0550-89-1186
ファーストランドリー 御殿場市中畑2094 0550-89-1506
乾ランドリー 御殿場市東田中1850-3 0550-83-7082
アートドライ 御殿場市中山545-9 0550-87-0366
（株）H・L・E 御殿場市竈1650 0550-89-6606
（有）オーケーランドリー 御殿場市新橋2040 0550-82-0124
内田クリーニング店 御殿場市川島田316-2 0550-82-0579
旭クリーニング 御殿場市川島田395 0550-83-0545
板妻ランドリー 御殿場市板妻170 0550-89-1543
（株）小羽皮革 袋井市萱間572-6 0538-49-0711
白洋舎クリーニング店 袋井市旭町1-2-11 0538-42-2713
クリーニングの青島商会 袋井市袋井155-2 0538-42-2069
（有）小羽 袋井市浅名321 0538-23-3727
（有）中田クリーニング 下田市吉佐美1645-1 0558-22-2540
たつきクリーニング 下田市東本郷2-2-13 0558-22-2962
町田ランドリー 裾野市岩波251-2 055-997-0723
ムラサキヤ 裾野市御宿196-1 055-992-0557
（株）サトウ商会 裾野市千福72-1 055-993-7011
（有）フレンドランドリー 裾野市茶畑1183-7 055-992-0162
須山ランドリー 裾野市須山1567 055-998-0044
（株）モガワ 伊豆市瓜生野123 0558-72-3210
