店名 住所 電話番号
大信サンドライ株式会社　円藤営業所 徳島市南田宮2丁目1-73 088-632-0332
はやしクリーニング店 徳島市南田宮4丁目7-11 088-632-3235
ランドリーキッチン　鮎喰店 徳島市鮎喰町1丁目1-5 088-632-4611
せんたく屋しん 徳島市鮎喰町1丁目19-25 088-631-6281
花立クリーニング 徳島市上吉野町2丁目1-49 088-622-1886
丸星クリーニング 徳島市南前川町5丁目2番地 088-653-2278
志賀屋 徳島市南内町3丁目17 088-625-4415
天野屋クリーニング 徳島市中徳島町2丁目27-3 088-652-0788
（有）白鵬舎 徳島市住吉2丁目1番15号 088-653-9128
プラスクリーニング　住吉店 徳島市住吉5丁目50（コープ住吉内） 088-625-9777
（株）ヤングドライ徳島 徳島市南末広町1丁目5 088-654-9652
新洗蔵・アバンセ本社工場 徳島市東沖洲1丁目3-9　マリンピア工業団地内 088-664-1234
小出クリーニング 徳島市二軒屋町1丁目10 088-652-6296
ランドリーキッチン　秋田町店 徳島市秋田町3丁目24 088-655-3160
クリーニングハウス　伊月店 徳島市伊月町6丁目4-7 088-678-6503
（有）樋富商事 徳島市津田浜之町10番11号 088-662-0356
クリーニングハウス　バルーン本店 徳島市新浜町1丁目4-39 088-662-1137
クリーニングハウス　大谷店 徳島市大谷町新堤44-1 088-669-4888
スタークリーニング　しらさぎ店 徳島市上八万町西山767 088-644-1242
シルッククリーニング 徳島市八万町弐丈47-1 088-668-3282
中野クリーニング 徳島市川内町宮島本浦129-1 088-665-0638
（有）長尾クリーニング 徳島市応神町応神産業団地10-2 088-678-4143
大信サンドライ　竜王営業所 徳島市国府町竜王6-28 088-642-6644
フタバクリーニング 徳島市国府町日開字東436-3 088-642-8835
クリーニングあさひ 国府町南岩延895-20 088－642-0563
（有）ニシオカクリーニング 鳴門市撫養町斎田字浜端南98 088-686-0585
大信サンドライ　グッドマイン 鳴門市撫養町立岩字七枚37 088-684-0850
ニシオカクリーニング　立岩店 鳴門市撫養町立岩字元地31-1 088-683-0164
ニシオカクリーニング　矢倉店 鳴門市大津町矢倉字六ノ越6-9 088-684-1430
高島屋ドライクリーニング 鳴門市鳴門町高島字南287 088-687-1665
サンクリーン藤田 鳴門市鳴門町高島字竹島240 088-687-2807
（有）やまにしクリーニング 小松島市小松島町北浜110 0885-32-1138
ホワイト急便はるか　キョーエイ小松島店 小松島市小松島町字若井崎10-1　キョーエイ小松島店内 0885-33-3115
大信サンドライ（株） 小松島市田野町月ノ輪93-1 0885-38-6180
北岡クリーニング 小松島市芝生町網干22-18 08853-2-5324
クリーニングハウス小松島　バイパス店 小松島市日開野町字弥三次13 0885-33-1120
久保田クリーニング 小松島市赤石町15-3 08853-7-1146
ホワイト急便はるか　アピカ店 阿南市西路見町堤外65-1　アピカ内 0884-22-8550
ホワイト急便はるか　フジグラン店 阿南市領家町土倉10 フジグラン阿南店内 0884-23-4557
環クリーニング店 阿南市学原町中西15-1 0884-22-1333
遠藤クリーニング 阿南市富岡町東仲町295ー7 0884-22-2181
ホワイト急便はるか　阿南工場前店 阿南市宝田町川原91-1 0884-21-0022
ホワイト急便はるか　宮倉店 阿南市羽ノ浦町宮倉日開元26-1　キョーエイ羽ノ浦店内 0884-44-6910
ドライクリーニングむらた 阿南市桑野町中野182-2 0884-26-0923
坂クリーニング 吉野川市鴨島町牛島53-1 0883-24-3326
クリーニングショップアクア　セレブ鴨島店 吉野川市鴨島町鴨島151-1 0883-26-1152
犬伏クリーニング 吉野川市山川町川田120 0883-42-2175
エレガンス 吉野川市山川町湯立286-1 0883-42-2321
クリーニングハウスポケット 阿波市阿波町伊沢田88（アワーズ内） 0883-35-7773
（有）さいとうクリーニング 阿波市阿波町字南整理270-1 0883-35-3377
クリーニングの大阪屋 美馬市美馬町谷ヨリ西121-1 0883-63-5291
奥村クリーニング 美馬市脇町大字脇町334-1コーポ藤本1階 0883-52-2707
おおたにクリーニング 三好市池田町マチ2174-12 0883-72-0729
田口クリーニング 三好市池田町マチ2221 0883-72-0339
森本クリーニング 三好市池田町マチ2229-10 0883-72-0973
おおたにクリーニング　シマ店 三好市池田町シマ784-10 0883-72-5858
クリーニングCPE　池田店 三好市池田町シマ864-1 0883-72-3636
森野クリーニング 三好市池田町中西サコダ170-8 0883-74-0819
クリーニングあさひ 名西郡石井町石井字石井587 088-674-9411
大信サンドライ　美っクリーニング 那賀郡那賀町小仁宇字大坪71-1 0884-62-3414
大信サンドライ株式会社　日和佐営業所 海部郡美波町奥河内寺前88-5 0884-77-0306
大信サンドライ　松茂営業所 板野郡松茂町笹木野八下33-6 088-699-4423
せんたくや吉元 板野郡藍住町住吉字神蔵4-2 088-692-8407
（有）いすいクリーニング 板野郡藍住町勝瑞字成長139-4 088-641-3775
志宇知 板野郡板野町大寺字亀山西153-1 088-672-0045
クリーニングの大阪屋　貞光店 美馬郡つるぎ町貞光西浦126-1 0883-62-4587
近藤クリーニング 三好郡東みよし町足代182-1 0883-79-2209
ニイクリーニング 三好郡東みよし町加茂2523-2 0883-82-6169
