店名 住所 電話番号
ヤマニクリーニング（有） 宇都宮市塙田4-9-5 028-622-8589
イケダクリーニング 宇都宮市清住2-1-2 028-622-6208
ドライクリーニング小林 宇都宮市清住3-5-6 028-622-7979
（有）小林クリーニング店 宇都宮市松原3-5-15 028-622-0626
古瀧クリーニング店 宇都宮市一ノ沢町279-1 028-622-7846
（有）東洋舎 宇都宮市中央5-16-14 028-633-2641
前田クリーニング商会 宇都宮市中央5-17-4 028-634-6051
（有）大竹クリーニング店 宇都宮市三番町1-7 028-634-5005
矢田部商会 宇都宮市不動前1-1-2 028-633-5724
明恵産業（株） 宇都宮市不動前1-3-11 028-633-9221
平間ランドリー 宇都宮市滝の原2-2-11 028-635-2812
毛塚屋クリーニング店 宇都宮市鶴田町3230-3 028-634-8355
大垣クリーニング 宇都宮市住吉町1-16 028-634-2836
いさみやクリーニング商会 宇都宮市江曽島1-13-16 028-658-0225
今井クリーニング商会 宇都宮市春日町12-11 028-658-3834
（有）サンドライ 宇都宮市みどり野町38-13 028-653-3635
いざわクリーニング 宇都宮市西川田町932 028-658-1193
光陽舎 宇都宮市緑1-8-1 028-645-3141
ファッションケア－パールクリーニング 宇都宮市下荒針町3335-9 028-648-1614
クリーニングサカエ上河内店 宇都宮市金田町634-10 028-621-8350
クリーニングショップのざわ 宇都宮市石井町2551-5 028-661-4622
大和総業（株）ヤマトリフレッシュサービス 宇都宮市瑞穂3-11-10 028-657-7255
コイソドライセンター 宇都宮市峰4-12-26 028-661-3687
（有）小花クリーニング 宇都宮市東宿郷6-8-21 028-633-4866
（有）ヤマモトドライ 宇都宮市御幸本町4864-14 028-661-2754
（有）三ツ星 宇都宮市御幸本町4871-37 028-661-2843
宇都宮ドライ 宇都宮市下金井町662-2 028-665-2157
山口クリーニング店 宇都宮市清原台5-32-21 028-667-2138
須永ドライクリーニング 宇都宮市氷室町1042-24 028-667-2635
きよしクリーニング 宇都宮市下岡本町1997 028-673-0767
（株）ヤマシタ 足利市山川町777 0284-41-6481
アラマーク ユニフォームサービス ジャパン（株） 足利市花園町55 0284-42-1911
東邦サプライ（有） 足利市助戸東山町867 0284-42-0064
（有）協和クリーニング商会 足利市島田町111-3 0284-71-2671
両毛ドライ（株） 足利市本城3-2133 0284-21-3054
（有）関根ドライクリーニング 足利市田中町909-10 0284-71-2616
（有）ヒルズクリーニングドレミ 足利市今福町368 0284-72-3121
（有）小林クリーニング店 足利市大前町598 0284-62-2343
横塚クリーニング 栃木市大塚町786 0282-27-1043
クリーニングキシノ 栃木市泉町2-20 0282-24-7901
（有）あさい商事 栃木市本町8-7 0282-22-3776
岸クリーニング店 栃木市旭町16-18 0282-22-2091
東泉クリーニング 栃木市泉川町108 0282-23-5333
松本クリーニング 栃木市大町22-7 0282-23-1522
サンリバー石橋 栃木市箱森町28-7 0282-23-3030
郡司クリーニング 栃木市都賀町合戦場329-5 0282-27-1444
河野クリーニング店 栃木市川原田町1041-2 0282-22-3204
（有）クリーン 栃木市岩舟町静303-9 0282-55-4894
シャトルドライ 佐野市赤見町3000-4 0283-25-0436
（有）石塚クリーニング 佐野市田沼町723 0283-62-0351
松屋クリーニング店 佐野市葛生東2-3-2 0283-85-2711
大丸クリーニング（株） 佐野市馬門町1442 0283-22-2632
クリーニングハウスあべ 鹿沼市戸張町1818 0289-62-3774
（有）フラワークリーニング 日光市小代289 0288-27-0560
松屋クリーニング店 日光市御幸町4-6 0288-54-0760
（有）扇屋 日光市相生町20-7 0288-54-1972
（有）ファッションクリーニング永岡 日光市所野543 0288-53-3641
（有）林ドライクリーニング 日光市本町7-42 0288-54-1569
三宝クリーニング店 日光市清滝安良沢町1732-51 0288-53-0592
樋口クリーニング店 日光市細尾町454-1 0288-54-1697
（有）高橋クリーニング商会 日光市足尾町松原９−３ 0288-93-3225
濱屋クリーニング店 日光市荊沢645-25 0288-21-1335
（株）沼尾 日光市原宿122今市工場 0288-21-8308
長尾クリーニング店 小山市神鳥谷464 0285-23-4506
おがわ 真岡市台町12-5 0285-83-2583
京屋クリーニング店 大田原市佐久山1289 0287-28-0114
クリーニングせき 大田原市薄葉2287-7 0287-29-0104
渡辺クリーニング店 大田原市浅香2-3367-12 0287-22-4227
杉原クリーニング 大田原市山の手1-4-8 0287-22-2872
ブランシュール東洋 大田原市住吉町1-10-11 0287-22-2977
阿久津クリーニング店 大田原市中田原2087-2 0287-23-2255
池澤クリーニング店 大田原市黒羽田町598 0287-54-0132
小泉クリーニング店 大田原市前田51 0287-54-0477
大谷クリーニング店 矢板市富田548-34 0287-44-2131
南郷クリーニング店 那須塩原市東町6-1 0287-36-0450
鈴木クリーニング店 那須塩原市下永田6-1245-2 0287-36-5222
クリーニングＨＯＨＯ 那須塩原市緑8-186 0287-36-6077
ハセベクリーニング 那須塩原市二区町395-6 0287-36-6436
白鳥舎クリーニング 那須塩原市三島3-124-5 0287-36-3738
マルセイクリーニング店 那須塩原市関谷2055-4 0287-35-3525
（有）白塩舎 那須塩原市上塩原44-3 0287-32-2859
渡辺クリーニング店 芳賀郡茂木町飯野2172 0285-63-2860
太陽クリーニング 芳賀郡市貝町多田羅518 0285-68-1028
（株）こだま 芳賀郡芳賀町芳賀台55-3 028-677-3471
色川屋 下都賀郡壬生町中央町5-25 0282-82-0543
中央クリーニング 下都賀郡壬生町大師町19-30 0282-82-1355
渡辺クリーニング店 塩谷郡塩谷町船生船場5888 0287-47-1067
（有）那須ドライ 那須郡那須町湯本181 0287-76-2139
丸井クリーニング店 那須郡那珂川町馬頭382-6 0287-92-2203
