店名 住所 電話番号
岩木屋ドライクリーニング 鳥取市材木町212 0857-22-5368
（有）河野ドライクリーニング 鳥取市片原1丁目118 0857-22-3933
（有）中川ランドリー 鳥取市茶町321 0857-23-1231
（有）鳥取白洋舎 鳥取市ニ階町1丁目116 0857-22-5021
高橋クリーニング店 鳥取市雲山126-10 0857-23-2196
大森クリーニング 鳥取市青葉町1丁目108 0857-23-3876
（有）鴨河クリーニング店 鳥取市寿町631 0857-22-4651
水野商事（株） 鳥取市吉方町2丁目451 0857-26-5551
（有）田中クリーニング 鳥取市南吉方1丁目15 0857-22-5319
ヤングドライ 鳥取市大杙221-5 0857-26-1475
川戸クリーニング店 鳥取市吉成1029 0857-23-5253
川嶋ドライクリーニング店 鳥取市吉成141-15 0857-22-5332
たかはしクリーニング 鳥取市吉成42-15 0857-27-1509
きはだや 鳥取市徳尾176-20 0857-26-0369
大学屋クリーニング 鳥取市湖山北1丁目454-2 0857-28-0461
ファンシークリーニングいのうえ 鳥取市湖山北4丁目804 0857-28-2996
（有）ミッキーのクリーニング 鳥取市気高町浜村783-275 0857-82-0848
（有）福喜屋クリーニング 鳥取市南栄町30-5 0857-53-4221
（有）玉谷クリーニング店 鳥取市用瀬町用瀬375 0858-87-2828
（株）クリアメイト 米子市皆生温泉1-13-18 0859-33-4455
宮島クリーニング店 米子市皆生温泉4丁目1-2 0859-33-2557
（有）米子クリーニング商会 米子市加茂町2丁目154 0859-32-2345
（有）亀井クリーニング店 米子市糀町1丁目98 0859-22-2879
ドライクリーニングすどう 米子市糀町2丁目50 0859-33-8808
旭クリーニング店 米子市葭津223-3 0859-25-0977
（有）かけみずクリーニング店 米子市東福原3丁目6-24 0859-22-6446
ダイワクリーニング 米子市日ノ出町1丁目5-10 0859-33-8688
綿久セイモア（株）中国支店米子営業所 米子市旗ヶ崎2318 0859-29-1155
（有）西部クリーニング 米子市大谷町271-4 0859-33-8082
ふのドライクリーニング 米子市夜見町3046-17 0859-24-2622
森田ドライクリーニング 米子市淀江町淀江565 0859-56-2268
高田クリーニング店 倉吉市巌城784 0858-22-6633
ニュールビークリーニング 倉吉市駄経寺町2-5 0858-22-1663
岡野クリーニング店 倉吉市広瀬町2017 0858-22-4016
馬田クリーニング店 倉吉市福吉町1419-1 0858-22-3846
秋月クリーニング店 倉吉市西岩倉町2160 0858-22-5326
クリーニング毎日屋 倉吉市河原町3010 0858-22-3531
（有）サンクリン商事 八頭郡八頭町門尾35-3 0858-72-1612
幾久屋クリーニング 八頭郡八頭町群家634-13 0858-72-0168
三朝ドライクリーニング（有） 東伯郡三朝町砂原218-1 0858-48-4444
椿クリーニング店 東伯郡湯梨浜町田後677-14 0858-35-3227
つばきクリーニング 東伯郡湯梨浜町田後677-14 0858-35-3227
佐藤クリーニング店 東伯郡湯梨浜町松崎431 0858-32-0718
クリーニングハウスファム 東伯郡琴浦町徳万492-3 0858-53-2383
（有）新クリーニング店 東伯郡琴浦町赤碕1470 0858-55-0329
岩本クリーニング店 東伯郡北栄町由良宿1771-8 0858-37-2250
名和ドライクリーニング（有） 西伯郡大山町富長742-1 0859-54-2026
アキ白洋舎 西伯郡伯耆町溝口２７０−１３ 0859-62-1039
佐々木クリーニング店 日野郡日南町根雨292-1 0859-72-0222
生山クリーニング店 日野郡日南町生山808-1 0859-82-0109
日野ランドリー 日野郡日南町宮内1152 0859-82-0372
江尾クリーニング店 日野郡江府町江尾1983 0859-75-2909
