店名 住所 電話番号
（株）帝国ホテル宿泊部客室課ランドリー 千代田区内幸町1-1-1 03-3504-1111
リキーズ 千代田区神田佐久間町4-9　みちのくビル1D 03-6699-8115
（有）丸木ランドリー 千代田区内神田2-13-4 03-3252-3891
丸井クリーニング店 千代田区神田司町2-17 03-3518-6633
（有）伊沢クリーニング商会 千代田区神田神保町1-58 03-3291-5531
（有）日比洋洗店 千代田区神田小川町3-20 03-3291-6802
神田まる洗 千代田区神田美土代町3-4　ニュー楓ビル1F 03-3294-7575
（有）恵比寿屋 千代田区神田三崎町2-4-13 03-3261-7340
（有）松林舎 千代田区神田淡路町2-4 03-3251-6689
（株）伊東クリーニング店 千代田区神田猿楽町1-3-5 03-3291-2710
（株）福山商会 千代田区飯田橋2-9-5 03-3261-6794
三共ドライクリーニング（株） 千代田区三番町30-5 03-3265-6511
ウブカタクリーニング（有） 千代田区麹町1-8-8 03-3261-5910
東邦洗染（資） 千代田区麹町3-12-11 03-3261-8170
（株）ホワイトランドリー 中央区日本橋小伝馬町16-18 03-3661-6418
石井クリーニング店 中央区日本橋久松町6-10 03-3662-1410
（有）加藤洗濯店 中央区日本橋富沢町16-4 03-3664-5346
平田クリーニング 中央区日本橋富沢町4-8 03-3661-4407
（有）太田屋総本店 中央区日本橋浜町2-50-4-102 03-3666-9853
（株）増田クリーニング店 中央区日本橋中州10-3 03-3666-0616
伊藤クリーニング店 中央区日本橋人形町2-15-6 03-3666-6687
栗原クリーニング（有） 中央区日本橋蛎殻町2-12-8 03-3666-5804
（有）つたやクリーニング店 中央区日本橋箱崎町21-6 03-3666-7490
太陽クリーニング 中央区日本橋室町4-2-13 03-3241-2936
（有）太陽クリーニング 中央区日本橋小舟町8-12 03-3661-4643
（有）共和ランドリー 中央区日本橋2-15-8 03-3281-1785
（有）青野ランドリー 中央区八丁堀3-27-1 03-3551-9086
（有）西村クリーニング 中央区新川2-17-3 03-3551-0801
（有）大洋ランドリー 中央区入舟3-3-7 03-3551-9836
（有）湊ランドリー 中央区湊1-11-9 03-3551-1551
ユーエス商会 中央区湊3-13-7 03-3551-4754
牡丹屋クリーニング　リバー店 中央区佃2-2-7 03-3532-9696
マルヲ商事（株） 中央区銀座3-13-5 03-3541-0517
銀座ランドリー 中央区銀座8-18-15 03-3541-7072
（有）トモエヤ洗濯店 港区西新橋1-8-5 03-3501-9372
（有）港屋総本店 港区西麻布2-17-17 03-3400-3244
オーヒラ商会 港区西麻布2-7-13 03-3407-2919
（株）佐野商会 港区西麻布3-2-44 03-3408-1013
（有）川口屋クリーニング 港区西麻布4-8-31-100号室 03-3473-0072
（株）岩崎ランドリー 港区六本木5-11-32 03-3401-9318
（株）秋元クリーニング 港区東麻布1-29-1 03-3583-1652
（有）辰巳クリーニング 港区東麻布2-21-8 03-3583-3698
麻布十番ドライ（有） 港区麻布十番2-19-7 03-3451-0746
（株）泉水舎 港区南麻布1-4-6 03-3452-4280
（有）藤井クリーニング 港区南麻布2-6-17 03-3451-2474
（有）吉野クリーニング商会 港区南青山2-6-6 03-3401-3364
（有）サクラ商会 港区南青山5-10-18 03-3400-6958
東洋ランドリー（株） 港区芝4-18-3 JTM-26 1F・B1 03-3451-3251
麻布十番ドライ（有） 海岸3-9-40 03-3456-1033
はとやランドリー 港区芝浦2-15-3 03-3451-6831
スワンクリーニング商会 港区白金台2-12-23 03-3443-0534
（株）クリーンショップ保科 港区白金1-25-12 03-3444-4326
田中ランドリー 港区白金1-25-9 03-3441-6713
四の橋三光クリーニング 港区白金1-6-12 03-3446-6274
（有）クリーニングマルゼン 港区白金3-19-8 03-3441-0510
丸屋クリーニング 港区白金3-22-5 03-3441-5435
芝ダイヤモンドクリーニング 港区白金6-2-10 03-3442-5652
（有）クリーニングヨシダ 港区白金6-21-7 03-3473-4788
（有）セブンフォーセブンコーポレーション 港区三田1-10-19 03-3451-7659
（有）柴山商会 港区三田5-6-4 03-3451-0530
カラキヤ洗染（株） 港区高輪2-7-8 03-3445-0974
（有）筑波ランドリー 新宿区四谷2-5 03-3351-6241
（有）白馬クリーニング商会 新宿区四谷2丁目14 03-3351-7624
（有）金子総本店 新宿区四谷4-13 03-3357-0846
四谷ランドリー 新宿区荒木町1-2 03-3351-0903
（株）サンランドリー 新宿区四谷三栄町16-3 03-3351-3505
（有）ランドリーカガヤ 新宿区信濃町2 03-3353-1454
（株）白光舎 新宿区歌舞伎町2-38-4 03-3209-2727
仲野クリーニング店 新宿区新宿2-7-11 03-3351-1625
（有）エトワール 新宿区西新宿7-11-3 03-3367-5538
（資）新宿ランドリー 新宿区西新宿7-14-11 03-3365-1567
（有）小玉ランドリー 新宿区西新宿7-19-11 03-3371-8003
オリッククリーニング店 新宿区中落合1-13-3 03-3953-1689
ファッションクリーニング丸善 新宿区中落合1-14-3 03-3953-7053
郡司クリーニング落合店 新宿区下落合2-6-9 03-3951-6231
（有）ヒロヤ 新宿区下落合3-17-29 03-3951-0963
深野クリーニング 新宿区下落合3-19-13 03-3952-0513
（有）早稲田ランドリー 新宿区早稲田鶴巻町560 03-3202-7441
戸山クリーニング 新宿区戸山2-33-127 03-3203-0265
石田クリーニング店 新宿区原町3-29 03-3202-4687
（有）浜田クリーニング商会 新宿区市谷薬王寺町53 03-3341-3511
かもめ商会 新宿区富久町40-2 03-3351-6573
加瀬ランドリー 新宿区東五軒町3-21 03-3269-1697
（有）藤倉本店 新宿区神楽坂6-28 03-3260-0997
鈴長クリーニング西早稲田店 新宿区西早稲田1-20-12 03-3208-1224
（有）郡司クリーニング商会 新宿区西早稲田2-21-1 03-3202-8555
文化クリーニング 新宿区西早稲田3-1-12 03-3203-3219
齋藤智クリーニング商会 新宿区西早稲田3-17-30 03-3203-5840
（株）アクアコーポレーション 新宿区百人町2-4-7 03-3368-4848
（有）横尾商会 新宿区北新宿1-15-2 03-3369-6941
ひばりクリーニング店 新宿区北新宿1-36-4 03-3361-5032
ドライクリーニングセンター竹屋 新宿区北新宿3-8-5 03-3369-5620
カラキヤクリーニング店 新宿区北新宿4-18-7 03-3361-1101
光洋舎 新宿区北新宿4-3-12 03-3371-3676
オリック北新宿店 新宿区北新宿4-32-14 03-3364-2811
郡司クリーニング商会 新宿区北新宿4-7-14 03-3361-4643
望月クリーニング店 新宿区高田馬場3-44-9 03-3362-5570
池原クリーニング 新宿区高田馬場4-14-3 03-3371-2445
（株）ホリウチランドリー 文京区水道2-15-17 03-3814-4656
クリーニングショップブラン 小石川1-16-9 03-5840-9370
（有）夏目クリーニング 文京区水道2-6-5 03-3941-5544
（株）ミハシ 文京区千石1-14-3 03-3943-0384
長谷川クリーニング 文京区千石4-46-5 03-3941-2972
室田商会 文京区関口1-23-6-109 03-3269-3025
磯貝クリーニング 文京区目白台2-17-9 03-3943-3471
渡辺クリーニング店 文京区白山1-26-5 03-3812-2777
白山クリーニング商会 文京区白山1-36-2 03-3811-7736
神明クリーニング商会 文京区本駒込5-38-10 03-3821-6207
竹田クリーニング店 文京区千駄木2-8-9 03-3821-0317
グレート・ダイワーク 文京区千駄木3-37-12 03-3823-0278
（有）厚生舎 文京区向丘1-13-5 03-3811-6391
日生クリーニング商会 文京区根津2-6-12 03-3821-7381
