店名 住所 電話番号
和泉クリーニング店 富山市神通本町1-8-24 076-433-1988
はり寅 富山市於保多町3-13 076-431-1527
佐竹クリーニング店 富山市柳町3-7-15 076-431-4897
舟崎クリーニング店 富山市東田地方町1-3-20 076-432-8433
ドライクリーニング高林商会 富山市清水町5-7-18 076-423-1324
たいらクリーニング店 富山市泉町1-4-8 076-421-3262
はり新 富山市泉町2-3-15 076-421-8360
中村屋クリーニング 富山市堤町通り2-6-3 076-423-0259
和服総合加工処「都屋」 富山市星井町1-1-10 076-421-0709
高田屋クリーニング店 富山市千石町1-3-22 076-421-3261
小島クリーニング店 富山市安野屋町2-6-5 076-423-9424
横田クリーニング商会 富山市呉羽東町7305 076-436-5258
（株）北陸白洋舎 富山市飯野20 076-451-3711
（株）東京クリーニング商会 富山市赤江町2-19 076-441-2747
（有）日の出屋クリーニング 富山市天正寺547-1 076-421-6171
中央ドライ 富山市西長江3-2-3 076-423-9344
クリーニングのベルドライ 富山市田中町1区6-62 076-432-1457
せんたくや早川 富山市桑原11-11 076-483-4190
クリーニングの布目 富山市宮尾3323 076-442-1005
こがみクリーニング 富山市西笹津290 076-485-2401
渡辺クリーニング商会 富山市下大久保3区1517 076-467-0440
クリーニング中川 富山市八尾町黒田3250 076-454-4424
クリーニングフクサワ 富山市八尾町井田974-1 076-455-1211
平和　クリーニング店 富山市婦中町笹倉3区527 076-466-2004
（有）クリーニング常盤本店 富山市高屋敷1区857 076-421-1414
高橋クリーニング店 富山市赤田800-5 076-423-5596
北川クリーニング店 富山市堀川町203-7 076-422-2700
中崎クリーニング店 富山市堀川小泉町2区3-14 076-423-2505
服部クリーニング店 富山市小泉町153 076-421-2109
パールクリーニング店 富山市大泉本町2-1-25 076-425-1159
安部クリーニング店 富山市城村368 076-424-1094
（有）クリーニングワタナベ 富山市下熊野66-6 076-429-2375
イズミヤクリーニング店 高岡市明園町5-18 0766-21-2103
山崎洗張店 高岡市定塚町1-13 0766-22-6397
アサヒ屋クリーニング 高岡市新横町1041 0766-23-1936
藤井クリーニング店 高岡市大手町9-1 0766-23-1598
海内クリーニング店 高岡市古定塚10-15 0766-24-9935
大正屋クリーニング店 高岡市伏木東一宮7-35 0766-44-1280
万葉ドライクリーニング 高岡市伏木矢田4-28 0766-44-6454
高岡ドライ 高岡市内島3575-1 0766-31-0851
たかひらや長瀬クリーニング店 高岡市宝来町762 0766-31-0051
たまいクリーニング店 高岡市清水町3-1-18 0766-22-0256
高嶋クリーニング 高岡市清水町3-3-55 0766-24-7658
やぶ屋クリーニング店 高岡市大坪町1-5-11 0766-22-2039
北ランドリー 高岡市南幸町5-2 0766-25-4015
有藤クリーニング店 高岡市南幸町7-20 0766-24-9433
一嶋クリーニング店 高岡市内免4-4-28 0766-24-6720
斉藤クリーニング 高岡市美幸町2丁目6-20 0766-22-4126
土倉ドライクリーニング商会 高岡市下麻生1291-1 0766-36-0134
（有）重松 魚津市北鬼江2272-1 0765-22-2352
竹中クリーニング本店 魚津市鴨川町2-5 0765-22-2398
（有）アサヒヤクリーニング 砺波市大門400 0763-32-3807
（有）八田ランドリー 砺波市高道61-1 0763-32-2737
ビューティファッションクリーニング六谷 小矢部市中央町5-8 0766-67-3380
（有）中川クリーニング 南砺市福野1657 0763-22-2565
鍛治クリーニング店 南砺市福野1696 0763-22-2427
いわつぼクリーニング 射水市朴木200 0766-82-6638
大門ランドリー 射水市二口2109 0766-52-0612
（有）アクセス 射水市二口2613-67 0766-52-7557
大和屋クリーニング商会 射水市二口805-2 0766-52-0272
アバンス 射水市小島734 0766-52-0805
丸屋クリーニング 射水市橋下条駅南通り1丁目1105-1 0766-56-2101
むろやクリーニング 射水市新栄町1121-3 0766-56-3522
竹内クリーニング店 下新川郡入善町入膳5329-2 0765-72-0702
タニドライ 下新川郡入善町椚山4747 0765-72-4109
前田クリーニング店 下新川郡入善町椚山新35 0765-72-2826
（株）秋山クリーニング 下新川郡入善町青木1464 0765-74-1818
クリーニング　高桜商会 下新川郡朝日町東草野1607-1 0765-83-0013
（有）プロスパー金井クリーニング 下新川郡朝日町泊新113 0765-82-2110
