店名 住所 電話番号
ナイスクリーニング 和歌山市杭ノ瀬84-29 073-472-6426
クリーニングショップきれい 和歌山市吉礼78-1 073-478-2469
（有）張正 和歌山市一筋目12 073-428-0591
赤居クリーニング商会 和歌山市北細工町22番地 073-422-5024
（有）岩倉クリーニング 和歌山市島崎町7丁目4番地 073-422-8458
高瀬洗張クリーニング店 和歌山市湊北町3丁目27 073-422-5069
五味田クリーニング 和歌山市小松原通り3-2 073-422-0448
クリーンルナール 和歌山市植松丁19-19 073-428-2828
サンクリーニング 和歌山市岩橋1603-2 073-473-6336
クリーニングハウス光 和歌山市松島202-2 073-475-2888
池田クリーニング 和歌山市有家112-2 073-471-0282
木村クリーニング 和歌山市手平1丁目9-24 073-424-9453
大野クリーニング 和歌山市納定51-43 073-471-4597
西辻クリーニング 和歌山市有本111 073-471-7366
ふじ清 和歌山市加納208番16号 073-473-5259
竹野クリーニング 和歌山市中の島1119 073-422-6884
清菊クリーニング 和歌山市福島148-17 073-451-2900
クリーニングみんと 和歌山市毛見1437-240 073-445-4567
三共レンタルサービス 和歌山市今福2丁目7-21 073-422-0480
ツバメヤクリーニング 和歌山市秋葉町2番地8号 073-444-0931
さこクリーニング 橋本市隅田町河瀬862-2 0736-33-2159
光洋クリーニング商会 橋本市高野口町向島212-3 0736-42-2235
クリーニング商会白親舎 有田市初島町浜1333-1 0737-82-3827
神戸ランドリー 御坊市薗767-7 0738-22-1079
跡の浦クリーニング 田辺市新庄2611-65 0739-25-1877
山中クリーニング 田辺市新庄町484-4 0739-22-8232
尾原クリーニング 田辺市下屋敷町53 0739-22-2193
木下クリーニング 田辺市新屋敷町77 0739-22-2739
堀本クリーニング 田辺市上屋敷町3-7-10 0739-22-3353
小松屋クリーニング 田辺市福路町43 0739-22-0597
かくいちクリーニング 新宮市神倉3丁目1-27 0735-22-4095
（株）丸和 紀の川市桃山調月1758-6 0736-66-1148
松井クリーニング商会 紀の川市名手西野133 0736-75-2085
なてや 紀の川市名手市場92-5 0736-75-2352
（有）湯川クリーニング商会 岩出市高塚65 0736-62-2201
白鳥ドライ 伊都郡かつらぎ町東渋田513-3 0736-22-5509
宮所クリーニング 有田郡有田川町野田138 0737-52-4020
クリーニングショップアレンジ 有田郡有田川町天満56-6 0737-52-3805
社会福祉法人和歌山県福祉事業団 西牟婁郡上富田町岩田2456-1 0739-47-6640
おかむらクリーニング 東牟婁郡串本町串本1855-1 0735-62-0358
岡崎クリーニング 東牟婁郡串本町串本1735-58 0735-62-0285
木村クリーニング 東牟婁郡串本町串本902-9 0735-62-0859
