店名 住所 電話番号
駒沢クリーニング 山形市小白川町1-11-15 023-623-8453
国分クリーニング 山形市小姓町3-17 023-622-9048
泉ランドリー 山形市小姓町7-38 023-623-6279
（株）伊藤クリーニング工場 山形市東原町1-10-15 023-622-3617
クリーニングすずき 山形市東原町4-2-26 023-623-3375
（株）会田クリーニング工場 山形市三日町2-1-27 023-622-5772
渡辺クリーニング 山形市旅篭町1-14-30 023-631-6178
（有）三ツ井クリーニング 山形市旅篭町1-8-10 023-622-6455
（株）杉本家高橋ドライクリーニング工場 山形市銅町2-23-11 023-641-7055
長谷川クリーニング店 山形市円応寺町4-6 023-622-0342
白蓮クリーニング商会 山形市宮町2-13-7 023-641-4872
まる栄クリーニング 山形市双月町4-2-15 023-642-0377
後藤クリーニング 山形市泉町23-28 023-622-9268
ハヤマクリーニング店 山形市北町4-4-7 023-684-5125
湯川クリーニング 山形市北山形2-7-1 023-643-8746
（有）みちのく通商 山形市下条町4-3-21 023-645-5845
渡辺クリーニング 山形市城西町3-22-48 023-643-8447
坂本クリーニング 山形市春日町1-37 023-644-0362
（株）和光 山形市桧町4-12-39 023-684-7400
（株）テーオーシー 山形市大字漆山2476 023-684-9321
（有）しゃるれ 山形市漆山1841-1 023-686-9880
（有）プリンスクリーニング 山形市十文字土居後1678-5 023-686-3358
白バラクリーニング店 山形市蔵王半郷1535-1 023-688-6329
（有）まるもとクリーニング 山形市蔵王成沢2617-40 023-688-2261
（株）蔵王サプライズ 山形市蔵王松ヶ丘1-1-11 023-689-1515
平吹クリーニング商会 山形市長谷堂1109-7 023-688-4254
大阪屋クリーニング 山形市南栄町1-7-23 023-632-0815
山一クリーニング 山形市深町3-5-39 023-644-4589
毎日クリーニング店 米沢市相生町7-94 0238-23-3646
渡部クリーニング店 米沢市春日3-2-23 0238-22-1370
三共クリーニング商会 米沢市城北2-1-22 0238-23-2267
岡部クリーニング 鶴岡市余慶町5-20 0235-22-2036
（有）佐藤クリーニング 鶴岡市鳥居町33-50 0235-22-0271
今野クリーニング 鶴岡市日出1-11-21 0235-22-4663
クリーニングほんま 鶴岡市日吉町11-36 0235-22-2055
（株）後平クリーニング店 鶴岡市日吉町8-6 0235-22-1793
兼山クリーニング店 鶴岡市本町3-8-15 0235-22-2755
武藤クリーニング 鶴岡市東原町18-19 0235-24-6280
クリーニングさとう 鶴岡市斎藤川原字間々下84-2 0235-24-8892
渡部ドライクリーニング店 鶴岡市三和町6-18 0235-23-1292
羽田クリーニング 鶴岡市大山2-27-30 0235-33-2240
協業組合温海クリーニングセンター 鶴岡市湯温海湯之里１３９−１ 0235-43-3636
児玉クリーニング 鶴岡市大字三瀬丙70-12 0235-73-2376
後藤ドライクリーニング店 鶴岡市大字大広丙64-内2番地 0235-35-2835
大洋ドライ 酒田市北千日町1-37 0234-33-2959
鳩屋クリーニング店 酒田市南千日町3-17 0234-22-4632
白鷹クリーニング商会 酒田市日吉町1-1-53 0234-22-2043
白崎クリーニング店 酒田市本町3-3-4 0234-24-7757
阿曽クリーニング店 酒田市中町1-2-2 0234-22-2608
高橋ドライクリーニング商会 酒田市中町2-3-21 0234-22-1939
白洋舎クリーニング 酒田市緑ヶ丘1-20-5 0234-31-5240
三浦クリーニング 酒田市北新町2-5-15 0234-22-2562
阿部クリーニング 酒田市北新町2-6-14 0234-22-5169
東横クリーニング 酒田市横千代桜188 0234-94-285
うえだクリーニング 酒田市上野曽根上中割27 0234-25-2913
アイビークリーニング 酒田市小泉字後田20-2 0234-61-1234
フクヤ商会 新庄市常葉町8-18 0233-22-9679
小野クリーニング 新庄市大町21-21 0233-22-0975
（有）白新舎クリーニング 新庄市大町21-21 0233-22-0975
クリーニング東京舎 新庄市大町6-4 0233-22-4550
阿部クリーニング店 新庄市本町3-50 0233-22-0339
藤屋クリーニング 新庄市万場町7-51 0233-22-4932
荒井クリーニング 新庄市松本294-2 0233-22-7103
阿部クリーニング店 新庄市小田島町4-1 0233-22-1136
高松ランドリー 寒河江市大字八鍬1608 0237-87-1707
クリーニングの芳賀 寒河江市新山1-27-15 0237-86-2947
井田クリーニング店 寒河江市本町2-3-32 0237-86-2506
丸二クリーニング店 寒河江市本町2-3-53 0237-86-2633
西堀ドライクリーニング店 寒河江市仲田23-2 0237-84-3964
松屋クリーニング工場 上山市東町9-13 023-672-0922
（有）中山クリーニング 村山市楯岡楯1-7 0237-53-2313
ドライクリーニング井上 村山市大字杉島37-7 0237-55-3558
イトークリーニング 天童市老野森3-9-1 023-653-5040
美協オオバ（有） 天童市老野森325-4 023-654-7225
佐藤ドライクリーニング店 天童市大字高擶南828-7 023-655-2608
（有）伊藤ランドリー 天童市山口1508-1 023-656-2535
（有）クリーニングせいの 東根市本町3-27 0237-42-0420
東根クリーニング 東根市三日町2-1-19 0237-42-0081
すとうクリーニング店 東根市中央3-10-25-121 0237-42-2928
クリーニング杉本 尾花沢市大字朧気720-1 0237-22-2539
西塚クリーニング店 尾花沢市横町1-8-18 0237-22-0582
山田クリーニングセンター 南陽市赤湯336 0238-43-2674
木村クリーニング 南陽市赤湯391-8 0238-43-5035
小関ドライクリーニング 南陽市二色根59-7 0238-43-2448
菊地クリーニング 東村山郡中山町長崎4431 023-662-3058
クワナクリーニング 西村山郡河北町溝延173 0237-73-4974
クリーニングさとう 西村山郡朝日町大字和合189 0237-67-3552
長岡クリーニング店 西村山郡朝日町宮宿803-4 0237-67-2324
こんのクリーニング 北村山郡大石田町桂木町8-3 0237-35-3159
柿崎クリーニング東京舎 最上郡金山町金山645-4 0233-52-2225
プロショップクリーニングマキ 最上郡最上町向町544-1 0233-43-3834
鈴屋クリーニング 最上郡舟形町長沢1235 0233-33-2102
白弘舎クリーニング 最上郡真室川町大字新町139-15 0233-62-2632
佐藤クリーニング 最上郡真室川町大字新町146-7 0233-62-2528
スワクリーニング店 東置賜郡川西町上小松3938 0238-42-3331
おぐにクリーニング 西置賜郡小国町緑町3-40 0238-62-2171
