店名 住所 電話番号
倉本クリーニング 下関市阿弥陀寺町8-13 083-222-5481
（有）大島屋ドライクリーニング工場 下関市田中町11-16 083-222-4892
池田クリーニング店 下関市田中町14-7 083-222-4314
園田クリーニング店 下関市向山町3-22 083-222-5736
（有）ライフクリーニング 下関市彦島老町1丁目3-10 083-266-5211
長崎屋クリーニング店 下関市彦島本村町7丁目1-18 083-266-0964
（有）東京屋クリーニング本店 下関市彦島江の浦3丁目6-22 083-266-3366
（有）小松クリーニング 下関市彦島江の浦9丁目1-19 083-266-1392
（有）岩原クリーニング工業所 下関市彦島江の浦町6丁目15-9 083-266-3351
（有）池辺ドライクリーニング商会 下関市彦島町江の浦1-7-4 083-266-3559
ナガトヤクリーニング店 下関市小月茶屋1-2-9 083-282-0240
政富クリーニング 下関市小月茶屋1-5-24 083-282-0383
（有）池辺均商会 下関市椋町3丁目12-22 083-234-5170
清川クリーニング 下関市椋野町1-16-27 083-223-7817
（株）北村クリーニング工業所 下関市幡生本町1-23 083-252-1422
カラトクリーニング 下関市武久町1丁目35-4 083-252-0470
（有）ママクリーナー 下関市山の田中央町1-10 083-252-2488
重松クリーニング店 下関市綾羅木本町3-1-6 083-252-0019
パールクリーニング 下関市稗田町4-22 083-253-5780
境田クリーニング 下関市長府土居の内町4-14 083-245-0624
豊浦クリーニング 下関市豊浦町大字川棚5275-9 083-772-0531
前田クリーニング 下関市豊浦町川棚高砂 0837-72-1777
（株）東洋ランドリー 下関市豊浦町厚母郷895-1 083-772-2288
三共クリーニング店 宇部市草江3-18-15 0836-21-7075
笹山クリーニング（有） 宇部市笹山町2-3-27 0836-31-5938
佐賀屋クリーニング店 宇部市松山町4-7-10 0836-32-2210
山田クリーニングセンター 宇部市寿町2-11-11 0836-21-5767
クリーニングのしろや 宇部市西本町2-14-21 0836-21-4360
吉村ドライクリーニング店 宇部市厚南区西宇部南3-3-11 0836-41-8287
半田クリーニング 宇部市大字船木1490-1 0836-67-0069
タサカクリーニング 山口市古熊3-2-19 083-922-2316
（有）ムラカミクリーニング 山口市鰐石町3-26 083-922-2563
（有）かずやクリーニング 山口市下後河原120 083-922-2294
（有）吉田クリーニング 山口市大内御堀2985 083-927-1881
（有）サンクリーン・ツネドミ 山口市大内矢田川路1255-1 083-927-3195
松山クリーニング 山口市穂積町4-32 083-922-5107
（株）岩多屋 山口市小郡上郷3541-3 083-973-1744
（有）たかせん 山口市小郡下郷371-1 083-972-2236
（有）林クリーニング 山口市阿知須3642-2 0836-65-2107
（有）いしだクリーニング 山口市阿知須浜4840-2 0836-65-2209
岡野洗布所 萩市新川西区3086 0838-22-0859
タハラクリーニング 萩市新川西区の2 0838-22-5640
ナガトクリーニング 萩市熊谷町35-2 0838-22-2460
おかのクリーニング専門店 萩市椿字青海4153-6 0838-26-3234
テラオリネンサプライ（有） 萩市大字山田4241-6 0838-22-1531
萩クリーニング 萩市瓦町43-2 0838-22-1400
守田洗張店 萩市平安古西区57 0838-22-6130
牛尾クリーニング 防府市宮市4-22 0835-22-5364
森重クリーニング 防府市八王子2-10-15 0835-22-1276
下松ドライ 下松市大手町2-6-12 0833-41-0080
青木クリーニング 下松市西柳1-2-38 0833-41-3533
中央クリーニング 下松市楠木町350-11 0833-41-1020
内冨クリーニング 下松市生野屋1-3-8 0833-43-4565
東正クリーニング 岩国市装束町1丁目3-22 0827-21-5585
高岡クリーニング店 岩国市中津町2-7-42 0827-21-2838
（有）さくらクリーニングサービス 岩国市平田5丁目42-12 0827-32-1040
相川クリーニング店 岩国市玖珂町493-7 0827-82-4837
朝日屋クリーニング 岩国市玖珂町新市一区5090-10 0827-82-2154
高水ドライ 周南市熊毛町字原120 0833-91-3291
東洋舎ランドリー 周南市五月町1-26 0834-21-2816
（有）戸崎クリーニング 周南市遠石2丁目 0834-21-0732
（株）山本クリーニング 周南市上遠石町12-1 0834-21-4660
竹沢クリーニング 周南市富田新町西2861 0834-63-1053
スワンクリーニング 周南市本陣町12-34 0834-62-2895
西日本医療サービス（株） 山陽小野田市大字西高泊1352番地 0836-83-4376
さの屋クリーニング 山陽小野田市北竜王町2-7 0836-83-3315
衣類のお医者さんおべべ 山陽小野田市大字厚狭30-13 0836-73-0461
赤間クリーニング店 熊毛郡平生町新市430 0820-56-2237
鹿島クリーニング 阿武郡阿武町奈古2812 0838-82-2182
