店名 住所 電話番号
白栄舎 甲府市宝2丁目27-4 055-222-7593
岩下クリーニング店 甲府市上石田1丁目5-5 055-222-8531
クリーニング宮川 甲府市高畑3丁目2-2 055-224-4752
専門クリーニングアリガ 甲府市国母五丁目19-10 055-222-4957
不二ランドリー 甲府市相生1丁目9-10 055-222-0821
クリーニング博州 富士吉田市小明見1507 0555-22-3794
和光クリーニング店 富士吉田市下吉田1045 0555-22-3396
丸彦クリーニング店 富士吉田市下吉田1625 0555-22-1916
あけぼのクリーニング店 富士吉田市下吉田599 0555-22-3744
並木クリーニング店 富士吉田市上吉田4242-1 0555-22-1687
（有）ニコニコ堂 富士吉田市下吉田825 0555-22-0980
水野クリーニング店 都留市四日市場1054-1 0554-43-3558
武藤クリーニング店 都留市中央1-8-16 0554-43-2437
松島クリーニング店 都留市上谷四丁3-13 0554-43-3775
志村ドライクリーニング店 都留市都留一丁目18-23 0554-43-2951
甲信東京ホールセール（株） 山梨市七日市場581 0553-22-2930
ヨゲ商会　山梨工場 山梨市下栗原1361 0553-37-1819
スワンクリーニング店 大月市賑岡町岩殿39-9 0554-22-1205
平山クリーニング店 大月市駒橋一丁目7-14 0554-22-2659
クリーニング洗門店　ヨシムラ 大月市御太刀2-1-5 0554-22-3993
花田クリーニング店 大月市猿橋町猿橋42 0554-22-1188
ファッションクリーニングやざき 韮崎市本町一丁目1-18 0551-22-0737
富士ドライ伊東クリーニング 韮崎市清哲町青木2653-16 0551-22-0493
（株）プロシア 南アルプス市六科1111 055-285-7661
甲信野田 南アルプス市湯沢1400 055-282-5161
鮎川クリーニング店 南アルプス市小笠原335-1 055-282-0535
アサヒクリーニング商会 北杜市高根町箕輪483-8 0551-47-2466
有限会社　うみの 北杜市長坂町長坂上条2077 0551-32-2076
小沢クリーニング店 北杜市須玉町藤田410 0551-42-2552
かとおクリーニング店 笛吹市石和町川中島693-6 055-262-2137
鈴木クリーニング店 笛吹市石和町下平井123-1 055-262-2731
クリーニングアクア 笛吹市一宮町本都塚62 055-347-0145
渡辺クリーニング店 笛吹市御坂町栗合77 055-262-3064
志村クリーニング店 上野原市上野原1620 0554-63-0929
大堀ランドリ－ 上野原市上野原4480 0554-63-0581
長田クリーニング店 中央市東花輪497-1 055-273-2133
（有）ポップファクトリー 西八代郡市川三郷町上野3073-9 055-272-8820
江戸屋クリーニング店 南巨摩郡南部町内船4517-3 0556-64-2126
深沢クリーニング店 南巨摩郡富士川町青柳町２１７ 0556-22-0328
長田クリーニング店 南巨摩郡富士川町青柳町２８１ 0556-22-0548
源クリーニング店 南巨摩郡富士川町最勝寺１３６１−４ 0556-22-0987
クリーニング堀内 南巨摩郡富士川町天神中條１１１５−１ 0556-22-0723
山本ドライクリーニング店 南都留郡山中湖村山中175 0555-62-0405
（株）高村クリーニング店 南都留郡山中湖村山中322-1 0555-62-0352
小池クリーニング店 南都留郡富士河口湖町船津389-3 0555-72-1278
